dataset,policy,adapter_mode,seed,capacity_fraction,initial_cases,retained_cases,pre_maint_acc,post_retrieval_acc,post_adapted_acc,acc_delta,f1_retrieval,f1_adapted,f1_delta,ece_retrieval,ece_adapted,total_flips,correct_flips,harmful_flips,net_flip_benefit,alpha,smoothing,trust_mode,protect_cohorts,adapter_train_loss
synthetic,provenance_bias_coverage,none,42,0.2,420,84,0.8333333134651184,0.6944444179534912,0.6944444179534912,0.0,0.6937054694788539,0.6937054694788539,0.0,0.07189611825678081,0.07189611825678081,0,0,0,0,0.5,1.0,geometric,True,0.0
synthetic,provenance_bias_coverage,none,43,0.2,420,84,0.8333333134651184,0.7055555582046509,0.7055555582046509,0.0,0.7043591353553889,0.7043591353553889,0.0,0.07797592878341673,0.07797592878341673,0,0,0,0,0.5,1.0,geometric,True,0.0
synthetic,provenance_bias_coverage,none,44,0.2,420,84,0.9111111164093018,0.7833333611488342,0.7833333611488342,0.0,0.7807293964412513,0.7807293964412513,0.0,0.1607052594423294,0.1607052594423294,0,0,0,0,0.5,1.0,geometric,True,0.0
synthetic,provenance_bias_coverage,none,45,0.2,420,84,0.8222222328186035,0.7222222089767456,0.7222222089767456,0.0,0.7207611419853982,0.7207611419853982,0.0,0.11203484038511911,0.11203484038511911,0,0,0,0,0.5,1.0,geometric,True,0.0
synthetic,provenance_bias_coverage,none,46,0.2,420,84,0.8277778029441833,0.7166666388511658,0.7166666388511658,0.0,0.7156163299989623,0.7156163299989623,0.0,0.14002060327264998,0.14002060327264998,0,0,0,0,0.5,1.0,geometric,True,0.0
synthetic,bias_only,none,42,0.2,420,84,0.8333333134651184,0.6944444179534912,0.6944444179534912,0.0,0.682229871732693,0.682229871732693,0.0,0.09747269683414034,0.09747269683414034,0,0,0,0,0.5,1.0,geometric,True,0.0
synthetic,bias_only,none,43,0.2,420,84,0.8333333134651184,0.6888889074325562,0.6888889074325562,0.0,0.6924606153720808,0.6924606153720808,0.0,0.07413974304993949,0.07413974304993949,0,0,0,0,0.5,1.0,geometric,True,0.0
synthetic,bias_only,none,44,0.2,420,84,0.9111111164093018,0.7111111283302307,0.7111111283302307,0.0,0.7103830023230923,0.7103830023230923,0.0,0.1025733694434166,0.1025733694434166,0,0,0,0,0.5,1.0,geometric,True,0.0
synthetic,bias_only,none,45,0.2,420,84,0.8222222328186035,0.6666666865348816,0.6666666865348816,0.0,0.6631106469946708,0.6631106469946708,0.0,0.06236556139257219,0.06236556139257219,0,0,0,0,0.5,1.0,geometric,True,0.0
synthetic,bias_only,none,46,0.2,420,84,0.8277778029441833,0.6555555462837219,0.6555555462837219,0.0,0.6548947415442923,0.6548947415442923,0.0,0.07689769301149582,0.07689769301149582,0,0,0,0,0.5,1.0,geometric,True,0.0
