dataset,seed,noise_ratio,acc_noisy,acc_revised,acc_recovery_delta,denoise_precision,denoise_recall,denoise_f1,total_corrupted,total_corrected
breast_cancer,42,0.15,0.9415204524993896,0.9532163739204407,0.011695921421051025,0.9038461538461539,0.7833333333333333,0.8392857142857143,60,52
breast_cancer,43,0.15,0.9181286692619324,0.9298245906829834,0.011695921421051025,0.7966101694915254,0.7833333333333333,0.7899159663865546,60,59
breast_cancer,44,0.15,0.9532163739204407,0.9824561476707458,0.029239773750305176,0.8333333333333334,0.75,0.7894736842105263,60,54
breast_cancer,45,0.15,0.9298245906829834,0.9473684430122375,0.01754385232925415,0.8148148148148148,0.7333333333333333,0.7719298245614035,60,54
breast_cancer,46,0.15,0.9356725215911865,0.9532163739204407,0.01754385232925415,0.8360655737704918,0.85,0.8429752066115702,60,61
wine,42,0.15,0.9444444179534912,0.9444444179534912,0.0,0.8888888888888888,0.8421052631578947,0.8648648648648649,19,18
wine,43,0.15,0.8888888955116272,0.9259259104728699,0.037037014961242676,1.0,0.7894736842105263,0.8823529411764706,19,15
wine,44,0.15,0.9814814925193787,0.9259259104728699,-0.05555558204650879,0.9375,0.7894736842105263,0.8571428571428571,19,16
wine,45,0.15,0.9444444179534912,0.9444444179534912,0.0,0.7368421052631579,0.7368421052631579,0.7368421052631579,19,19
wine,46,0.15,0.9444444179534912,0.9444444179534912,0.0,1.0,0.8421052631578947,0.9142857142857143,19,16
iris,42,0.15,0.9111111164093018,0.9333333373069763,0.02222222089767456,0.9,0.5625,0.6923076923076923,16,10
iris,43,0.15,0.9777777791023254,0.9777777791023254,0.0,0.875,0.875,0.875,16,16
iris,44,0.15,0.9333333373069763,0.8888888955116272,-0.04444444179534912,0.7857142857142857,0.6875,0.7333333333333333,16,14
iris,45,0.15,0.9333333373069763,0.9333333373069763,0.0,1.0,0.8125,0.896551724137931,16,13
iris,46,0.15,0.9111111164093018,0.9111111164093018,0.0,0.9285714285714286,0.8125,0.8666666666666667,16,14
synthetic,42,0.15,0.8111110925674438,0.800000011920929,-0.011111080646514893,0.5789473684210527,0.6984126984126984,0.6330935251798561,63,76
synthetic,43,0.15,0.7888888716697693,0.800000011920929,0.011111140251159668,0.6721311475409836,0.6507936507936508,0.6612903225806451,63,61
synthetic,44,0.15,0.8388888835906982,0.8611111044883728,0.02222222089767456,0.6226415094339622,0.5238095238095238,0.5689655172413793,63,53
synthetic,45,0.15,0.7944444417953491,0.7833333611488342,-0.011111080646514893,0.6730769230769231,0.5555555555555556,0.6086956521739131,63,52
synthetic,46,0.15,0.7777777910232544,0.7777777910232544,0.0,0.6981132075471698,0.5873015873015873,0.6379310344827587,63,53
