global_step,episode,episode_return,episode_length,epsilon,loss,mean_q_value
500,1,-500.0,500,0.9936793333333334,,
1000,2,-500.0,500,0.987346,0.39809906482696533,0.023425046354532242
1500,3,-500.0,500,0.9810126666666666,0.0006671145092695951,-1.9141035079956055
2000,4,-500.0,500,0.9746793333333333,0.0003813612856902182,-3.8353657722473145
2500,5,-500.0,500,0.968346,0.00037403899477794766,-5.722962379455566
3000,6,-500.0,500,0.9620126666666666,0.0012311050668358803,-7.566969871520996
3500,7,-500.0,500,0.9556793333333333,0.0012027495540678501,-9.338420867919922
4000,8,-500.0,500,0.949346,0.001368751167319715,-11.126852035522461
4500,9,-500.0,500,0.9430126666666667,0.0011929518077522516,-12.83968734741211
5000,10,-500.0,500,0.9366793333333333,0.0011645200429484248,-14.578060150146484
5500,11,-500.0,500,0.930346,0.0019947991240769625,-16.194271087646484
6000,12,-500.0,500,0.9240126666666667,0.0014768964610993862,-17.842716217041016
6500,13,-500.0,500,0.9176793333333333,0.0029652840457856655,-19.35959243774414
7000,14,-500.0,500,0.911346,0.003146746661514044,-20.906688690185547
7500,15,-500.0,500,0.9050126666666667,0.003278872463852167,-22.390045166015625
8000,16,-500.0,500,0.8986793333333334,0.006912310607731342,-23.933868408203125
8500,17,-500.0,500,0.892346,0.0039867521263659,-25.45945167541504
9000,18,-500.0,500,0.8860126666666667,0.004734249319881201,-26.87334442138672
9500,19,-500.0,500,0.8796793333333334,0.0029369855765253305,-28.33104133605957
10000,20,-500.0,500,0.873346,0.0038728106301277876,-29.62603759765625
10383,21,-382.0,383,0.8684946666666666,0.0036161195021122694,-30.995283126831055
10883,22,-500.0,500,0.8621613333333333,0.004295989405363798,-32.091224670410156
11260,23,-376.0,377,0.857386,0.059126388281583786,-33.71073532104492
11760,24,-500.0,500,0.8510526666666667,0.08461732417345047,-34.95521545410156
12260,25,-500.0,500,0.8447193333333334,0.030596140772104263,-35.966880798339844
12699,26,-438.0,439,0.8391586666666666,0.006537220906466246,-36.294090270996094
13091,27,-391.0,392,0.8341933333333333,0.018269836902618408,-37.44172668457031
13591,28,-500.0,500,0.82786,0.016631821170449257,-38.618980407714844
13970,29,-378.0,379,0.8230593333333334,0.012586141005158424,-39.30712890625
14325,30,-354.0,355,0.8185626666666667,0.012206930667161942,-40.275978088378906
14825,31,-500.0,500,0.8122293333333334,0.02793312259018421,-40.99272155761719
15325,32,-500.0,500,0.805896,0.021845772862434387,-42.26373291015625
15747,33,-421.0,422,0.8005506666666666,0.015541406348347664,-42.461578369140625
16247,34,-500.0,500,0.7942173333333333,0.01764989085495472,-43.52767562866211
16738,35,-490.0,491,0.787998,0.32143205404281616,-44.43671417236328
17238,36,-500.0,500,0.7816646666666667,0.021551139652729034,-45.44182586669922
17478,37,-239.0,240,0.7786246666666666,0.021169891580939293,-45.62320327758789
17965,38,-486.0,487,0.772456,0.025214923545718193,-46.38348388671875
18392,39,-426.0,427,0.7670473333333333,0.04456648975610733,-47.09208679199219
18734,40,-341.0,342,0.7627153333333333,0.355439692735672,-47.66567611694336
19008,41,-273.0,274,0.7592446666666667,0.06802668422460556,-48.438621520996094
19311,42,-302.0,303,0.7554066666666667,0.027339709922671318,-48.72986602783203
19613,43,-301.0,302,0.7515813333333333,0.030680226162075996,-49.29893493652344
19909,44,-295.0,296,0.747832,0.04079493507742882,-48.60137939453125
20146,45,-236.0,237,0.74483,0.02944694086909294,-49.226356506347656
20333,46,-186.0,187,0.7424613333333333,0.04133301228284836,-50.07844924926758
20736,47,-402.0,403,0.7373566666666667,0.0313899889588356,-50.23326873779297
20996,48,-259.0,260,0.7340633333333333,0.023858848959207535,-50.50499725341797
21302,49,-305.0,306,0.7301873333333333,0.350061297416687,-51.17681884765625
21802,50,-500.0,500,0.723854,0.06098400801420212,-51.73332977294922
22049,51,-246.0,247,0.7207253333333333,0.061451803892850876,-51.914520263671875
22298,52,-248.0,249,0.7175713333333333,0.04123159497976303,-52.69975662231445
22528,53,-229.0,230,0.714658,0.05499397590756416,-52.989524841308594
22795,54,-266.0,267,0.711276,0.04071479290723801,-52.98521423339844
23295,55,-500.0,500,0.7049426666666667,0.05824749916791916,-53.19877624511719
23587,56,-291.0,292,0.701244,0.367784708738327,-53.71562957763672
23802,57,-214.0,215,0.6985206666666667,0.03830116614699364,-54.240509033203125
23978,58,-175.0,176,0.6962913333333334,0.0393948070704937,-54.01302719116211
24284,59,-305.0,306,0.6924153333333334,0.05420595407485962,-54.46994400024414
24784,60,-500.0,500,0.686082,0.04449772089719772,-54.440189361572266
25113,61,-328.0,329,0.6819146666666667,0.06186436861753464,-55.194007873535156
25397,62,-283.0,284,0.6783173333333333,0.4159916639328003,-55.61393737792969
25580,63,-182.0,183,0.6759993333333334,0.06129390746355057,-55.673057556152344
25898,64,-317.0,318,0.6719713333333333,0.42333996295928955,-55.724037170410156
26008,65,-109.0,110,0.670578,0.0640227198600769,-55.80875015258789
26184,66,-175.0,176,0.6683486666666667,0.04631180688738823,-56.64164733886719
26462,67,-277.0,278,0.6648273333333333,0.0653742104768753,-56.5943489074707
26652,68,-189.0,190,0.6624206666666667,0.4503212869167328,-56.727928161621094
26839,69,-186.0,187,0.660052,0.7495818138122559,-56.72382354736328
27197,70,-357.0,358,0.6555173333333333,0.07354822754859924,-56.47346496582031
27403,71,-205.0,206,0.652908,0.08180607855319977,-56.904640197753906
27641,72,-237.0,238,0.6498933333333333,0.05108015611767769,-57.59761047363281
27938,73,-296.0,297,0.6461313333333334,0.05899181589484215,-57.887855529785156
28095,74,-156.0,157,0.6441426666666666,0.8100250363349915,-56.79359436035156
28284,75,-188.0,189,0.6417486666666667,0.4256632328033447,-57.6572265625
28478,76,-193.0,194,0.6392913333333333,0.46082910895347595,-57.30426025390625
28729,77,-250.0,251,0.636112,0.08802168071269989,-57.03227233886719
28861,78,-131.0,132,0.63444,0.05600505694746971,-58.18677520751953
29031,79,-169.0,170,0.6322866666666667,0.07750152051448822,-58.14105224609375
29294,80,-262.0,263,0.6289553333333333,0.8218820691108704,-58.728797912597656
29549,81,-254.0,255,0.6257253333333334,0.11492133885622025,-58.47600555419922
29724,82,-174.0,175,0.6235086666666667,0.09679767489433289,-57.687400817871094
29906,83,-181.0,182,0.6212033333333333,0.12304723262786865,-57.882667541503906
30155,84,-248.0,249,0.6180493333333333,0.06266535073518753,-59.3244514465332
30405,85,-249.0,250,0.6148826666666667,0.09627221524715424,-58.13068389892578
30787,86,-381.0,382,0.610044,0.1171184852719307,-58.63059616088867
31070,87,-282.0,283,0.6064593333333334,0.15094411373138428,-58.751007080078125
31333,88,-262.0,263,0.603128,0.3384501338005066,-58.61202621459961
31482,89,-148.0,149,0.6012406666666666,0.17519551515579224,-58.68069076538086
31683,90,-200.0,201,0.5986946666666666,0.4660379886627197,-58.97948455810547
31915,91,-231.0,232,0.595756,0.503926694393158,-60.186248779296875
32091,92,-175.0,176,0.5935266666666666,0.12137310951948166,-59.16943359375
32257,93,-165.0,166,0.591424,0.1141257956624031,-59.372779846191406
32446,94,-188.0,189,0.5890299999999999,0.12831445038318634,-59.7834358215332
32582,95,-135.0,136,0.5873073333333334,0.11455590277910233,-59.19099426269531
32779,96,-196.0,197,0.584812,0.32708796858787537,-60.035240173339844
32928,97,-148.0,149,0.5829246666666666,0.1816798597574234,-59.122135162353516
33138,98,-209.0,210,0.5802646666666667,0.3860982060432434,-60.906829833984375
33305,99,-166.0,167,0.5781493333333334,0.5423116087913513,-59.967891693115234
33522,100,-216.0,217,0.5754006666666667,0.7103789448738098,-61.1923828125
33716,101,-193.0,194,0.5729433333333334,0.4420347809791565,-60.54589080810547
33874,102,-157.0,158,0.5709420000000001,0.1120741069316864,-60.56389236450195
34107,103,-232.0,233,0.5679906666666666,0.10247208178043365,-59.84672927856445
34277,104,-169.0,170,0.5658373333333333,0.13553057610988617,-61.89202117919922
34440,105,-162.0,163,0.5637726666666667,0.406816691160202,-61.97092056274414
34686,106,-245.0,246,0.5606566666666666,0.7363418936729431,-60.6619758605957
35069,107,-382.0,383,0.5558053333333333,0.17916622757911682,-60.69819259643555
35270,108,-200.0,201,0.5532593333333333,0.49495729804039,-60.85799789428711
35399,109,-128.0,129,0.5516253333333334,0.15666118264198303,-60.65888214111328
35583,110,-183.0,184,0.5492946666666667,0.3845450282096863,-61.00389099121094
35753,111,-169.0,170,0.5471413333333333,0.690794825553894,-61.30084991455078
35944,112,-190.0,191,0.5447219999999999,0.4071921110153198,-59.848567962646484
36100,113,-155.0,156,0.542746,0.15632514655590057,-61.358951568603516
36313,114,-212.0,213,0.540048,0.4713016748428345,-60.49064636230469
36501,115,-187.0,188,0.5376666666666667,0.13788670301437378,-61.945762634277344
36688,116,-186.0,187,0.535298,0.32653772830963135,-60.60374069213867
36800,117,-111.0,112,0.5338793333333334,0.14727479219436646,-60.80268478393555
37013,118,-212.0,213,0.5311813333333333,0.15610258281230927,-62.1609001159668
37156,119,-142.0,143,0.52937,0.22701936960220337,-60.58664321899414
37292,120,-135.0,136,0.5276473333333334,0.16877809166908264,-61.49999237060547
37494,121,-201.0,202,0.5250886666666666,0.10463306307792664,-61.90398025512695
37664,122,-169.0,170,0.5229353333333333,0.533240556716919,-60.98356628417969
37806,123,-141.0,142,0.5211366666666666,0.45851024985313416,-62.2427978515625
