global_step,episode,episode_return,episode_length,epsilon,loss,mean_q_value
994,1,-20.0,994,0.9905665,,
1785,2,-21.0,791,0.983052,,
2601,3,-21.0,816,0.9753000000000001,,
3573,4,-20.0,972,0.966066,,
4399,5,-21.0,826,0.958219,,
5394,6,-20.0,995,0.9487665,,
6172,7,-21.0,778,0.9413755,,
7041,8,-21.0,869,0.93312,,
7860,9,-21.0,819,0.9253395,,
8791,10,-19.0,931,0.9164950000000001,,
9609,11,-21.0,818,0.908724,,
10461,12,-21.0,852,0.90063,,
11222,13,-21.0,761,0.8934005,,
12047,14,-21.0,825,0.885563,,
12864,15,-21.0,817,0.8778015,,
13742,16,-21.0,878,0.8694605,,
14502,17,-21.0,760,0.8622405,,
15571,18,-19.0,1069,0.852085,,
16539,19,-21.0,968,0.842889,,
17504,20,-21.0,965,0.8337215,,
18327,21,-21.0,823,0.825903,,
19233,22,-21.0,906,0.817296,,
20055,23,-21.0,822,0.8094870000000001,0.011529591865837574,0.00023223375319503248
20875,24,-21.0,820,0.801697,0.0040214587934315205,-0.00477137416601181
21797,25,-20.0,922,0.792938,0.030245281755924225,-0.01626124233007431
22679,26,-21.0,882,0.784559,0.015470612794160843,-0.033030785620212555
23459,27,-21.0,780,0.7771490000000001,0.003969775978475809,-0.050308309495449066
24221,28,-21.0,762,0.7699100000000001,0.00034066446823999286,-0.07304069399833679
25177,29,-20.0,956,0.7608280000000001,0.018834732472896576,-0.07835525274276733
25997,30,-21.0,820,0.7530380000000001,0.017812442034482956,-0.07483227550983429
26934,31,-20.0,937,0.7441365,0.006945666391402483,-0.10939627140760422
27932,32,-19.0,998,0.7346555,0.005017346702516079,-0.151411235332489
28816,33,-21.0,884,0.7262575,0.014739004895091057,-0.1250983327627182
29766,34,-20.0,950,0.7172325,0.0037629033904522657,-0.12446873635053635
30583,35,-21.0,817,0.709471,0.004465542268007994,-0.0948135182261467
31753,36,-20.0,1170,0.698356,0.011977282352745533,-0.17503446340560913
33157,37,-18.0,1404,0.685018,0.0034855958074331284,-0.18428859114646912
34079,38,-20.0,922,0.676259,0.0049535902217030525,-0.14375580847263336
35052,39,-21.0,973,0.6670155,0.003687013406306505,-0.18423746526241302
36010,40,-20.0,958,0.6579145000000001,0.00840417668223381,-0.18200328946113586
36773,41,-21.0,763,0.650666,0.0016431893454864621,-0.22961513698101044
37597,42,-21.0,824,0.642838,0.0013921147910878062,-0.18199950456619263
38567,43,-21.0,970,0.633623,0.002027283888310194,-0.13790369033813477
39419,44,-21.0,852,0.625529,0.0017253706464543939,-0.22865279018878937
40451,45,-21.0,1032,0.6157250000000001,0.001830704277381301,-0.2127147614955902
41456,46,-21.0,1005,0.6061775,0.0058054206892848015,-0.2907811105251312
42304,47,-21.0,848,0.5981215,0.0031760483980178833,-0.2791236639022827
43128,48,-21.0,824,0.5902935,0.004775144159793854,-0.2483949214220047
43965,49,-21.0,837,0.582342,0.0030054841190576553,-0.24586467444896698
44934,50,-21.0,969,0.5731365,0.001807976746931672,-0.24164050817489624
45820,51,-20.0,886,0.5647195,0.005405235104262829,-0.2564244270324707
47144,52,-20.0,1324,0.5521415000000001,0.008736975491046906,-0.2689758241176605
48089,53,-20.0,945,0.543164,0.001534725190140307,-0.26370570063591003
48912,54,-21.0,823,0.5353455,0.0015700060175731778,-0.25959479808807373
49843,55,-20.0,931,0.5265010000000001,0.0022169030271470547,-0.331258624792099
50886,56,-20.0,1043,0.5165925,0.0021854862570762634,-0.29983043670654297
51754,57,-20.0,868,0.5083465,0.001195420976728201,-0.33260858058929443
52654,58,-21.0,900,0.4997965000000001,0.0017492197221145034,-0.26236218214035034
53645,59,-20.0,991,0.4903820000000001,0.0019669285975396633,-0.3783814609050751
54455,60,-21.0,810,0.4826870000000001,0.0034314917866140604,-0.35774537920951843
55341,61,-20.0,886,0.4742700000000001,0.0016290917992591858,-0.3380679786205292
56139,62,-21.0,798,0.466689,0.006018258165568113,-0.35945165157318115
57264,63,-18.0,1125,0.45600150000000006,0.002799730747938156,-0.3290696442127228
58392,64,-17.0,1128,0.4452855000000001,0.0016590894665569067,-0.34088194370269775
59280,65,-21.0,888,0.4368495000000001,0.0027287742123007774,-0.36296379566192627
60341,66,-21.0,1061,0.4267700000000001,0.0018323876429349184,-0.3517044186592102
61172,67,-20.0,831,0.41887550000000007,0.003072777297347784,-0.3270275294780731
62114,68,-21.0,942,0.4099265000000001,0.0028097128961235285,-0.3803982734680176
63187,69,-19.0,1073,0.3997330000000001,0.002312649507075548,-0.39717990159988403
63977,70,-21.0,790,0.392228,0.0013808665098622441,-0.3937815725803375
64861,71,-21.0,884,0.3838300000000001,0.0014354705344885588,-0.3559299111366272
65643,72,-21.0,782,0.3764010000000001,0.0017420467920601368,-0.3983989357948303
66436,73,-21.0,793,0.3688675000000001,0.003165693022310734,-0.4054948687553406
67289,74,-20.0,853,0.3607640000000001,0.0024283812381327152,-0.4795065224170685
68456,75,-21.0,1167,0.3496775000000001,0.0063136424869298935,-0.445525586605072
69276,76,-21.0,820,0.3418875000000001,0.0012320161331444979,-0.467367559671402
70052,77,-21.0,776,0.3345155000000001,0.0032725618220865726,-0.4368187189102173
71132,78,-21.0,1080,0.32425550000000003,0.003651923965662718,-0.5009411573410034
71986,79,-21.0,854,0.3161425000000001,0.0028482279740273952,-0.526725709438324
72766,80,-21.0,780,0.3087325000000001,0.0029259752482175827,-0.4377650022506714
73662,81,-20.0,896,0.3002205000000001,0.002103552222251892,-0.48278898000717163
74516,82,-21.0,854,0.2921075000000001,0.0007353785913437605,-0.49386340379714966
75382,83,-20.0,866,0.2838805000000001,0.003763139247894287,-0.5210707783699036
76234,84,-21.0,852,0.27578650000000005,0.0027015539817512035,-0.5350943803787231
77022,85,-21.0,788,0.26830050000000005,0.003759210929274559,-0.5023490190505981
77935,86,-20.0,913,0.25962700000000005,0.0011507179588079453,-0.5035109519958496
78757,87,-21.0,822,0.2518180000000001,0.0023673498071730137,-0.5257949829101562
79575,88,-21.0,818,0.24404700000000012,0.0031198065262287855,-0.5587217807769775
80393,89,-21.0,818,0.23627600000000004,0.00194357440341264,-0.570410966873169
81270,90,-21.0,877,0.2279445000000001,0.002879178151488304,-0.6088911294937134
82087,91,-21.0,817,0.22018300000000013,0.003077056957408786,-0.558042585849762
82906,92,-21.0,819,0.21240250000000005,0.0018997493898496032,-0.5433378219604492
83849,93,-20.0,943,0.20344400000000007,0.0034044403582811356,-0.5675485134124756
84879,94,-21.0,1030,0.19365900000000014,0.0021601086482405663,-0.6215320825576782
85845,95,-21.0,966,0.18448200000000015,0.0014543425058946013,-0.6382583975791931
86798,96,-20.0,953,0.1754285000000001,0.002635265002027154,-0.5641686320304871
87789,97,-20.0,991,0.1660140000000001,0.0022902190685272217,-0.6382144689559937
88974,98,-20.0,1185,0.15475650000000007,0.0024847155436873436,-0.5688081979751587
90062,99,-20.0,1088,0.14442050000000006,0.0022661718539893627,-0.6204673051834106
91086,100,-19.0,1024,0.1346925000000001,0.0025676777586340904,-0.6327306032180786
92061,101,-21.0,975,0.12543000000000015,0.0037725716829299927,-0.6008995771408081
93703,102,-17.0,1642,0.10983100000000012,0.0036578294821083546,-0.6666080951690674
94757,103,-20.0,1054,0.09981800000000007,0.00295705976895988,-0.6501355171203613
96158,104,-18.0,1401,0.0865085000000001,0.007946716621518135,-0.6521685719490051
97059,105,-21.0,901,0.07794900000000016,0.0034786579199135303,-0.6085138320922852
97945,106,-21.0,886,0.06953200000000015,0.0020298268646001816,-0.6633399128913879
98799,107,-21.0,854,0.06141900000000011,0.002013165270909667,-0.6244397759437561
99987,108,-20.0,1188,0.050133000000000094,0.0033752869348973036,-0.6458818316459656
100827,109,-21.0,840,0.05,0.003449430223554373,-0.6427690982818604
102173,110,-18.0,1346,0.05,0.0015223893569782376,-0.700222373008728
103386,111,-19.0,1213,0.05,0.002275279723107815,-0.6873037219047546
104557,112,-19.0,1171,0.05,0.0031525660306215286,-0.6764252185821533
105768,113,-21.0,1211,0.05,0.0017857910133898258,-0.6965594291687012
106855,114,-21.0,1087,0.05,0.005384915508329868,-0.6756033897399902
108177,115,-19.0,1322,0.05,0.0024568357039242983,-0.681476354598999
109393,116,-19.0,1216,0.05,0.0019665355794131756,-0.6580920815467834
110835,117,-19.0,1442,0.05,0.0036361515522003174,-0.6506736278533936
112272,118,-19.0,1437,0.05,0.0020451070740818977,-0.7151461839675903
114004,119,-16.0,1732,0.05,0.001247533829882741,-0.6916521787643433
115582,120,-18.0,1578,0.05,0.0031086765229701996,-0.7023627758026123
117049,121,-17.0,1467,0.05,0.00378693756647408,-0.672011137008667
118421,122,-18.0,1372,0.05,0.003886487800627947,-0.7368383407592773
119559,123,-18.0,1138,0.05,0.001892403932288289,-0.7035822868347168
120692,124,-20.0,1133,0.05,0.0064470102079212666,-0.7641897201538086
122389,125,-17.0,1697,0.05,0.0016763861058279872,-0.720134973526001
123806,126,-21.0,1417,0.05,0.004739939235150814,-0.6874953508377075
125031,127,-20.0,1225,0.05,0.0033491444773972034,-0.6771694421768188
126671,128,-19.0,1640,0.05,0.006567236501723528,-0.6418748497962952
128044,129,-18.0,1373,0.05,0.0016036152373999357,-0.638640284538269
129539,130,-20.0,1495,0.05,0.002375250682234764,-0.6741231679916382
131204,131,-20.0,1665,0.05,0.004736633040010929,-0.6420207023620605
132644,132,-19.0,1440,0.05,0.0022055504377931356,-0.6963046193122864
134464,133,-15.0,1820,0.05,0.003762120846658945,-0.6626977920532227
135916,134,-18.0,1452,0.05,0.00651795556768775,-0.6508867144584656
137674,135,-20.0,1758,0.05,0.002958241617307067,-0.7129895687103271
139435,136,-16.0,1761,0.05,0.002662935061380267,-0.7067770957946777
140949,137,-21.0,1514,0.05,0.002374585485085845,-0.636027455329895
142814,138,-17.0,1865,0.05,0.0028132121078670025,-0.6886625289916992
