global_step,episode,episode_return,episode_length,epsilon,loss,mean_q_value
29,1,29.0,29,0.9996453333333334,,
40,2,11.0,11,0.999506,,
52,3,12.0,12,0.999354,,
72,4,20.0,20,0.9991006666666666,,
106,5,34.0,34,0.99867,,
137,6,31.0,31,0.9982773333333333,,
155,7,18.0,18,0.9980493333333333,,
169,8,14.0,14,0.997872,,
188,9,19.0,19,0.9976313333333333,,
231,10,43.0,43,0.9970866666666667,,
241,11,10.0,10,0.99696,,
280,12,39.0,39,0.996466,,
296,13,16.0,16,0.9962633333333333,,
316,14,20.0,20,0.99601,,
332,15,16.0,16,0.9958073333333334,,
350,16,18.0,18,0.9955793333333334,,
390,17,40.0,40,0.9950726666666667,,
402,18,12.0,12,0.9949206666666667,,
427,19,25.0,25,0.994604,,
439,20,12.0,12,0.994452,,
455,21,16.0,16,0.9942493333333333,,
468,22,13.0,13,0.9940846666666666,,
498,23,30.0,30,0.9937046666666667,,
518,24,20.0,20,0.9934513333333334,,
534,25,16.0,16,0.9932486666666667,,
543,26,9.0,9,0.9931346666666667,,
557,27,14.0,14,0.9929573333333334,,
605,28,48.0,48,0.9923493333333333,,
628,29,23.0,23,0.992058,,
662,30,34.0,34,0.9916273333333333,,
681,31,19.0,19,0.9913866666666666,,
697,32,16.0,16,0.991184,,
727,33,30.0,30,0.990804,,
743,34,16.0,16,0.9906013333333333,,
759,35,16.0,16,0.9903986666666666,,
777,36,18.0,18,0.9901706666666666,,
833,37,56.0,56,0.9894613333333333,,
859,38,26.0,26,0.989132,,
896,39,37.0,37,0.9886633333333333,,
943,40,47.0,47,0.988068,,
959,41,16.0,16,0.9878653333333334,,
977,42,18.0,18,0.9876373333333334,,
1011,43,34.0,34,0.9872066666666667,0.25815898180007935,0.3100724220275879
1022,44,11.0,11,0.9870673333333333,0.04705248028039932,0.7935791015625
1050,45,28.0,28,0.9867126666666667,0.0051448047161102295,0.958200216293335
1063,46,13.0,13,0.986548,0.0013221480185166001,1.03834068775177
1081,47,18.0,18,0.98632,0.000745524070225656,1.0194370746612549
1093,48,12.0,12,0.986168,0.00043441663729026914,1.0208768844604492
1105,49,12.0,12,0.986016,0.0005236286669969559,1.0240845680236816
1150,50,45.0,45,0.985446,0.00043760519474744797,1.0258724689483643
1165,51,15.0,15,0.985256,0.0003548931563273072,1.0240490436553955
1183,52,18.0,18,0.985028,0.00020776291785296053,1.026411771774292
1211,53,28.0,28,0.9846733333333333,0.00016796484123915434,1.0245616436004639
1239,54,28.0,28,0.9843186666666667,0.0001862156786955893,1.0256752967834473
1267,55,28.0,28,0.983964,0.07721014320850372,2.3074541091918945
1302,56,35.0,35,0.9835206666666667,0.01922696828842163,2.0200936794281006
1315,57,13.0,13,0.983356,0.01635396108031273,1.9678003787994385
1326,58,11.0,11,0.9832166666666666,0.02515232376754284,1.959578514099121
1336,59,10.0,10,0.98309,0.03428364172577858,2.0060431957244873
1350,60,14.0,14,0.9829126666666667,0.031895920634269714,2.0121867656707764
1362,61,12.0,12,0.9827606666666666,0.01635022647678852,1.9868595600128174
1380,62,18.0,18,0.9825326666666667,0.012422575615346432,1.963135004043579
1415,63,35.0,35,0.9820893333333334,0.02438664436340332,1.98246169090271
1427,64,12.0,12,0.9819373333333333,0.01571313478052616,1.9784421920776367
1448,65,21.0,21,0.9816713333333333,0.014320380985736847,1.975318431854248
1467,66,19.0,19,0.9814306666666667,0.0151604525744915,1.9790842533111572
1493,67,26.0,26,0.9811013333333334,0.02378280833363533,1.9697885513305664
1507,68,14.0,14,0.980924,0.2218400239944458,2.3410098552703857
1536,69,29.0,29,0.9805566666666666,0.028542902320623398,2.964785099029541
1549,70,13.0,13,0.980392,0.04365101456642151,2.8847317695617676
1578,71,29.0,29,0.9800246666666667,0.021296873688697815,2.934501886367798
1599,72,21.0,21,0.9797586666666667,0.06678416579961777,2.822507381439209
1623,73,24.0,24,0.9794546666666667,0.023170731961727142,2.8902807235717773
1662,74,39.0,39,0.9789606666666667,0.028393734246492386,2.987910747528076
1681,75,19.0,19,0.97872,0.03909958526492119,2.897458553314209
1694,76,13.0,13,0.9785553333333333,0.01806715503334999,2.887932777404785
1711,77,17.0,17,0.97834,0.022129317745566368,2.958413600921631
1732,78,21.0,21,0.978074,0.019506506621837616,2.906202554702759
1747,79,15.0,15,0.977884,0.03726532682776451,2.9547383785247803
1772,80,25.0,25,0.9775673333333333,0.06965763866901398,3.631096124649048
1800,81,28.0,28,0.9772126666666666,0.031240977346897125,3.7385525703430176
1813,82,13.0,13,0.977048,0.048011280596256256,3.800898790359497
1885,83,72.0,72,0.976136,0.056851714849472046,3.7420763969421387
1900,84,15.0,15,0.975946,0.03929600864648819,3.8320579528808594
1913,85,13.0,13,0.9757813333333334,0.05204474553465843,3.7468981742858887
1926,86,13.0,13,0.9756166666666667,0.05303105339407921,3.7569825649261475
1940,87,14.0,14,0.9754393333333333,0.04281914234161377,3.6079978942871094
1951,88,11.0,11,0.9753000000000001,0.038425590842962265,3.8051769733428955
1966,89,15.0,15,0.97511,0.04060447961091995,3.7733187675476074
1986,90,20.0,20,0.9748566666666667,0.020844247192144394,3.8505139350891113
1997,91,11.0,11,0.9747173333333333,0.02594750002026558,3.7751245498657227
2027,92,30.0,30,0.9743373333333334,0.09262658655643463,4.60944938659668
2039,93,12.0,12,0.9741853333333333,0.03349238634109497,4.683964729309082
2073,94,34.0,34,0.9737546666666667,0.07832823693752289,4.608987808227539
2102,95,29.0,29,0.9733873333333334,0.09164660423994064,4.635164260864258
2153,96,51.0,51,0.9727413333333333,0.04988614469766617,4.500504970550537
2166,97,13.0,13,0.9725766666666666,0.06617756932973862,4.5487565994262695
2179,98,13.0,13,0.972412,0.03019396774470806,4.698389530181885
2199,99,20.0,20,0.9721586666666666,0.029027001932263374,4.701841354370117
2209,100,10.0,10,0.972032,0.02621733397245407,4.576709270477295
2319,101,110.0,110,0.9706386666666666,0.022163432091474533,5.597653388977051
2354,102,35.0,35,0.9701953333333333,0.037969302386045456,5.661062717437744
2395,103,41.0,41,0.969676,0.014634806662797928,5.4732255935668945
2410,104,15.0,15,0.969486,0.048217467963695526,5.463906288146973
2442,105,32.0,32,0.9690806666666667,0.046540599316358566,5.484614372253418
2467,106,25.0,25,0.968764,0.028776684775948524,5.297550678253174
2484,107,17.0,17,0.9685486666666667,0.03596154600381851,5.653378009796143
2502,108,18.0,18,0.9683206666666666,0.44362032413482666,5.293753623962402
2524,109,22.0,22,0.968042,0.03189907595515251,6.358725547790527
2537,110,13.0,13,0.9678773333333334,0.04727970063686371,6.614452362060547
2550,111,13.0,13,0.9677126666666667,0.07427359372377396,6.519084930419922
2566,112,16.0,16,0.96751,0.06846551597118378,6.447546005249023
2580,113,14.0,14,0.9673326666666666,0.0388665534555912,6.452886581420898
2599,114,19.0,19,0.967092,0.03348493203520775,6.2604780197143555
2620,115,21.0,21,0.966826,0.01430574618279934,6.526823043823242
2663,116,43.0,43,0.9662813333333333,0.07037883251905441,6.1146392822265625
2718,117,55.0,55,0.9655846666666666,0.04326680675148964,6.440705299377441
2731,118,13.0,13,0.96542,0.05550038442015648,6.342334270477295
2763,119,32.0,32,0.9650146666666667,0.1731920689344406,7.736850738525391
2784,120,21.0,21,0.9647486666666667,0.10011779516935349,7.262484550476074
2795,121,11.0,11,0.9646093333333333,0.026855407282710075,7.365302562713623
2808,122,13.0,13,0.9644446666666666,0.03987377882003784,7.324183940887451
