global_step,episode,episode_return,episode_length,epsilon,loss,mean_q_value
66,1,-189.96201019186577,66,0.9991766666666667,,
180,2,-291.5387046713623,114,0.9977326666666667,,
269,3,-282.445346248145,89,0.9966053333333333,,
361,4,-92.63539272089471,92,0.99544,,
493,5,-394.424818288063,132,0.993768,,
621,6,-59.06435443954515,128,0.9921466666666666,,
716,7,-309.4460871980939,95,0.9909433333333333,,
792,8,-212.3533338736222,76,0.9899806666666666,,
860,9,-100.51910269205247,68,0.9891193333333334,,
945,10,-342.1218351419254,85,0.9880426666666666,,
1065,11,-227.3928111843614,120,0.9865226666666667,0.8820769190788269,-1.4708999395370483
1139,12,-75.12031271802502,74,0.9855853333333333,1.9060413837432861,-1.5145907402038574
1208,13,-282.3477231821804,69,0.9847113333333334,0.9798274040222168,-1.869829535484314
1294,14,-205.62823073514642,86,0.983622,2.1285507678985596,-1.887229084968567
1386,15,-95.40638913994249,92,0.9824566666666666,0.5920515656471252,-0.7467271089553833
1501,16,-250.79745016254753,115,0.981,0.23371578752994537,-1.6686644554138184
1609,17,-121.76065624461062,108,0.979632,1.136971354484558,-1.4205596446990967
1720,18,-331.7303349125574,111,0.978226,0.38318875432014465,-1.5416417121887207
1854,19,-277.1892336817232,134,0.9765286666666667,1.228737711906433,-3.882338047027588
1964,20,-115.31326379597246,110,0.9751353333333334,1.5823860168457031,-1.6206903457641602
2041,21,-71.67137965026883,77,0.97416,1.2299113273620605,0.5788756012916565
2107,22,-91.39757146112024,66,0.973324,1.2399308681488037,0.5051538944244385
2191,23,-135.08664717278128,84,0.97226,1.6382811069488525,2.023806571960449
2266,24,-145.07562804292996,75,0.97131,0.877219021320343,-0.5879717469215393
2328,25,-61.67723263944249,62,0.9705246666666667,0.26154854893684387,3.152188777923584
2440,26,-267.8713631303771,112,0.969106,1.226726770401001,1.4035465717315674
2557,27,-216.33270182883362,117,0.967624,1.1254198551177979,0.6035387516021729
2665,28,-367.8802167265623,108,0.966256,0.906433641910553,2.3895928859710693
2732,29,-68.86144834970489,67,0.9654073333333333,2.7894210815429688,-1.6737744808197021
2838,30,-256.9174937711065,106,0.9640646666666667,1.3089189529418945,2.0234339237213135
2920,31,-356.7982256731301,82,0.963026,1.3509764671325684,2.1098201274871826
2989,32,-135.0608003118769,69,0.962152,2.2449405193328857,1.4607155323028564
3107,33,-150.0736616683489,118,0.9606573333333334,2.6230509281158447,-0.3001982569694519
3175,34,-103.5250012442117,68,0.959796,2.252744436264038,-0.13229750096797943
3259,35,-214.82778884940015,84,0.958732,2.004603147506714,4.791615962982178
3336,36,-88.78882415000375,77,0.9577566666666667,0.3300982713699341,3.851680278778076
3443,37,-102.15064163485287,107,0.9564013333333333,1.6004480123519897,3.6475024223327637
3517,38,-88.75436064195257,74,0.955464,1.6832891702651978,5.4890313148498535
3612,39,-294.9503030276888,95,0.9542606666666666,1.4077095985412598,2.550464153289795
3698,40,-78.94749992373518,86,0.9531713333333334,2.003340244293213,4.8015947341918945
3757,41,-62.3463156555452,59,0.952424,1.2646888494491577,7.343088626861572
3841,42,-99.20188704367311,84,0.95136,0.855904221534729,4.962270736694336
3938,43,-217.2395397178419,97,0.9501313333333333,3.1614885330200195,2.2450852394104004
4027,44,-47.478787197667245,89,0.949004,1.0148603916168213,6.192168712615967
4134,45,-152.11764868165585,107,0.9476486666666667,1.629719853401184,9.995316505432129
4219,46,-144.75782433380522,85,0.946572,1.9390500783920288,7.894510269165039
4279,47,-98.10943978067203,60,0.945812,1.3189018964767456,7.964147567749023
4399,48,-120.85891422810357,120,0.944292,2.372711181640625,4.727890968322754
4489,49,-80.71134242308251,90,0.943152,2.0502800941467285,8.711992263793945
4590,50,-65.70547708697593,101,0.9418726666666667,1.6463853120803833,8.198991775512695
4655,51,-125.7541584889982,65,0.9410493333333333,1.5685956478118896,7.69490385055542
4776,52,-116.5920111927387,121,0.9395166666666667,2.342275619506836,11.854270935058594
4840,53,-139.6479772658862,64,0.938706,1.740196943283081,12.861910820007324
4972,54,4.12151673740253,132,0.937034,1.171701192855835,10.35871410369873
5049,55,-254.6742150950756,77,0.9360586666666667,1.0446832180023193,14.374595642089844
5123,56,-108.32391637670328,74,0.9351213333333334,2.3421621322631836,13.747199058532715
5190,57,-78.86192599489755,67,0.9342726666666666,2.423680067062378,11.045759201049805
5282,58,-393.7074669425633,92,0.9331073333333333,1.3940857648849487,13.596211433410645
5368,59,-102.46390827847036,86,0.932018,2.572214126586914,13.48604965209961
5458,60,-324.13460495305026,90,0.930878,1.285662293434143,13.277897834777832
5560,61,-94.00907745551426,102,0.929586,1.1655845642089844,13.473250389099121
5662,62,-122.26015187612454,102,0.928294,2.329970121383667,10.04526138305664
5742,63,-104.23674995934479,80,0.9272806666666666,0.6345359086990356,15.164878845214844
5822,64,-107.330351449079,80,0.9262673333333333,0.6506662368774414,15.9666748046875
5884,65,-66.09912695947037,62,0.925482,0.38820379972457886,18.16597557067871
5983,66,-143.53358581422083,99,0.924228,0.3872777223587036,15.49135971069336
6102,67,-168.33033968608305,119,0.9227206666666666,0.4687598645687103,16.38007164001465
6232,68,-132.9989182223393,130,0.921074,0.3670959174633026,19.610761642456055
6335,69,-95.45473918892692,103,0.9197693333333333,1.1854567527770996,16.566226959228516
6438,70,-151.70088347963673,103,0.9184646666666667,1.122459053993225,19.439603805541992
6498,71,-226.4033585162491,60,0.9177046666666666,1.0103766918182373,11.404546737670898
6603,72,-67.58455256409667,105,0.9163746666666667,0.8874281644821167,14.973154067993164
6696,73,-101.86149105135803,93,0.9151966666666667,1.2180098295211792,18.130386352539062
6800,74,-75.37762637492004,104,0.9138793333333334,3.160750150680542,13.9033203125
6916,75,-82.33046294417079,116,0.9124099999999999,2.081923484802246,11.726627349853516
7002,76,-306.67235084087855,86,0.9113206666666667,2.3490216732025146,15.776067733764648
7082,77,-96.34834576735777,80,0.9103073333333334,0.594509482383728,19.976272583007812
7156,78,-112.21902532081131,74,0.90937,1.3245693445205688,17.38225746154785
7260,79,-102.30917627291954,104,0.9080526666666666,1.1672916412353516,21.879854202270508
7322,80,-89.355847820307,62,0.9072673333333333,0.8474893569946289,20.880508422851562
7400,81,1.2178327140157563,78,0.9062793333333333,0.6257761716842651,19.234344482421875
7520,82,-70.52745503018812,120,0.9047593333333334,1.2845301628112793,14.007223129272461
7586,83,-117.87806083021243,66,0.9039233333333333,0.5136826038360596,19.128376007080078
7664,84,-94.5644386049337,78,0.9029353333333333,1.1209498643875122,22.176057815551758
7736,85,-82.73469065046244,72,0.9020233333333333,1.9368422031402588,19.472496032714844
7843,86,-182.33963366778627,107,0.900668,1.3162572383880615,16.167552947998047
7941,87,-70.20971468472234,98,0.8994266666666667,0.7404165863990784,21.65084457397461
8008,88,-96.88845127530864,67,0.898578,0.781579315662384,26.27463150024414
8080,89,-119.92585181149619,72,0.897666,0.44707396626472473,28.651506423950195
8167,90,-146.0826306421729,87,0.896564,1.1580920219421387,21.28529167175293
8258,91,-128.52150497922628,91,0.8954113333333333,1.261333703994751,20.845483779907227
8342,92,-233.29756098990518,84,0.8943473333333334,1.0565990209579468,21.872543334960938
8467,93,-48.90334087538284,125,0.892764,1.056078553199768,20.135467529296875
8576,94,-106.70862361108841,109,0.8913833333333333,2.1740493774414062,23.269245147705078
8645,95,-67.43553439768803,69,0.8905093333333334,0.7972986698150635,19.629770278930664
8764,96,-102.10564280934756,119,0.889002,1.234898328781128,19.08040428161621
8859,97,-118.00231844272527,95,0.8877986666666666,0.6633551716804504,23.78109359741211
8964,98,-61.18146068702488,105,0.8864686666666667,0.7961337566375732,23.07777214050293
