global_step,episode,episode_return,episode_length,epsilon,loss,mean_q_value
6,1,0.0,6,0.962890625,,
12,2,0.0,6,0.918359375,,
18,3,0.0,6,0.873828125,,
24,4,0.0,6,0.829296875,,
40,5,1.0,16,0.710546875,0.0008131948998197913,0.1096634566783905
46,6,0.0,6,0.666015625,0.029517939314246178,0.14473852515220642
52,7,0.0,6,0.6214843750000001,0.002007430652156472,0.14108692109584808
58,8,0.0,6,0.576953125,0.001246149535290897,0.12340927869081497
64,9,0.0,6,0.532421875,0.0015805772272869945,0.1144799292087555
70,10,0.0,6,0.487890625,0.0003855819522868842,0.12790074944496155
76,11,0.0,6,0.443359375,0.0012169734109193087,0.12085113674402237
82,12,0.0,6,0.398828125,0.028609175235033035,0.11906535923480988
88,13,0.0,6,0.35429687500000007,0.0009668415877968073,0.11407342553138733
94,14,0.0,6,0.30976562500000004,0.00018473896489012986,0.11237476766109467
100,15,0.0,6,0.265234375,0.01369498297572136,0.1031300276517868
106,16,0.0,6,0.220703125,0.0009125887299887836,0.1168484166264534
112,17,0.0,6,0.1761718750000001,0.013721339404582977,0.11887089163064957
118,18,0.0,6,0.13164062500000007,0.0008821815717965364,0.11841538548469543
124,19,0.0,6,0.08710937500000004,0.00038635043893009424,0.10338626801967621
140,20,1.0,16,0.05,0.015416045673191547,0.13124525547027588
146,21,0.0,6,0.05,0.0005279249744489789,0.12019871175289154
152,22,0.0,6,0.05,0.00037424248876050115,0.10653936862945557
180,23,2.0,28,0.05,0.000484268122818321,0.12086017429828644
186,24,0.0,6,0.05,0.03442009165883064,0.12367037683725357
192,25,0.0,6,0.05,0.0015374156646430492,0.11400209367275238
198,26,0.0,6,0.05,0.0004888273542746902,0.09886397421360016
204,27,0.0,6,0.05,0.0012765906285494566,0.12829981744289398
210,28,0.0,6,0.05,0.0015598569298163056,0.12784163653850555
226,29,1.0,16,0.05,0.011584031395614147,0.15777938067913055
232,30,0.0,6,0.05,0.0016069244593381882,0.14891932904720306
238,31,0.0,6,0.05,0.010063477791845798,0.1299852728843689
244,32,0.0,6,0.05,0.010246415622532368,0.16863399744033813
250,33,0.0,6,0.05,0.0005715588922612369,0.10598327219486237
