global_step,episode,episode_return,episode_length,epsilon,loss,mean_q_value,dictionary_entries,dictionary_min_entries,q_values
500,1,-500.0,500,0.9936793333333334,,,500,156,"[0.0, 0.0, 0.0]"
1000,2,-500.0,500,0.987346,,,1000,318,"[-35.772003173828125, -35.77910614013672, -33.63209533691406]"
1500,3,-500.0,500,0.9810126666666666,5.306767463684082,-47.57457733154297,1500,465,"[-52.01519775390625, -49.36463928222656, -51.934165954589844]"
2000,4,-500.0,500,0.9746793333333333,5.0597004890441895,-53.030242919921875,2000,632,"[-52.21269607543945, -51.59126281738281, -63.019065856933594]"
2500,5,-500.0,500,0.968346,6.521760940551758,-54.60236358642578,2500,807,"[-66.2523193359375, -47.96541213989258, -61.945281982421875]"
3000,6,-500.0,500,0.9620126666666666,7.813335418701172,-56.856075286865234,3000,977,"[-61.84798812866211, -61.46458435058594, -59.443580627441406]"
3500,7,-500.0,500,0.9556793333333333,6.924443244934082,-60.187095642089844,3500,1135,"[-42.39237594604492, -52.05381774902344, -45.34367370605469]"
4000,8,-500.0,500,0.949346,7.98599910736084,-59.34712219238281,4000,1311,"[-61.18687057495117, -55.058555603027344, -62.73878479003906]"
4500,9,-500.0,500,0.9430126666666667,7.154059886932373,-61.456825256347656,4500,1469,"[-61.1712760925293, -65.27587890625, -45.519248962402344]"
5000,10,-500.0,500,0.9366793333333333,7.033157825469971,-62.70051574707031,5000,1630,"[-63.98413848876953, -64.72715759277344, -66.10918426513672]"
5500,11,-500.0,500,0.930346,5.937147617340088,-64.87323760986328,5500,1808,"[-64.78389739990234, -69.03411102294922, -70.29191589355469]"
6000,12,-500.0,500,0.9240126666666667,7.81976842880249,-63.806488037109375,6000,1971,"[-65.76874542236328, -61.955955505371094, -54.909080505371094]"
6500,13,-500.0,500,0.9176793333333333,6.639029502868652,-65.41079711914062,6500,2130,"[-69.24252319335938, -62.62480545043945, -65.91612243652344]"
7000,14,-500.0,500,0.911346,6.635532855987549,-66.00806427001953,7000,2305,"[-69.23340606689453, -53.42671203613281, -69.82093048095703]"
7500,15,-500.0,500,0.9050126666666667,6.980707168579102,-65.89419555664062,7500,2474,"[-61.705604553222656, -71.08528137207031, -64.92829895019531]"
8000,16,-500.0,500,0.8986793333333334,7.021174430847168,-65.33633422851562,8000,2639,"[-68.40821838378906, -67.05241394042969, -56.78538513183594]"
8500,17,-500.0,500,0.892346,5.903336524963379,-67.21525573730469,8500,2792,"[-73.59606170654297, -65.95103454589844, -69.6329574584961]"
