global_step,episode,episode_return,episode_length,epsilon,loss,mean_q_value,dictionary_entries,dictionary_min_entries,q_values
977,1,-21.0,977,0.981456,,,977,142,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1878,2,-21.0,901,0.964337,,,1878,272,"[-0.43843328952789307, -0.5427392721176147, -0.7476928234100342, -0.8707664012908936, -1.1123738288879395, -0.6831629872322083]"
2805,3,-20.0,927,0.946724,0.1526443213224411,-1.034096360206604,2805,441,"[-1.0095288753509521, -1.0247893333435059, -1.0893772840499878, -1.0365967750549316, -1.1268452405929565, -0.9411777257919312]"
3704,4,-20.0,899,0.929643,0.15877392888069153,-1.2533742189407349,3704,586,"[-1.4051008224487305, -1.2092152833938599, -1.223934292793274, -1.4706906080245972, -1.1388638019561768, -1.3419153690338135]"
4468,5,-21.0,764,0.915127,0.1694900393486023,-1.277585506439209,4468,722,"[-1.1549214124679565, -0.975618302822113, -0.7673454284667969, -1.3865277767181396, -0.9530057907104492, -1.0687569379806519]"
5313,6,-21.0,845,0.899072,0.1251951903104782,-1.3220300674438477,5313,845,"[-1.0609463453292847, -1.190567970275879, -1.063437581062317, -0.9990957379341125, -1.0425225496292114, -1.2195090055465698]"
6188,7,-21.0,875,0.882447,0.08600635826587677,-1.4490528106689453,6188,990,"[-1.063231348991394, -1.20871901512146, -1.2953310012817383, -0.911679744720459, -1.0630109310150146, -1.1259340047836304]"
7163,8,-20.0,975,0.8639220000000001,0.07414879649877548,-1.4415576457977295,7163,1146,"[-0.8545238971710205, -1.0743659734725952, -0.8981753587722778, -0.7793901562690735, -0.8112682104110718, -0.698689877986908]"
8153,9,-20.0,990,0.8451120000000001,0.0794745534658432,-1.441664695739746,8153,1298,"[-1.204497218132019, -1.0572246313095093, -1.0207537412643433, -0.9083309769630432, -0.9520235061645508, -0.8919468522071838]"
9185,10,-21.0,1032,0.825504,0.061249393969774246,-1.47922945022583,9185,1475,"[-0.8375458121299744, -0.9410169720649719, -0.8233776092529297, -0.8344635963439941, -0.834092378616333, -0.9194015264511108]"
10196,11,-20.0,1011,0.806295,0.06755754351615906,-1.5543832778930664,10196,1661,"[-1.1238305568695068, -1.1544597148895264, -0.7893758416175842, -0.8362910747528076, -1.1964678764343262, -1.0912913084030151]"
11297,12,-20.0,1101,0.7853760000000001,0.07179906219244003,-1.542946696281433,11297,1826,"[-0.9641894102096558, -0.9499975442886353, -0.8624931573867798, -0.8678386807441711, -0.8720452785491943, -1.1213383674621582]"
12146,13,-21.0,849,0.7692450000000001,0.06797812134027481,-1.5019198656082153,12146,1954,"[-0.9600334167480469, -1.0341874361038208, -0.8283093571662903, -0.8569826483726501, -0.8437787294387817, -1.1346478462219238]"
13086,14,-21.0,940,0.751385,0.0692213699221611,-1.477799415588379,13086,2112,"[-0.902022659778595, -1.0773825645446777, -0.8569873571395874, -0.9219887852668762, -0.886211097240448, -1.0756199359893799]"
13871,15,-21.0,785,0.73647,0.07292059808969498,-1.5707767009735107,13871,2217,"[-0.82901930809021, -0.7935742735862732, -0.8117460012435913, -0.778252363204956, -0.7935998439788818, -0.7718014717102051]"
14809,16,-21.0,938,0.718648,0.06594649702310562,-1.5701113939285278,14809,2395,"[-0.8650532960891724, -0.787510335445404, -0.8280929923057556, -0.8191130757331848, -0.8176722526550293, -0.8190373778343201]"
15631,17,-21.0,822,0.70303,0.07801716774702072,-1.5214040279388428,15631,2534,"[-0.9628719687461853, -0.8060039281845093, -1.0296838283538818, -0.7789467573165894, -0.8898203372955322, -0.8577467799186707]"
16625,18,-21.0,994,0.6841440000000001,0.07538709044456482,-1.5292832851409912,16625,2719,"[-1.2553478479385376, -1.4855997562408447, -1.131293773651123, -1.220537543296814, -0.9555371999740601, -1.1220452785491943]"
17709,19,-18.0,1084,0.663548,0.0775819718837738,-1.6518120765686035,17709,2876,"[-0.7046460509300232, -0.6596829891204834, -0.7814346551895142, -0.8551567792892456, -0.7417998313903809, -0.6961381435394287]"
18699,20,-20.0,990,0.644738,0.06826318800449371,-1.5974137783050537,18699,3046,"[-1.2323819398880005, -0.9715880751609802, -1.0783871412277222, -1.4329862594604492, -1.1221009492874146, -1.2129920721054077]"
19744,21,-20.0,1045,0.6248830000000001,0.05142351612448692,-1.5612120628356934,19744,3209,"[-1.1275038719177246, -1.1689428091049194, -1.2175347805023193, -0.9863255023956299, -0.9882653951644897, -1.443160891532898]"
20863,22,-20.0,1119,0.6036220000000001,0.06666634231805801,-1.5462896823883057,20863,3387,"[-0.9958339929580688, -0.8924757838249207, -1.0485247373580933, -0.8944495320320129, -0.9914951324462891, -0.8412742614746094]"
22138,23,-17.0,1275,0.579397,0.049566078931093216,-1.6040910482406616,22138,3599,"[-0.8537254333496094, -0.8393332958221436, -0.892869234085083, -0.8488897085189819, -1.0119426250457764, -0.980166494846344]"
23034,24,-21.0,896,0.562373,0.10196845978498459,-1.5081825256347656,23034,3734,"[-0.8267145156860352, -0.7312573194503784, -0.8239185810089111, -0.7343087792396545, -0.8399547934532166, -0.7322321534156799]"
24039,25,-19.0,1005,0.543278,0.06779255717992783,-1.6121443510055542,24039,3874,"[-0.845168948173523, -0.8847572803497314, -0.885993480682373, -0.9240070581436157, -0.8291916251182556, -0.8578152060508728]"
24982,26,-21.0,943,0.5253610000000001,0.09708212316036224,-1.5153499841690063,24982,4016,"[-0.7435645461082458, -0.7575518488883972, -0.8571329712867737, -0.7295610308647156, -0.8810306787490845, -0.7871392369270325]"
25923,27,-21.0,941,0.507482,0.0659855306148529,-1.5922101736068726,25923,4170,"[-0.6989606618881226, -0.7778674960136414, -0.8639249205589294, -0.6839177012443542, -0.801837682723999, -0.7190653085708618]"
27068,28,-19.0,1145,0.485727,0.07180668413639069,-1.5636019706726074,27068,4375,"[-0.8819515109062195, -0.8845940232276917, -0.8553289175033569, -0.8594269752502441, -0.8423612713813782, -0.9080297946929932]"
27987,29,-21.0,919,0.46826600000000007,0.06114507466554642,-1.5357078313827515,27987,4548,"[-0.9677832126617432, -0.8438217639923096, -0.9950041770935059, -0.9185271859169006, -1.0505406856536865, -0.8525081872940063]"
29075,30,-19.0,1088,0.44759400000000005,0.06383256614208221,-1.534562349319458,29075,4716,"[-0.8831489086151123, -0.8184661865234375, -0.8418992161750793, -0.7509816288948059, -0.9601920247077942, -0.83892822265625]"
30421,31,-20.0,1346,0.42202000000000006,0.10729515552520752,-1.5424920320510864,30421,4919,"[-1.1101586818695068, -0.8106839060783386, -0.9704933166503906, -0.8255155086517334, -0.8274769186973572, -0.8755025267601013]"
31318,32,-21.0,897,0.40497700000000003,0.09811513125896454,-1.486775517463684,31318,5074,"[-0.9277498722076416, -0.9362409114837646, -0.8964732885360718, -0.8787176609039307, -0.88919597864151, -1.0057258605957031]"
32263,33,-19.0,945,0.3870220000000001,0.06559494882822037,-1.5163075923919678,32263,5235,"[-1.012812852859497, -0.9381555914878845, -0.9219644069671631, -0.9129996299743652, -1.007808804512024, -0.9212923049926758]"
33413,34,-19.0,1150,0.36517200000000005,0.07840821146965027,-1.5104371309280396,33413,5384,"[-0.8070763349533081, -0.7048041820526123, -0.7844910621643066, -0.7693312168121338, -0.7617180943489075, -0.7676859498023987]"
34337,35,-21.0,924,0.34761600000000004,0.06366867572069168,-1.5086719989776611,34337,5513,"[-0.8057610392570496, -0.717384934425354, -0.885802149772644, -0.8756980895996094, -0.83284991979599, -0.8662985563278198]"
35272,36,-19.0,935,0.3298510000000001,0.07147888839244843,-1.5195724964141846,35272,5658,"[-0.9102467894554138, -0.9546434879302979, -0.895900547504425, -0.9251323938369751, -0.8294086456298828, -1.0202240943908691]"
36238,37,-20.0,966,0.31149700000000013,0.0901171863079071,-1.451696753501892,36238,5823,"[-1.1349602937698364, -1.3333981037139893, -1.0699412822723389, -1.1290823221206665, -1.2128750085830688, -1.0416640043258667]"
37185,38,-20.0,947,0.2935040000000001,0.09000572562217712,-1.5048890113830566,37185,5969,"[-0.8182464241981506, -0.8002988696098328, -0.8558972477912903, -0.784625232219696, -0.8189481496810913, -0.8424656391143799]"
38173,39,-21.0,988,0.2747320000000001,0.10090045630931854,-1.4521023035049438,38173,6126,"[-0.9455162882804871, -0.9488700032234192, -0.9142701029777527, -0.9375590085983276, -0.8696364164352417, -0.977592408657074]"
39262,40,-20.0,1089,0.2540410000000001,0.07715859264135361,-1.4629077911376953,39262,6307,"[-0.8054967522621155, -0.7980557680130005, -0.8432908058166504, -0.8444593548774719, -0.7749049067497253, -0.7984674572944641]"
40272,41,-20.0,1010,0.23485100000000014,0.09057000279426575,-1.468602180480957,40272,6484,"[-0.8050147294998169, -0.8079925179481506, -0.8036592602729797, -0.8115452527999878, -0.768294095993042, -0.806140124797821]"
41369,42,-20.0,1097,0.2140080000000001,0.0884222462773323,-1.525894284248352,41369,6671,"[-0.793958306312561, -0.841943621635437, -0.8585165143013, -0.8401044607162476, -0.8500936627388, -0.8314548134803772]"
42842,43,-16.0,1473,0.1860210000000001,0.09821896255016327,-1.4863225221633911,42842,6899,"[-0.9173391461372375, -0.9339550137519836, -0.8969238996505737, -0.9308502078056335, -0.9410936832427979, -0.9602785110473633]"
44073,44,-20.0,1231,0.1626320000000001,0.0854678601026535,-1.5004571676254272,44073,7082,"[-0.7654723525047302, -0.795006275177002, -0.8501839637756348, -0.784737765789032, -0.7819340825080872, -0.8487744927406311]"
45056,45,-20.0,983,0.14395500000000006,0.09201759099960327,-1.4449540376663208,45056,7212,"[-0.6852500438690186, -0.7784033417701721, -1.176099181175232, -0.7079741358757019, -1.0059783458709717, -0.7702122330665588]"
46173,46,-19.0,1117,0.12273200000000006,0.08997661620378494,-1.4196640253067017,46173,7372,"[-0.9229687452316284, -0.8218512535095215, -0.9450450539588928, -0.8096137046813965, -0.9216465950012207, -0.9480719566345215]"
47334,47,-19.0,1161,0.10067300000000012,0.06780950725078583,-1.4767197370529175,47334,7568,"[-0.8220699429512024, -0.8126088976860046, -0.9436312317848206, -0.7871143221855164, -0.8665523529052734, -0.7511656880378723]"
48161,48,-21.0,827,0.08496000000000015,0.07477802038192749,-1.480466365814209,48161,7697,"[-0.8440961241722107, -0.9433307647705078, -0.9208736419677734, -0.916719913482666, -0.9001368284225464, -0.9155780076980591]"
49384,49,-20.0,1223,0.06172300000000008,0.0639164075255394,-1.431800365447998,49384,7893,"[-0.7938701510429382, -0.8229203224182129, -0.8618608713150024, -0.7946265935897827, -0.6958669424057007, -0.6746413707733154]"
50589,50,-21.0,1205,0.05,0.06463365256786346,-1.4329733848571777,50589,8079,"[-0.8005685806274414, -0.6569243669509888, -0.3693738877773285, -0.770496666431427, -0.8090530037879944, -0.7477523684501648]"
51904,51,-20.0,1315,0.05,0.08550555258989334,-1.399324893951416,51904,8277,"[-0.6500664949417114, -0.7191272974014282, -0.6735122203826904, -0.7487494349479675, -0.7388603687286377, -0.7065322995185852]"
53335,52,-16.0,1431,0.05,0.09160980582237244,-1.47471284866333,53335,8516,"[-0.9153690338134766, -0.8908028602600098, -0.955035924911499, -0.7893941402435303, -0.9375325441360474, -0.9609872102737427]"
54541,53,-21.0,1206,0.05,0.09088541567325592,-1.4022666215896606,54541,8674,"[-0.6919167041778564, -0.5451216697692871, -0.6171441674232483, -0.8397896885871887, -0.7692217230796814, -0.6909865140914917]"
