global_step,episode,episode_return,episode_length,epsilon,loss,mean_q_value,dictionary_entries,dictionary_min_entries,q_values
6,1,0.0,6,0.962890625,,,6,1,"[0.0, 0.0, 0.0]"
12,2,0.0,6,0.918359375,,,12,3,"[0.0, 0.0, 0.0]"
18,3,0.0,6,0.873828125,,,18,5,"[0.0, 0.0, 0.0]"
24,4,0.0,6,0.829296875,,,24,6,"[0.0, 0.0, 0.0]"
40,5,1.0,16,0.710546875,,,40,10,"[0.0, 0.0, 0.0]"
46,6,0.0,6,0.666015625,0.08810935914516449,0.11548084020614624,46,10,"[0.30751264095306396, 0.0, 0.0]"
52,7,0.0,6,0.6214843750000001,0.08343490958213806,0.08021858334541321,52,12,"[0.0, 0.0, 0.2578723728656769]"
80,8,2.0,28,0.413671875,0.07742716372013092,0.02758215367794037,80,18,"[0.0, 0.0, 0.0]"
86,9,0.0,6,0.369140625,0.14577969908714294,0.2559307813644409,86,20,"[0.0, 0.35476014018058777, 0.6470066905021667]"
92,10,0.0,6,0.324609375,0.10494894534349442,0.3142995536327362,92,22,"[0.0, 0.3051598370075226, 0.313010036945343]"
98,11,0.0,6,0.28007812500000007,0.21711961925029755,0.3830820322036743,98,22,"[0.0, 0.28697532415390015, 0.2982858717441559]"
114,12,1.0,16,0.16132812500000004,0.17511263489723206,0.009079990908503532,114,28,"[0.0, 0.0, 0.0]"
120,13,0.0,6,0.11679687500000002,0.09861034154891968,0.4670187532901764,120,28,"[0.3004987835884094, 0.294380784034729, 0.3411526679992676]"
146,14,2.0,26,0.05,0.2153385579586029,0.23884235322475433,146,29,"[0.3181915879249573, 0.3105252683162689, 0.0]"
152,15,0.0,6,0.05,0.1908610761165619,0.46773338317871094,152,35,"[0.3154353201389313, 0.7839400172233582, 0.40928590297698975]"
158,16,0.0,6,0.05,0.2230827510356903,0.2539210319519043,158,35,"[0.3170965313911438, 0.0, 0.4018571972846985]"
174,17,1.0,16,0.05,0.19040757417678833,0.097662553191185,174,35,"[0.2843995690345764, 0.0, 0.0]"
190,18,1.0,16,0.05,0.20967112481594086,0.0,190,36,"[0.0, 0.0, 0.0]"
196,19,0.0,6,0.05,0.2845282256603241,0.2575386166572571,196,42,"[0.349234938621521, 0.5819274187088013, 0.0]"
212,20,1.0,16,0.05,0.1852189600467682,0.3455912470817566,212,42,"[0.6558523774147034, 0.0, 0.0]"
228,21,1.0,16,0.05,0.17916056513786316,0.5288546681404114,228,43,"[0.9511880874633789, 0.0, 0.0]"
244,22,1.0,16,0.05,0.21836502850055695,0.0,244,44,"[0.0, 0.0, 0.0]"
250,23,0.0,6,0.05,0.2246357500553131,0.6174143552780151,250,46,"[0.9641414880752563, 0.38618186116218567, 0.0]"
256,24,0.0,6,0.05,0.2638891041278839,0.03587110713124275,256,52,"[0.0, 0.14663560688495636, 0.0]"
