global_step,episodes,samples,loss,actor_loss,policy_loss,critic_optimization_mse,critic_train_mse,critic_train_explained_variance,critic_train_value_mean,critic_train_diagnostics_computed,entropy,behavior_entropy,mean_behavior_epsilon,min_behavior_epsilon,max_behavior_epsilon,bias_loss,mean_reward,mean_advantage,mean_normalized_advantage,value_target_mean,bootstrap_value_source,partial_rollout_segments,partial_rollout_samples,actor_cases_added,actor_cases_pruned,actor_cases_replaced,actor_positive_advantage_samples,critic_cases_added,critic_cases_pruned,critic_cases_replaced,critic_label_updates,critic_label_update_samples,mean_episode_return,reward_varying_episodes,reward_checked_episodes,actor_type,case_entries,critic_type,critic_case_entries,action_counts,bias_min,bias_mean,bias_max
2000,4,2000,268.52362060546875,-0.03087051585316658,-0.019932419061660767,268.55450439453125,264.67425537109375,-0.008099675178527832,-0.1900894194841385,True,1.0938096046447754,1.0938096046447754,0.0,0.0,0.0,0.0,-1.0,-16.263742446899414,-0.018454790115356445,-16.333175659179688,online_value_model,0,0,0,0,0,0,0,0,0,0,0,-500.0,0,4,mlp,,mlp,,,,,
4000,4,2000,267.99786376953125,-0.03151756525039673,-0.020574646070599556,268.0293884277344,264.678955078125,-0.013635993003845215,-0.2832489013671875,True,1.0942920446395874,1.0942920446395874,0.0,0.0,0.0,0.0,-1.0,-16.247840881347656,-0.018492525443434715,-16.42662811279297,online_value_model,0,0,0,0,0,0,0,0,0,0,0,-500.0,0,4,mlp,,mlp,,,,,
6000,4,2000,267.4114074707031,-0.03005007468163967,-0.01912032440304756,267.44146728515625,263.77850341796875,-0.024681925773620605,-0.41815194487571716,True,1.0929750204086304,1.0929750204086304,0.0,0.0,0.0,0.0,-1.0,-16.229232788085938,-0.0184454545378685,-16.53298568725586,online_value_model,0,0,0,0,0,0,0,0,0,0,0,-500.0,0,4,mlp,,mlp,,,,,
7947,4,1947,266.1906433105469,-0.02337684854865074,-0.012443573214113712,266.2140197753906,262.29046630859375,-0.033132314682006836,-0.5624169707298279,True,1.093327522277832,1.093327522277832,0.0,0.0,0.0,0.0,-0.9994863271713257,-16.18149185180664,-0.017334414646029472,-16.62076759338379,online_value_model,0,0,0,0,0,1,0,0,0,0,0,-486.5,1,4,mlp,,mlp,,,,,
9947,4,2000,266.4527893066406,-0.031682565808296204,-0.02074410952627659,266.4844665527344,262.60589599609375,-0.06737613677978516,-0.6675505042076111,True,1.0938457250595093,1.0938457250595093,0.0,0.0,0.0,0.0,-1.0,-16.201396942138672,-0.01829151250422001,-16.746625900268555,online_value_model,0,0,0,0,0,0,0,0,0,0,0,-500.0,0,4,mlp,,mlp,,,,,
11721,4,1774,263.4773864746094,-0.029548438265919685,-0.01861719600856304,263.5069274902344,259.0727844238281,-0.07411384582519531,-0.8785317540168762,True,1.093124270439148,1.093124270439148,0.0,0.0,0.0,0.0,-0.9994362592697144,-16.080150604248047,-0.014619768597185612,-16.817520141601562,online_value_model,0,0,0,0,0,1,0,0,0,0,0,-443.25,1,4,mlp,,mlp,,,,,
13721,4,2000,265.1830749511719,-0.03341774269938469,-0.022487005218863487,265.21649169921875,261.0595703125,-0.11006510257720947,-0.9373167157173157,True,1.0930737257003784,1.0930737257003784,0.0,0.0,0.0,0.0,-1.0,-16.156692504882812,-0.017362529411911964,-16.962215423583984,online_value_model,0,0,0,0,0,0,0,0,0,0,0,-500.0,0,4,mlp,,mlp,,,,,
15617,4,1896,263.4317932128906,-0.03791855648159981,-0.02703024260699749,263.4697265625,258.2200012207031,-0.2714860439300537,-1.3032968044281006,True,1.0888315439224243,1.0888315439224243,0.0,0.0,0.0,0.0,-0.9994724988937378,-16.08391571044922,-0.015835735946893692,-17.216772079467773,online_value_model,0,0,0,0,0,3,0,0,0,0,0,-473.75,1,4,mlp,,mlp,,,,,
17529,4,1912,262.184326171875,-0.026070328429341316,-0.015203519724309444,262.21038818359375,256.5090026855469,-0.2603393793106079,-1.533395528793335,True,1.0866808891296387,1.0866808891296387,0.0,0.0,0.0,0.0,-0.999476969242096,-16.034984588623047,-0.015369303524494171,-17.38359832763672,online_value_model,0,0,0,0,0,4,0,0,0,0,0,-477.75,1,4,mlp,,mlp,,,,,
19499,4,1970,263.1219787597656,-0.03451148420572281,-0.023616617545485497,263.156494140625,258.2401123046875,-0.2766435146331787,-1.4355672597885132,True,1.0894867181777954,1.0894867181777954,0.0,0.0,0.0,0.0,-0.9994924068450928,-16.076921463012695,-0.017662877216935158,-17.353363037109375,online_value_model,0,0,0,0,0,4,0,0,0,0,0,-492.25,1,4,mlp,,mlp,,,,,
