global_step,case_store,source,cases_pruned,cases_replaced,case_entries,action_counts,bias_min,bias_mean,bias_max
43711,actor,scheduled_batch_boundary,1,0,22,"[7, 8, 7]",-0.005291185341775417,0.0004220679111313075,0.007722258102148771
47711,actor,scheduled_batch_boundary,1,0,26,"[9, 8, 9]",-0.006279351655393839,0.0007582890102639794,0.00871939305216074
51711,actor,scheduled_batch_boundary,2,0,33,"[12, 10, 11]",-0.0020994795486330986,0.0009194593876600266,0.009695585817098618
53711,actor,scheduled_batch_boundary,2,0,31,"[12, 8, 11]",-0.0015994884306564927,0.001059312024153769,0.010195575654506683
55711,actor,scheduled_batch_boundary,3,0,39,"[14, 9, 16]",-0.0009998786263167858,0.000951743102632463,0.009696120396256447
57600,actor,scheduled_batch_boundary,3,0,54,"[17, 16, 21]",-0.0009652468143031001,0.0007274061208590865,0.010196099989116192
59570,actor,scheduled_batch_boundary,4,0,66,"[18, 21, 27]",-0.0004999942611902952,0.0006254261243157089,0.009696112014353275
61570,actor,scheduled_batch_boundary,4,0,63,"[18, 19, 26]",-0.0005000033415853977,0.0006501039024442434,0.010196071118116379
63378,actor,scheduled_batch_boundary,5,0,81,"[33, 22, 26]",-0.000909720896743238,0.0005443174159154296,0.009696081280708313
65378,actor,scheduled_batch_boundary,5,0,79,"[31, 21, 27]",-0.0004999910015612841,0.0005525724845938385,0.00919636432081461
67378,actor,scheduled_batch_boundary,4,0,75,"[29, 21, 25]",-0.00049999775364995,0.0006215444300323725,0.008846595883369446
69378,actor,scheduled_batch_boundary,4,0,72,"[30, 20, 22]",-0.0004999662050977349,0.0006749251042492688,0.008346745744347572
71378,actor,scheduled_batch_boundary,4,0,68,"[30, 16, 22]",-0.0004998479271307588,0.0007266175816766918,0.008846730925142765
73378,actor,scheduled_batch_boundary,4,0,64,"[29, 15, 20]",-0.0004999644006602466,0.0008578531560488045,0.009346429258584976
75197,actor,scheduled_batch_boundary,4,0,73,"[40, 14, 19]",-0.0005328336847014725,0.0008500762050971389,0.009846413508057594
76961,actor,scheduled_batch_boundary,5,0,93,"[61, 10, 22]",-0.0006615775637328625,0.0007649860344827175,0.009346447885036469
78429,actor,scheduled_batch_boundary,8,0,142,"[94, 16, 32]",-0.0004999919328838587,0.0005066059529781342,0.00884645339101553
80429,actor,scheduled_batch_boundary,8,0,134,"[87, 16, 31]",-0.0004670931084547192,0.0005521678831428289,0.009346392937004566
