global_step,episode,episode_return,episode_length,loss,actor_type,case_entries,cases_pruned,cases_replaced,actor_cases_pruned,actor_cases_replaced,critic_cases_pruned,critic_cases_replaced,critic_label_updates,critic_label_update_samples,exploration_epsilon,behavior_epsilon,policy_ready,action_probs,behavior_action_probs,action_counts,bias_min,bias_mean,bias_max
500,1,-500.0,500,,nnknn,0,0,0,0,0,0,0,0,0,0.9841983333333333,1.0,False,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0, 0, 0]",,,
1000,2,-500.0,500,,nnknn,0,0,0,0,0,0,0,0,0,0.968365,1.0,False,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0, 0, 0]",,,
1500,3,-500.0,500,,nnknn,0,0,0,0,0,0,0,0,0,0.9525316666666667,1.0,False,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0, 0, 0]",,,
2000,4,-500.0,500,268.9029235839844,nnknn,0,0,1500,0,0,0,1500,0,0,0.9366983333333333,1.0,False,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0, 0, 0]",,,
2500,5,-500.0,500,,nnknn,0,0,1500,0,0,0,1500,0,0,0.920865,1.0,False,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0, 0, 0]",,,
3000,6,-500.0,500,,nnknn,0,0,1500,0,0,0,1500,0,0,0.9050316666666667,1.0,False,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0, 0, 0]",,,
3500,7,-500.0,500,,nnknn,0,0,1500,0,0,0,1500,0,0,0.8891983333333333,1.0,False,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0, 0, 0]",,,
4000,8,-500.0,500,186.13893127441406,nnknn,0,73,3427,0,0,73,3427,0,0,0.873365,1.0,False,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0, 0, 0]",,,
4500,9,-500.0,500,,nnknn,0,73,3427,0,0,73,3427,0,0,0.8575316666666667,1.0,False,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0, 0, 0]",,,
5000,10,-500.0,500,,nnknn,0,73,3427,0,0,73,3427,0,0,0.8416983333333333,1.0,False,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0, 0, 0]",,,
