global_step,case_store,source,cases_pruned,cases_replaced,case_entries,action_counts,bias_min,bias_mean,bias_max
3553,critic,capacity_insert,0,3425,128,,0.0,0.0,0.0
7016,actor,capacity_insert,31,175,128,"[19, 15, 21, 27, 24, 22]",0.0,6.264562398428097e-05,0.0004999851807951927
7016,critic,capacity_insert,7,0,125,,-0.0004999939119443297,0.00022805308981332928,0.0004999985685572028
7016,critic,scheduled_batch_boundary,7,0,118,,-0.0004999888478778303,0.0002712421992328018,0.0004999985685572028
10964,actor,capacity_insert,59,632,128,"[18, 18, 24, 23, 26, 19]",0.0,0.0002457059163134545,0.0009998136665672064
10964,critic,scheduled_batch_boundary,6,0,112,,-0.0009996765293180943,0.0005355211906135082,0.0009999657049775124
14781,actor,capacity_insert,48,570,128,"[22, 17, 21, 23, 27, 18]",0.0,0.0003902893513441086,0.0014997422695159912
14781,critic,scheduled_batch_boundary,6,0,106,,-0.0005036494112573564,0.0006222206284292042,0.0014999250415712595
18706,actor,capacity_insert,35,617,128,"[21, 21, 21, 20, 23, 22]",0.0,0.0004302759771235287,0.001999721396714449
18706,critic,scheduled_batch_boundary,6,0,100,,-0.0009998136665672064,0.0006798680406063795,0.0019998960196971893
21985,actor,capacity_insert,19,205,128,"[19, 18, 21, 17, 21, 32]",0.0,0.0005098102265037596,0.002499697031453252
21985,critic,scheduled_batch_boundary,5,0,95,,-0.0014741173945367336,0.0006900753360241652,0.00249989191070199
25383,actor,capacity_insert,30,270,128,"[14, 20, 18, 18, 22, 36]",0.0,0.0006181455682963133,0.002999648917466402
25383,critic,scheduled_batch_boundary,5,0,90,,-0.000999852316454053,0.000712034001480788,0.002999552758410573
29213,actor,capacity_insert,24,601,128,"[15, 23, 17, 17, 26, 30]",0.0,0.0007072958978824317,0.0034996357280761003
29213,critic,scheduled_batch_boundary,5,0,85,,-0.0014990083873271942,0.0006653516320511699,0.0034988708794116974
33074,actor,capacity_insert,19,667,128,"[17, 24, 19, 18, 25, 25]",0.0,0.0007927903207018971,0.003999623004347086
33074,critic,scheduled_batch_boundary,5,0,80,,-0.0019984659738838673,0.0007597646908834577,0.003998330794274807
37253,actor,capacity_insert,28,822,128,"[15, 23, 22, 22, 22, 24]",0.0,0.0008247196092270315,0.003998604137450457
37253,critic,scheduled_batch_boundary,4,0,76,,-0.0024944015312939882,0.0007852651178836823,0.0034985197708010674
41222,actor,capacity_insert,27,639,128,"[11, 25, 23, 21, 24, 24]",0.0,0.0008900981629267335,0.0039937784895300865
41222,critic,scheduled_batch_boundary,4,0,72,,-0.0019986825063824654,0.000911051407456398,0.003996121231466532
44668,actor,capacity_insert,23,278,128,"[12, 28, 23, 16, 23, 26]",0.0,0.0009609988192096353,0.004493746440857649
44668,critic,scheduled_batch_boundary,4,0,68,,-0.002487025922164321,0.0010856896406039596,0.004495763685554266
48651,actor,capacity_insert,25,727,128,"[13, 26, 22, 20, 26, 21]",0.0,0.0010238892864435911,0.0049937390722334385
48651,critic,scheduled_batch_boundary,4,0,64,,-0.0019919555634260178,0.0010898709297180176,0.004995414055883884
52505,actor,capacity_insert,31,581,128,"[15, 25, 19, 25, 21, 23]",0.0,0.0010006495285779238,0.004997446201741695
52505,critic,scheduled_batch_boundary,4,0,60,,-0.0023946992587298155,0.0011670166859403253,0.005495031364262104
56367,actor,capacity_insert,21,624,128,"[15, 23, 20, 22, 19, 29]",0.0,0.0010602250695228577,0.0054974425584077835
56367,critic,scheduled_batch_boundary,3,0,57,,-0.0020100297406315804,0.0013072066940367222,0.005994588136672974
60308,actor,capacity_insert,21,703,128,"[11, 26, 20, 24, 22, 25]",0.0,0.0011023384286090732,0.005997427739202976
60308,critic,scheduled_batch_boundary,3,0,54,,-0.001498000812716782,0.0015789130702614784,0.005496662110090256
64309,actor,capacity_insert,18,717,128,"[9, 26, 22, 27, 25, 19]",0.0,0.0011684377677738667,0.006497419439256191
64309,critic,scheduled_batch_boundary,3,0,51,,-0.0009992620907723904,0.0017874318873509765,0.0059963553212583065
68243,actor,capacity_insert,20,794,128,"[10, 24, 21, 27, 23, 23]",0.0,0.00120352313388139,0.0069974008947610855
68243,critic,scheduled_batch_boundary,3,0,48,,-0.0006920404266566038,0.0017785507952794433,0.006496185902506113
72235,actor,capacity_insert,14,813,128,"[12, 27, 19, 28, 21, 21]",0.0,0.0012577436864376068,0.0064974031411111355
