global_step,episodes,samples,loss,actor_loss,policy_loss,critic_optimization_mse,critic_train_mse,critic_train_explained_variance,critic_train_value_mean,critic_train_diagnostics_computed,entropy,behavior_entropy,mean_behavior_epsilon,min_behavior_epsilon,max_behavior_epsilon,bias_loss,mean_reward,mean_advantage,mean_normalized_advantage,value_target_mean,bootstrap_value_source,partial_rollout_segments,partial_rollout_samples,actor_cases_added,actor_cases_pruned,actor_cases_replaced,actor_positive_advantage_samples,critic_cases_added,critic_cases_pruned,critic_cases_replaced,critic_label_updates,critic_label_update_samples,mean_episode_return,reward_varying_episodes,reward_checked_episodes,actor_type,case_entries,critic_type,critic_case_entries,action_counts,bias_min,bias_mean,bias_max
3553,4,3553,0.23482629656791687,-0.017917640507221222,-4.656979868400413e-08,0.2527439296245575,,,,False,1.7917593717575073,1.7917593717575073,1.0,1.0,1.0,0.0,-0.023360541090369225,-0.3920838236808777,-2.8049244704675402e-08,-0.3920838236808777,nnknn_target_value_model,0,0,48,0,0,48,3553,0,3425,0,0,-20.75,4,4,nnknn,48,nnknn,128,"[5, 12, 8, 10, 3, 10]",0.0,0.0,0.0
7016,4,3463,0.19722753763198853,-0.014940217137336731,6.416578912649129e-08,0.21216775476932526,,,,False,1.4940282106399536,1.7917593717575073,1.0,1.0,1.0,0.0,-0.02396765723824501,-0.34859251976013184,3.414831439840782e-08,-0.6411530375480652,nnknn_target_value_model,0,0,286,31,175,286,4,7,0,128,3459,-20.75,4,4,nnknn,128,nnknn,125,"[19, 15, 21, 27, 24, 22]",0.0,6.264562398428097e-05,0.0004999851807951927
10964,4,3948,0.11804185062646866,-0.015499687753617764,-0.0007857003365643322,0.133541539311409,0.12621867656707764,0.10962796211242676,-0.4951971471309662,True,1.4713988304138184,1.7905019521713257,0.9316798448562622,0.916681170463562,0.9466784000396729,3.010256222069074e-08,-0.01975683867931366,-0.27265623211860657,-2.645069407947176e-08,-0.5989382863044739,nnknn_target_value_model,0,0,691,59,632,691,0,0,0,114,3948,-19.5,4,4,nnknn,128,nnknn,118,"[18, 18, 24, 23, 26, 19]",0.0,0.0002457059163134545,0.0009998136665672064
14781,4,3817,0.1037493497133255,-0.014806168153882027,-0.00033162481850013137,0.11855551600456238,,,,False,1.4474544525146484,1.7887258529663086,0.9021727442741394,0.8876720070838928,0.9166736006736755,1.4212854182460433e-07,-0.020696882158517838,-0.28515902161598206,4.634702222006126e-08,-0.630054235458374,nnknn_target_value_model,0,0,618,48,570,618,0,0,0,108,3817,-19.75,4,4,nnknn,128,nnknn,112,"[22, 17, 21, 23, 27, 18]",0.0,0.0003902893513441086,0.0014997422695159912
18706,4,3925,0.1096738874912262,-0.012887395918369293,0.0023470576852560043,0.12256128340959549,0.1158280149102211,0.03662121295928955,-0.576646089553833,True,1.5234453678131104,1.7882457971572876,0.8727532029151917,0.8578420281410217,0.8876643776893616,3.3530267273818026e-07,-0.02012738771736622,-0.2737923860549927,1.7008204844515262e-09,-0.6274423599243164,nnknn_target_value_model,0,0,652,35,617,652,0,0,0,103,3925,-19.75,4,4,nnknn,128,nnknn,106,"[21, 21, 21, 20, 23, 22]",0.0,0.0004302759771235287,0.001999721396714449
21985,4,3279,0.08826368302106857,-0.011987695470452309,0.0026672924868762493,0.10025137662887573,,,,False,1.4654988050460815,1.785162329673767,0.8453779816627502,0.8329216241836548,0.8578343987464905,4.7567141336912755e-07,-0.025617565959692,-0.359715074300766,4.231766226325817e-08,-0.7465078830718994,nnknn_target_value_model,0,0,224,19,205,224,0,0,0,97,3279,-21.0,4,4,nnknn,128,nnknn,100,"[19, 18, 21, 17, 21, 32]",0.0,0.0005098102265037596,0.002499697031453252
25383,4,3398,0.08505983650684357,-0.015988664701581,-0.0004976161289960146,0.10104849934577942,,,,False,1.549104928970337,1.7848001718521118,0.8200053572654724,0.8070967793464661,0.8329139947891235,6.291735985541891e-07,-0.024131841957569122,-0.3351914584636688,4.378257756343373e-08,-0.7194587588310242,nnknn_target_value_model,0,0,300,30,270,300,0,0,0,92,3398,-20.5,4,4,nnknn,128,nnknn,95,"[14, 20, 18, 18, 22, 36]",0.0,0.0006181455682963133,0.002999648917466402
29213,4,3830,0.10761448740959167,-0.015440616756677628,-0.0007101432420313358,0.1230551078915596,0.11765589565038681,0.11061447858810425,-0.6487100124359131,True,1.4730473756790161,1.7799960374832153,0.7925390005111694,0.7779887914657593,0.8070892095565796,8.603235528426012e-07,-0.020365534350275993,-0.2701937258243561,-2.340610549822486e-08,-0.6693196892738342,nnknn_target_value_model,0,0,625,24,601,625,0,0,0,86,3830,-19.5,4,4,nnknn,128,nnknn,90,"[15, 23, 17, 17, 26, 30]",0.0,0.0007072958978824317,0.0034996357280761003
33074,4,3861,0.10123240947723389,-0.017222929745912552,-0.0028102267533540726,0.11845533549785614,,,,False,1.4412702322006226,1.7739484310150146,0.7633132338523865,0.7486451864242554,0.7779812216758728,1.011342646961566e-06,-0.02046102099120617,-0.2664424777030945,2.0007153267442845e-08,-0.696255087852478,nnknn_target_value_model,0,0,686,19,667,686,0,0,0,81,3861,-19.75,4,4,nnknn,128,nnknn,85,"[17, 24, 19, 18, 25, 25]",0.0,0.0007927903207018971,0.003999623004347086
37253,4,4179,0.10202281922101974,-0.012726092711091042,0.0017864344408735633,0.11474891006946564,0.11424597352743149,0.05102819204330444,-0.6505215167999268,True,1.4512526988983154,1.7707520723342896,0.7327612042427063,0.7168847918510437,0.7486376166343689,1.3038459201197838e-06,-0.01890404336154461,-0.24406148493289948,1.3007761978656163e-08,-0.6531708240509033,nnknn_target_value_model,0,0,850,28,822,850,0,0,0,80,4179,-19.75,4,4,nnknn,128,nnknn,80,"[15, 23, 22, 22, 22, 24]",0.0,0.0008247196092270315,0.003998604137450457
