global_step,episode,episode_return,episode_length,loss,actor_type,case_entries,cases_pruned,cases_replaced,actor_cases_pruned,actor_cases_replaced,critic_cases_pruned,critic_cases_replaced,critic_label_updates,critic_label_update_samples,exploration_epsilon,behavior_epsilon,policy_ready,action_probs,behavior_action_probs,action_counts,bias_min,bias_mean,bias_max
838,1,-21.0,838,,nnknn,0,0,0,0,0,0,0,0,0,0.9936388,1.0,False,"[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]","[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]","[0, 0, 0, 0, 0, 0]",,,
1919,2,-20.0,1081,,nnknn,0,0,0,0,0,0,0,0,0,0.9854232,1.0,False,"[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]","[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]","[0, 0, 0, 0, 0, 0]",,,
2735,3,-21.0,816,,nnknn,0,0,0,0,0,0,0,0,0,0.9792216,1.0,False,"[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]","[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]","[0, 0, 0, 0, 0, 0]",,,
3553,4,-21.0,818,0.23482629656791687,nnknn,48,0,3425,0,0,0,3425,0,0,0.9730048,1.0,False,"[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]","[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]","[5, 12, 8, 10, 3, 10]",0.0,0.0,0.0
4379,5,-21.0,826,,nnknn,48,0,3425,0,0,0,3425,0,0,0.9667272,1.0,False,"[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]","[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]","[5, 12, 8, 10, 3, 10]",0.0,0.0,0.0
5304,6,-21.0,925,,nnknn,48,0,3425,0,0,0,3425,0,0,0.9596972,1.0,False,"[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]","[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]","[5, 12, 8, 10, 3, 10]",0.0,0.0,0.0
6225,7,-20.0,921,,nnknn,48,0,3425,0,0,0,3425,0,0,0.9526976,1.0,False,"[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]","[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]","[5, 12, 8, 10, 3, 10]",0.0,0.0,0.0
7016,8,-21.0,791,0.19722753763198853,nnknn,128,45,3600,31,175,14,3425,128,3459,0.946686,1.0,False,"[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]","[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]","[19, 15, 21, 27, 24, 22]",0.0,6.264562398428097e-05,0.0004999851807951927
7919,9,-20.0,903,,nnknn,128,45,3600,31,175,14,3425,128,3459,0.9398232,0.9398232,True,"[0.19991753995418549, 0.2000909149646759, 0.19991588592529297, 0.1000446304678917, 0.09994416683912277, 0.2000868171453476]","[0.16866759955883026, 0.16867803037166595, 0.1686674952507019, 0.16265757381916046, 0.16265152394771576, 0.16867779195308685]","[19, 15, 21, 27, 24, 22]",0.0,6.264562398428097e-05,0.0004999851807951927
8940,10,-19.0,1021,,nnknn,128,45,3600,31,175,14,3425,128,3459,0.9320636,0.9320636,True,"[0.09999412298202515, 0.20000261068344116, 0.5000216960906982, 0.0, 0.0, 0.19998158514499664]","[0.16213718056678772, 0.16893139481544495, 0.1893136203289032, 0.1553439348936081, 0.1553439348936081, 0.16892996430397034]","[19, 15, 21, 27, 24, 22]",0.0,6.264562398428097e-05,0.0004999851807951927
