global_step,case_store,source,cases_pruned,cases_replaced,case_entries,action_counts,bias_min,bias_mean,bias_max
1143,actor,scheduled_batch_boundary,4,0,65,"[14, 23, 17, 11]",-0.0004999639349989593,4.6153709263307974e-05,0.0004999783704988658
2239,actor,scheduled_batch_boundary,6,0,108,"[22, 27, 35, 24]",-0.001618020236492157,1.379869627271546e-05,0.0019908403046429157
3350,actor,scheduled_batch_boundary,11,0,201,"[43, 48, 73, 37]",-0.0019501266069710255,0.00011672436812659726,0.002643140032887459
4104,actor,scheduled_batch_boundary,15,0,276,"[67, 65, 89, 55]",-0.0013476584572345018,0.00017030535673256963,0.003358137561008334
5200,actor,scheduled_batch_boundary,16,0,300,"[66, 72, 100, 62]",-0.0018926706397905946,0.0001899166963994503,0.004581320099532604
6280,actor,scheduled_batch_boundary,17,0,306,"[70, 82, 98, 56]",-0.00171365006826818,0.00025858948356471956,0.004099629819393158
7085,actor,scheduled_batch_boundary,25,0,457,"[101, 112, 149, 95]",-0.0014039201196283102,0.00027101754676550627,0.004934500902891159
8133,actor,scheduled_batch_boundary,25,0,475,"[99, 115, 159, 102]",-0.0013736002147197723,0.0003010730433743447,0.004671440925449133
8854,actor,capacity_insert,100,0,484,"[104, 119, 165, 96]",-0.0006813485524617136,0.0004841568588744849,0.0040409499779343605
9223,actor,capacity_insert,25,0,482,"[103, 122, 155, 102]",-0.0004999886150471866,0.0004917631158605218,0.0039694057777523994
9223,actor,scheduled_batch_boundary,25,0,457,"[101, 116, 144, 96]",-0.0004966513952240348,0.0005460087559185922,0.0039694057777523994
9596,actor,capacity_insert,50,0,498,"[117, 130, 154, 97]",-0.0003653374151326716,0.0005640030140057206,0.0044693839736282825
10262,actor,capacity_insert,50,0,476,"[116, 123, 144, 93]",-0.0003719428787007928,0.0006403837469406426,0.005304240621626377
10262,actor,scheduled_batch_boundary,24,0,452,"[109, 121, 135, 87]",-0.0002390938752796501,0.0006918900762684643,0.005304240621626377
11259,actor,capacity_insert,75,0,488,"[114, 126, 151, 97]",-0.0003143647045362741,0.0007958023925311863,0.006278205197304487
11259,actor,scheduled_batch_boundary,25,0,463,"[112, 119, 137, 95]",0.0,0.0008475233917124569,0.006278205197304487
11977,actor,capacity_insert,25,0,493,"[119, 123, 157, 94]",-0.00037204381078481674,0.0008008021395653486,0.006745129823684692
12396,actor,capacity_insert,55,25,500,"[110, 119, 164, 107]",0.0,0.0008173421956598759,0.00663770642131567
12807,actor,capacity_insert,52,9,500,"[111, 115, 160, 114]",0.0,0.0008473990019410849,0.006532804574817419
13209,actor,capacity_insert,38,0,498,"[105, 115, 167, 111]",0.0,0.0008618822321295738,0.006032824516296387
13538,actor,capacity_insert,42,13,500,"[106, 107, 169, 118]",0.0,0.000884361332282424,0.006471417378634214
13914,actor,capacity_insert,25,0,483,"[104, 105, 155, 119]",-0.00015648802218493074,0.0009124878561124206,0.006368603091686964
14320,actor,capacity_insert,25,0,484,"[101, 105, 156, 122]",-0.0004993658512830734,0.0009053858811967075,0.0062642632983624935
14320,actor,scheduled_batch_boundary,25,0,459,"[98, 101, 150, 110]",-9.575859621691052e-06,0.0009615006856620312,0.0062642632983624935
14724,actor,capacity_insert,25,0,478,"[109, 103, 160, 106]",-2.0052028048667125e-05,0.0009560587350279093,0.006764252204447985
15102,actor,capacity_insert,25,0,490,"[108, 102, 173, 107]",-0.0003867681953124702,0.0009443933377042413,0.007264214567840099
15102,actor,scheduled_batch_boundary,25,0,465,"[100, 95, 169, 101]",-1.3305619006587222e-07,0.0010001604678109288,0.007264214567840099
15513,actor,capacity_insert,50,0,476,"[97, 96, 180, 103]",-1.3790156516702012e-10,0.0010034055449068546,0.007764176931232214
15831,actor,capacity_insert,43,0,497,"[102, 96, 192, 107]",0.0,0.0009744990384206176,0.008264170028269291
16195,actor,capacity_insert,28,27,500,"[106, 95, 191, 108]",0.0,0.0009640087955631316,0.007764188572764397
16557,actor,capacity_insert,61,0,494,"[107, 102, 174, 111]",0.0,0.0009858657140284777,0.008264160715043545
17041,actor,capacity_insert,50,0,489,"[108, 98, 175, 108]",-9.864983439911157e-06,0.0010223580757156014,0.008764044381678104
17041,actor,scheduled_batch_boundary,9,0,480,"[107, 95, 175, 103]",0.0,0.0010415903525426984,0.008764044381678104
17407,actor,capacity_insert,44,0,483,"[110, 106, 174, 93]",0.0,0.0010417449520900846,0.0086302999407053
17897,actor,capacity_insert,45,30,500,"[110, 116, 184, 90]",0.0,0.0010274873347952962,0.0084986612200737
18261,actor,capacity_insert,42,7,500,"[112, 108, 188, 92]",0.0,0.0010459523182362318,0.008998607285320759
18691,actor,capacity_insert,45,61,500,"[114, 109, 192, 85]",0.0,0.0010585726704448462,0.008866269141435623
19115,actor,capacity_insert,52,42,500,"[103, 114, 189, 94]",0.0,0.001085176132619381,0.009366252459585667
19506,actor,capacity_insert,49,44,500,"[114, 102, 196, 88]",0.0,0.0011060882825404406,0.009866232983767986
19896,actor,capacity_insert,37,44,500,"[115, 92, 191, 102]",0.0,0.0011281052138656378,0.010366218164563179
20288,actor,capacity_insert,32,50,500,"[113, 93, 198, 96]",0.0,0.0011459930101409554,0.010866211727261543
20720,actor,capacity_insert,50,4,500,"[113, 95, 195, 97]",0.0,0.0011642862809821963,0.010714729316532612
21032,actor,capacity_insert,45,42,500,"[117, 97, 194, 92]",0.0,0.001169716939330101,0.010214879177510738
21373,actor,capacity_insert,46,12,500,"[112, 93, 202, 93]",0.0,0.0011741331545636058,0.01006984245032072
21751,actor,capacity_insert,31,101,500,"[106, 90, 204, 100]",0.0,0.0011993421940132976,0.010569826699793339
22110,actor,capacity_insert,50,0,476,"[103, 88, 190, 95]",-1.2379330200928962e-06,0.0013055714080110192,0.011069812811911106
22110,actor,scheduled_batch_boundary,3,0,473,"[102, 88, 189, 94]",0.0,0.0013138551730662584,0.011069812811911106
22963,actor,capacity_insert,50,0,491,"[105, 97, 191, 98]",-0.00037146234535612166,0.0012943296460434794,0.010753742419183254
23341,actor,capacity_insert,38,16,500,"[110, 106, 190, 94]",0.0,0.001285752048715949,0.010601439513266087
23668,actor,capacity_insert,13,94,500,"[120, 87, 189, 104]",0.0,0.0012736705830320716,0.011101434007287025
24028,actor,capacity_insert,34,15,500,"[103, 98, 191, 108]",0.0,0.001272372785024345,0.010947681032121181
24459,actor,capacity_insert,42,92,500,"[102, 97, 198, 103]",0.0,0.001303423778153956,0.01044770423322916
24927,actor,capacity_insert,38,101,500,"[102, 95, 195, 108]",0.0,0.0013119857758283615,0.009947708807885647
25317,actor,capacity_insert,17,100,500,"[97, 105, 207, 91]",0.0,0.0013373182155191898,0.009805385954678059
25647,actor,capacity_insert,5,100,500,"[98, 87, 193, 122]",0.0,0.001321873627603054,0.009305402636528015
26102,actor,capacity_insert,40,91,500,"[100, 100, 195, 105]",0.0,0.0013270201161503792,0.009169776923954487
26544,actor,capacity_insert,30,122,500,"[97, 97, 201, 105]",0.0,0.0013423027703538537,0.009035597555339336
26939,actor,capacity_insert,52,101,500,"[99, 93, 211, 97]",0.0,0.00137983332388103,0.00890285987406969
27373,actor,capacity_insert,47,85,500,"[98, 106, 201, 95]",0.0,0.0013961383374407887,0.009402847848832607
27804,actor,capacity_insert,35,37,500,"[107, 107, 188, 98]",0.0,0.0013918176991865039,0.009902787394821644
28265,actor,capacity_insert,32,138,500,"[99, 90, 212, 99]",0.0,0.0014033052138984203,0.010402783751487732
28590,actor,capacity_insert,43,67,500,"[96, 94, 204, 106]",0.0,0.0014297815505415201,0.010255862958729267
29021,actor,capacity_insert,36,105,500,"[101, 94, 197, 108]",0.0,0.001472355448640883,0.00975592527538538
29296,actor,capacity_insert,37,2,500,"[101, 95, 197, 107]",0.0,0.001459648716263473,0.009615575894713402
29629,actor,capacity_insert,53,1,500,"[95, 106, 192, 107]",0.0,0.0014688895316794515,0.009476684965193272
30085,actor,capacity_insert,47,127,500,"[89, 100, 203, 108]",0.0,0.0014895201893523335,0.00933924876153469
30530,actor,capacity_insert,21,134,500,"[86, 99, 203, 112]",0.0,0.001477547688409686,0.008839266374707222
30928,actor,capacity_insert,32,122,500,"[96, 100, 203, 101]",0.0,0.0014972001081332564,0.008708659559488297
31384,actor,capacity_insert,43,60,500,"[99, 109, 198, 94]",0.0,0.0015069814398884773,0.009208649396896362
