global_step,episodes,samples,loss,actor_loss,policy_loss,critic_optimization_mse,critic_train_mse,critic_train_explained_variance,critic_train_value_mean,critic_train_diagnostics_computed,entropy,behavior_entropy,mean_behavior_epsilon,min_behavior_epsilon,max_behavior_epsilon,bias_loss,mean_reward,mean_advantage,mean_normalized_advantage,value_target_mean,bootstrap_value_source,partial_rollout_segments,partial_rollout_samples,actor_cases_added,actor_cases_pruned,actor_cases_replaced,actor_positive_advantage_samples,critic_cases_added,critic_cases_pruned,critic_cases_replaced,critic_label_updates,critic_label_update_samples,mean_episode_return,reward_varying_episodes,reward_checked_episodes,actor_type,case_entries,critic_type,critic_case_entries,action_counts,bias_min,bias_mean,bias_max
357,4,357,1993.4560546875,-0.01386301126331091,-6.678391883951917e-08,1993.469970703125,1987.3074951171875,0.0003153681755065918,-0.03388134017586708,True,1.3862944841384888,1.3862944841384888,1.0,1.0,1.0,0.0,-2.5064175128936768,-38.82417678833008,-4.8084420001259787e-08,-38.787532806396484,online_value_model,0,0,0,0,0,0,0,0,0,0,0,-223.69775025460712,4,4,nnknn,0,mlp,,"[0, 0, 0, 0]",,,
783,4,426,2256.57861328125,-0.01386293675750494,6.1563483200188784e-09,2256.592529296875,2250.09716796875,0.0013851523399353027,-0.1101689338684082,True,1.3862943649291992,1.3862943649291992,1.0,1.0,1.0,0.0,-2.4359354972839355,-38.643733978271484,1.3432032375249037e-08,-38.681678771972656,online_value_model,0,0,34,0,0,34,0,0,0,0,0,-259.4271353207512,4,4,nnknn,34,mlp,,"[5, 13, 7, 9]",0.0,0.0,0.0
1143,4,360,1734.90283203125,-0.01199618075042963,7.947286384535346e-09,1734.914794921875,1730.5718994140625,0.0006593465805053711,-0.14743144810199738,True,1.199618935585022,1.3862943649291992,1.0,1.0,1.0,0.0,-1.9178614616394043,-30.33384132385254,6.622738468742284e-10,-30.42103385925293,online_value_model,0,0,35,0,0,35,0,0,0,0,0,-172.6075261541543,4,4,nnknn,69,mlp,,"[14, 23, 17, 15]",-0.0004999694647267461,1.4494497008854523e-05,0.0004999783704988658
1536,4,393,2915.601806640625,-0.011364778503775597,0.0010366513160988688,2915.61328125,2909.442138671875,0.0025725364685058594,-0.23894363641738892,True,1.240143060684204,1.386252522468567,0.983039379119873,0.9805566668510437,0.9855219721794128,1.1531584220847435e-07,-2.5364904403686523,-41.08671951293945,-3.7613109071799045e-08,-41.26093292236328,online_value_model,0,0,19,0,0,19,0,0,0,0,0,-249.21015598217923,4,4,nnknn,84,mlp,,"[19, 23, 22, 20]",-0.0009999485919252038,-1.786527172953356e-05,0.0009999551111832261
1940,4,404,2375.7568359375,-0.012586986646056175,-0.0010580284288153052,2375.76953125,2369.7158203125,0.0031824707984924316,-0.2968845069408417,True,1.1528959274291992,1.386202335357666,0.9779917001724243,0.9754393100738525,0.9805439710617065,3.658655600702332e-07,-2.617781162261963,-41.021358489990234,-1.0150493778837699e-07,-41.25225067138672,online_value_model,0,0,8,0,0,8,0,0,0,0,0,-264.39589862534496,4,4,nnknn,92,mlp,,"[19, 27, 25, 21]",-0.001497474149800837,-6.842832954134792e-05,0.0014971509808674455
2239,4,299,1043.3330078125,-0.013030977919697762,-0.0011523416033014655,1043.3460693359375,1040.5948486328125,0.0028256773948669434,-0.328300803899765,True,1.1878637075424194,1.3861867189407349,0.9735392928123474,0.9716519713401794,0.9754266738891602,7.455013815160783e-07,-1.3575671911239624,-21.522693634033203,-2.870591586656701e-08,-21.793258666992188,online_value_model,0,0,22,0,0,22,0,0,0,0,0,-101.47814520191446,4,4,nnknn,114,mlp,,"[22, 33, 35, 24]",-0.0019356682896614075,-8.075410005403683e-05,0.0019908403046429157
2659,4,420,1195.766357421875,-0.013603078201413155,-0.0018566609360277653,1195.7799072265625,1192.38916015625,0.004655003547668457,-0.39773914217948914,True,1.174641728401184,1.386124849319458,0.9689856767654419,0.9663320183753967,0.9716393351554871,8.71220890985569e-07,-1.5103815793991089,-23.984455108642578,1.1353265882974029e-08,-24.32042121887207,online_value_model,0,0,40,0,0,40,0,0,0,0,0,-158.59005590557302,4,4,nnknn,148,mlp,,"[32, 39, 49, 28]",-0.001917893998324871,4.567333235172555e-06,0.0022822334431111813
2998,4,339,2663.487060546875,-0.010802972130477428,0.00010167462460231036,2663.497802734375,2656.612548828125,0.005393266677856445,-0.5448052287101746,True,1.09046471118927,1.3859543800354004,0.9641786813735962,0.962037980556488,0.9663193225860596,7.45172314964293e-07,-2.6395819187164307,-41.01759719848633,-3.094518419288761e-08,-41.48793411254883,online_value_model,0,0,22,0,0,22,0,0,0,0,0,-223.70457683127395,4,4,nnknn,170,mlp,,"[37, 45, 57, 31]",-0.002251957543194294,-6.826167464168975e-06,0.002616975922137499
3350,4,352,2077.116943359375,-0.012060421518981457,-0.0007150580058805645,2077.12890625,2071.99365234375,0.006811320781707764,-0.5488412976264954,True,1.1345363855361938,1.3859621286392212,0.9598023295402527,0.9575793147087097,0.9620253443717957,9.143780062004225e-07,-2.0536084175109863,-32.684837341308594,8.127906347965563e-09,-33.16786193847656,online_value_model,0,0,42,0,0,42,0,0,0,0,0,-180.71752489648645,4,4,nnknn,212,mlp,,"[47, 54, 73, 38]",-0.0026111050974577665,-9.00775830814382e-06,0.002643140032887459
3768,4,418,881.734619140625,-0.012934431433677673,-0.0010146136628463864,881.74755859375,878.7847900390625,0.006008625030517578,-0.6044082641601562,True,1.1919817924499512,1.385977864265442,0.9549256563186646,0.9522846937179565,0.9575666785240173,7.74754255417065e-07,-1.197651743888855,-19.630477905273438,-8.669766060620532e-08,-20.16909408569336,online_value_model,0,0,62,0,0,62,0,0,0,0,0,-125.15461371032262,4,4,nnknn,263,mlp,,"[61, 56, 93, 53]",-0.002450107131153345,8.967937901616096e-05,0.0031429927330464125
