global_step,episode,episode_return,episode_length,loss,actor_type,case_entries,cases_pruned,cases_replaced,actor_cases_pruned,actor_cases_replaced,critic_cases_pruned,critic_cases_replaced,critic_label_updates,critic_label_update_samples,exploration_epsilon,behavior_epsilon,policy_ready,action_probs,behavior_action_probs,action_counts,bias_min,bias_mean,bias_max
66,1,-189.96201019186577,66,,nnknn,0,0,0,0,0,0,0,0,0,0.9991766666666667,1.0,False,"[0.25, 0.25, 0.25, 0.25]","[0.25, 0.25, 0.25, 0.25]","[0, 0, 0, 0]",,,
180,2,-291.5387046713623,114,,nnknn,0,0,0,0,0,0,0,0,0,0.9977326666666667,1.0,False,"[0.25, 0.25, 0.25, 0.25]","[0.25, 0.25, 0.25, 0.25]","[0, 0, 0, 0]",,,
267,3,-291.4654000016949,87,,nnknn,0,0,0,0,0,0,0,0,0,0.9966306666666667,1.0,False,"[0.25, 0.25, 0.25, 0.25]","[0.25, 0.25, 0.25, 0.25]","[0, 0, 0, 0]",,,
357,4,-121.82488615350577,90,1993.4560546875,nnknn,0,0,0,0,0,0,0,0,0,0.9954906666666666,1.0,False,"[0.25, 0.25, 0.25, 0.25]","[0.25, 0.25, 0.25, 0.25]","[0, 0, 0, 0]",,,
491,5,-460.79921359829245,134,,nnknn,0,0,0,0,0,0,0,0,0,0.9937933333333333,1.0,False,"[0.25, 0.25, 0.25, 0.25]","[0.25, 0.25, 0.25, 0.25]","[0, 0, 0, 0]",,,
617,6,-94.49807339393365,126,,nnknn,0,0,0,0,0,0,0,0,0,0.9921973333333334,1.0,False,"[0.25, 0.25, 0.25, 0.25]","[0.25, 0.25, 0.25, 0.25]","[0, 0, 0, 0]",,,
708,7,-285.08979837719585,91,,nnknn,0,0,0,0,0,0,0,0,0,0.9910446666666667,1.0,False,"[0.25, 0.25, 0.25, 0.25]","[0.25, 0.25, 0.25, 0.25]","[0, 0, 0, 0]",,,
783,8,-197.32145591358275,75,2256.57861328125,nnknn,34,0,0,0,0,0,0,0,0,0.9900946666666667,1.0,False,"[0.25, 0.25, 0.25, 0.25]","[0.25, 0.25, 0.25, 0.25]","[5, 13, 7, 9]",0.0,0.0,0.0
851,9,-115.99846770907601,68,,nnknn,34,0,0,0,0,0,0,0,0,0.9892333333333333,1.0,False,"[0.25, 0.25, 0.25, 0.25]","[0.25, 0.25, 0.25, 0.25]","[5, 13, 7, 9]",0.0,0.0,0.0
939,10,-381.22703580207093,88,,nnknn,34,0,0,0,0,0,0,0,0,0.9881186666666667,1.0,False,"[0.25, 0.25, 0.25, 0.25]","[0.25, 0.25, 0.25, 0.25]","[5, 13, 7, 9]",0.0,0.0,0.0
1064,11,-136.9951700413846,125,,nnknn,34,0,0,0,0,0,0,0,0,0.9865353333333333,1.0,False,"[0.25, 0.25, 0.25, 0.25]","[0.25, 0.25, 0.25, 0.25]","[5, 13, 7, 9]",0.0,0.0,0.0
1143,12,-56.20943106408572,79,1734.90283203125,nnknn,65,4,0,4,0,0,0,0,0,0.9855346666666667,1.0,False,"[0.25, 0.25, 0.25, 0.25]","[0.25, 0.25, 0.25, 0.25]","[14, 23, 17, 11]",-0.0004999639349989593,4.6153709263307974e-05,0.0004999783704988658
1233,13,-113.8710788497562,90,,nnknn,65,4,0,4,0,0,0,0,0,0.9843946666666666,0.9843946666666666,True,"[0.1995815485715866, 0.49565768241882324, 0.20217494666576385, 0.10258585214614868]","[0.24921320378780365, 0.2538335621356964, 0.24925367534160614, 0.2476995587348938]","[14, 23, 17, 11]",-0.0004999639349989593,4.6153709263307974e-05,0.0004999783704988658
1308,14,-165.8950818546087,75,,nnknn,65,4,0,4,0,0,0,0,0,0.9834446666666666,0.9834446666666666,True,"[0.30366694927215576, 0.2942749857902527, 0.30561044812202454, 0.09644757211208344]","[0.250888466835022, 0.25073298811912537, 0.2509206533432007, 0.24745789170265198]","[14, 23, 17, 11]",-0.0004999639349989593,4.6153709263307974e-05,0.0004999783704988658
