global_step,episodes,samples,loss,actor_loss,policy_loss,critic_optimization_mse,critic_train_mse,critic_train_explained_variance,critic_train_value_mean,critic_train_diagnostics_computed,entropy,behavior_entropy,mean_behavior_epsilon,min_behavior_epsilon,max_behavior_epsilon,bias_loss,mean_reward,mean_advantage,mean_normalized_advantage,value_target_mean,bootstrap_value_source,partial_rollout_segments,partial_rollout_samples,actor_cases_added,actor_cases_pruned,actor_cases_replaced,actor_positive_advantage_samples,critic_cases_added,critic_cases_pruned,critic_cases_replaced,critic_label_updates,critic_label_update_samples,mean_episode_return,reward_varying_episodes,reward_checked_episodes,actor_type,case_entries,critic_type,critic_case_entries,action_counts,bias_min,bias_mean,bias_max
24,4,24,-0.010977819561958313,-0.010977819561958313,-0.0,0.0,,,,False,1.097782015800476,1.097782015800476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nnknn_target_value_model,0,0,0,0,0,0,24,0,0,0,0,0.0,0,4,mlp,,nnknn,24,,,,
58,4,34,0.17536351084709167,-0.013305681757628918,-0.0023214046377688646,0.18866918981075287,,,,False,1.0984277725219727,1.0984277725219727,0.0,0.0,0.0,0.0,0.029411764815449715,0.24257615208625793,1.753077860655594e-08,0.24257615208625793,nnknn_target_value_model,0,0,0,0,0,11,21,0,0,15,13,0.25,1,4,mlp,,nnknn,45,,,,
104,4,46,0.3876536786556244,-0.008318183943629265,0.0026639518328011036,0.3959718644618988,0.3136410415172577,-0.04883527755737305,0.2679067552089691,True,1.0982136726379395,1.0982136726379395,0.0,0.0,0.0,0.0,0.043478261679410934,0.37177810072898865,1.9436297904462663e-08,0.46781572699546814,nnknn_target_value_model,0,0,0,0,0,25,41,0,0,4,5,0.5,1,4,mlp,,nnknn,86,,,,
138,4,34,0.16858866810798645,-0.014223516918718815,-0.003243817016482353,0.1828121840953827,,,,False,1.0979700088500977,1.0979700088500977,0.0,0.0,0.0,0.0,0.029411764815449715,0.056862324476242065,-7.0123111761688506e-09,0.30667644739151,nnknn_target_value_model,0,0,0,0,0,10,28,0,0,7,6,0.25,1,4,mlp,,nnknn,114,,,,
172,4,34,0.13245747983455658,-0.025684988126158714,-0.014709542505443096,0.15814246237277985,0.15866170823574066,0.05091983079910278,0.31987297534942627,True,1.097544550895691,1.097544550895691,0.0,0.0,0.0,0.0,0.029411764815449715,-0.0029810727573931217,5.25923349314894e-09,0.3131936192512512,nnknn_target_value_model,0,0,0,0,0,11,19,0,0,16,15,0.25,1,4,mlp,,nnknn,133,,,,
228,4,56,0.2784566879272461,-0.02370380237698555,-0.012734472751617432,0.30216050148010254,,,,False,1.0969328880310059,1.0969328880310059,0.0,0.0,0.0,0.0,0.0535714291036129,0.2640009820461273,3.4059798537100505e-08,0.6567721962928772,nnknn_target_value_model,0,0,0,0,0,33,32,0,0,24,24,0.75,2,4,mlp,,nnknn,165,,,,
272,4,44,0.17940299212932587,-0.01071216817945242,0.00024711815058253706,0.19011515378952026,,,,False,1.09592866897583,1.09592866897583,0.0,0.0,0.0,0.0,0.04545454680919647,0.08660084754228592,-2.709302115988521e-09,0.49491825699806213,nnknn_target_value_model,0,0,0,0,0,22,33,0,0,11,11,0.5,2,4,mlp,,nnknn,198,,,,
306,4,34,0.0992821455001831,-0.018443293869495392,-0.007493727374821901,0.1177254393696785,0.11568188667297363,0.339056134223938,0.3536525368690491,True,1.0949567556381226,1.0949567556381226,0.0,0.0,0.0,0.0,0.029411764815449715,0.008239269256591797,3.5061555880844253e-09,0.30932536721229553,nnknn_target_value_model,0,0,0,0,0,11,15,0,0,21,19,0.25,1,4,mlp,,nnknn,213,,,,
350,4,44,0.11446753144264221,-0.02969820611178875,-0.018757926300168037,0.1441657394170761,,,,False,1.0940279960632324,1.0940279960632324,0.0,0.0,0.0,0.0,0.04545454680919647,0.05394918844103813,1.5578486056710972e-08,0.4993492364883423,nnknn_target_value_model,0,0,0,0,0,20,25,0,0,22,19,0.5,2,4,mlp,,nnknn,238,,,,
384,4,34,0.12033291906118393,-0.010292879305779934,0.0006371175404638052,0.13062579929828644,0.13097216188907623,0.30279701948165894,0.39392542839050293,True,1.0929996967315674,1.0929996967315674,0.0,0.0,0.0,0.0,0.029411764815449715,-0.021433189511299133,-1.928385628957585e-08,0.31868627667427063,nnknn_target_value_model,0,0,0,0,0,10,11,0,0,21,23,0.25,1,4,mlp,,nnknn,249,,,,
450,4,66,0.2765796184539795,-0.02137158252298832,-0.01045096293091774,0.29795119166374207,,,,False,1.092061996459961,1.092061996459961,0.0,0.0,0.0,0.0,0.06060606241226196,0.27546319365501404,-3.973643103449831e-08,0.7361710667610168,nnknn_target_value_model,0,0,0,0,0,44,43,0,0,12,23,1.0,3,4,mlp,,nnknn,292,,,,
474,4,24,0.09971194714307785,0.014541015028953552,0.025448977947235107,0.0851709321141243,,,,False,1.0907963514328003,1.0907963514328003,0.0,0.0,0.0,0.0,0.0,-0.18975134193897247,-1.1920928955078125e-07,0.022608557716012,nnknn_target_value_model,0,0,0,0,0,0,8,0,0,15,16,0.0,0,4,mlp,,nnknn,300,,,,
508,4,34,0.10784003138542175,-0.02336890809237957,-0.01246761903166771,0.13120894134044647,0.13064348697662354,0.21429479122161865,0.3373420238494873,True,1.0901288986206055,1.0901288986206055,0.0,0.0,0.0,0.0,0.029411764815449715,-0.02420160546898842,1.7530777940422126e-09,0.31741568446159363,nnknn_target_value_model,0,0,0,0,0,10,13,0,0,15,21,0.25,1,4,mlp,,nnknn,313,,,,
532,4,24,0.06980517506599426,-0.013726438395678997,-0.0028339624404907227,0.08353161066770554,,,,False,1.0892475843429565,1.0892475843429565,0.0,0.0,0.0,0.0,0.0,-0.2115841954946518,7.450580596923828e-08,0.02149626426398754,nnknn_target_value_model,0,0,0,0,0,0,5,0,0,18,19,0.0,0,4,mlp,,nnknn,318,,,,
586,4,54,0.15138182044029236,-0.005003763362765312,0.005883677862584591,0.15638558566570282,0.15344320237636566,0.3325360417366028,0.5350160002708435,True,1.0887441635131836,1.0887441635131836,0.0,0.0,0.0,0.0,0.0555555559694767,0.09189379960298538,-1.2693582185363539e-08,0.6148813962936401,nnknn_target_value_model,0,0,0,0,0,25,21,0,0,29,33,0.75,3,4,mlp,,nnknn,339,,,,
630,4,44,0.09999018907546997,-0.015402735210955143,-0.004523808136582375,0.11539292335510254,,,,False,1.087892770767212,1.087892770767212,0.0,0.0,0.0,0.0,0.04545454680919647,0.09522818773984909,-1.6255812695931127e-08,0.47602999210357666,nnknn_target_value_model,0,0,0,0,0,22,16,0,0,31,28,0.5,2,4,mlp,,nnknn,355,,,,
676,4,46,0.1991976499557495,-0.0508817695081234,-0.04000749811530113,0.2500794231891632,,,,False,1.0874272584915161,1.0874272584915161,0.0,0.0,0.0,0.0,0.043478261679410934,0.2252277284860611,2.5915062096260044e-08,0.55766361951828,nnknn_target_value_model,0,0,0,0,0,23,23,0,0,26,23,0.5,1,4,mlp,,nnknn,378,,,,
722,4,46,0.22348135709762573,0.0029301252216100693,0.013792856596410275,0.2205512374639511,0.21488697826862335,0.4669397473335266,0.41192761063575745,True,1.086273193359375,1.086273193359375,0.0,0.0,0.0,0.0,0.043478261679410934,0.19580036401748657,-1.036602537141107e-08,0.5645659565925598,nnknn_target_value_model,0,0,0,0,0,22,14,0,0,33,32,0.5,1,4,mlp,,nnknn,392,,,,
756,4,34,0.07823716849088669,-0.02682589180767536,-0.015972062945365906,0.1050630584359169,,,,False,1.0853829383850098,1.0853829383850098,0.0,0.0,0.0,0.0,0.029411764815449715,-0.018390730023384094,-4.382694651638985e-09,0.31818339228630066,nnknn_target_value_model,0,0,0,0,0,11,5,0,0,21,29,0.25,1,4,mlp,,nnknn,397,,,,
802,4,46,0.2599841356277466,0.015417753718793392,0.026263732463121414,0.24456638097763062,0.24744988977909088,0.40906327962875366,0.4827788472175598,True,1.0845979452133179,1.0845979452133179,0.0,0.0,0.0,0.0,0.043478261679410934,0.16959211230278015,-7.774518806513697e-09,0.5938057899475098,nnknn_target_value_model,0,0,0,0,0,22,18,0,0,27,28,0.5,1,4,mlp,,nnknn,415,,,,
826,4,24,0.08541636914014816,-0.07392663508653641,-0.06308948993682861,0.15934300422668457,,,,False,1.0837148427963257,1.0837148427963257,0.0,0.0,0.0,0.0,0.0,-0.2520371675491333,6.953874986947994e-08,0.034893717616796494,nnknn_target_value_model,0,0,0,0,0,0,0,0,0,27,24,0.0,0,4,mlp,,nnknn,415,,,,
860,4,34,0.09958957880735397,-0.008682815358042717,0.0021409601904451847,0.10827239602804184,,,,False,1.082377552986145,1.082377552986145,0.0,0.0,0.0,0.0,0.029411764815449715,-0.008420215919613838,1.753077860655594e-08,0.3249914348125458,nnknn_target_value_model,0,0,0,0,0,8,6,0,0,22,28,0.25,1,4,mlp,,nnknn,421,,,,
894,4,34,0.16715556383132935,0.0534559041261673,0.0642697736620903,0.11369965970516205,0.11193099617958069,0.48352158069610596,0.4229530394077301,True,1.0813870429992676,1.0813870429992676,0.0,0.0,0.0,0.0,0.029411764815449715,-0.058262914419174194,2.2790011655615672e-08,0.33844369649887085,nnknn_target_value_model,0,0,0,0,0,8,8,0,0,29,26,0.25,1,4,mlp,,nnknn,429,,,,
960,4,66,0.3479393720626831,-0.03476152941584587,-0.02394784800708294,0.3827008903026581,,,,False,1.081368088722229,1.081368088722229,0.0,0.0,0.0,0.0,0.06060606241226196,0.33126819133758545,2.79961209770363e-08,0.8050028085708618,nnknn_target_value_model,0,0,0,0,0,43,35,0,0,35,31,1.0,2,4,mlp,,nnknn,464,,,,
984,4,24,-0.033887673169374466,-0.0815354511141777,-0.0707317665219307,0.04764777794480324,0.04611692205071449,-56.09904861450195,0.1878792643547058,True,1.0803683996200562,1.0803683996200562,0.0,0.0,0.0,0.0,0.0,-0.1778879016637802,1.6391277313232422e-07,0.02029276452958584,nnknn_target_value_model,0,0,0,0,0,0,2,0,0,25,22,0.0,0,4,mlp,,nnknn,466,,,,
1018,4,34,0.08243259787559509,0.007989996112883091,0.018783044070005417,0.07444260269403458,,,,False,1.079304814338684,1.079304814338684,0.0,0.0,0.0,0.0,0.029411764815449715,-0.046565473079681396,-4.5580023311231344e-08,0.3269616961479187,nnknn_target_value_model,0,0,0,0,0,7,5,0,0,33,29,0.25,1,4,mlp,,nnknn,471,,,,
1042,4,24,0.08765465021133423,-0.052361518144607544,-0.04157837852835655,0.14001616835594177,,,,False,1.0783140659332275,1.0783140659332275,0.0,0.0,0.0,0.0,0.0,-0.3622072637081146,2.21033886305122e-07,0.04679544270038605,nnknn_target_value_model,0,0,0,0,0,0,2,0,0,19,22,0.0,0,4,mlp,,nnknn,449,,,,
1076,4,34,0.045033566653728485,-0.09426044672727585,-0.08348768949508667,0.13929401338100433,0.1300872564315796,0.3247426152229309,0.3887428045272827,True,1.0772755146026611,1.0772755146026611,0.0,0.0,0.0,0.0,0.029411764815449715,-0.11461558192968369,2.8049244704675402e-08,0.33488500118255615,nnknn_target_value_model,0,0,0,0,0,8,6,0,0,28,28,0.25,1,4,mlp,,nnknn,455,,,,
1120,4,44,0.06927057355642319,-0.08146943897008896,-0.07071748375892639,0.15074001252651215,,,,False,1.0751954317092896,1.0751954317092896,0.0,0.0,0.0,0.0,0.04545454680919647,0.01198574062436819,4.063953173982782e-09,0.506305456161499,nnknn_target_value_model,0,0,0,0,0,18,12,0,0,32,32,0.5,2,4,mlp,,nnknn,467,,,,
1186,4,66,0.2842896282672882,-0.0018011322245001793,0.008927467279136181,0.28609076142311096,0.2879467010498047,0.2801501750946045,0.47347116470336914,True,1.0728600025177002,1.0728600025177002,0.0,0.0,0.0,0.0,0.06060606241226196,0.23004184663295746,2.709302115988521e-09,0.740584135055542,nnknn_target_value_model,0,0,0,0,0,38,30,0,0,35,36,1.0,3,4,mlp,,nnknn,497,,,,
1210,4,24,0.1492372751235962,0.055586427450180054,0.06628572195768356,0.09365085512399673,,,,False,1.0699292421340942,1.0699292421340942,0.0,0.0,0.0,0.0,0.0,-0.30737242102622986,5.960464477539063e-08,0.0362677164375782,nnknn_target_value_model,0,0,0,0,0,0,1,0,0,32,23,0.0,0,4,mlp,,nnknn,498,,,,
1256,4,46,0.25737109780311584,-0.014720547012984753,-0.00402599573135376,0.27209165692329407,,,,False,1.0694551467895508,1.0694551467895508,0.0,0.0,0.0,0.0,0.043478261679410934,0.11950916051864624,2.5915063428527674e-09,0.6128385066986084,nnknn_target_value_model,0,0,0,0,0,21,14,25,0,42,32,0.5,1,4,mlp,,nnknn,487,,,,
1290,4,34,0.1498890519142151,0.014098284766077995,0.02477150782942772,0.13579076528549194,0.1300351917743683,0.32603728771209717,0.34330952167510986,True,1.0673223733901978,1.0673223733901978,0.0,0.0,0.0,0.0,0.029411764815449715,-0.008299845270812511,3.5061555880844253e-09,0.3198089897632599,nnknn_target_value_model,0,0,0,0,0,10,5,0,0,35,29,0.25,1,4,mlp,,nnknn,492,,,,
1334,4,44,0.1749868094921112,0.02278921753168106,0.03345740586519241,0.15219758450984955,,,,False,1.0668189525604248,1.0668189525604248,0.0,0.0,0.0,0.0,0.04545454680919647,0.04534490406513214,2.438371815571827e-08,0.5062738656997681,nnknn_target_value_model,0,0,0,0,0,15,10,25,0,31,34,0.5,2,4,mlp,,nnknn,477,,,,
1368,4,34,0.1037336215376854,0.003196067176759243,0.013850386254489422,0.10053755342960358,0.10031758248806,0.4786686301231384,0.3491165041923523,True,1.0654319524765015,1.0654319524765015,0.0,0.0,0.0,0.0,0.029411764815449715,-0.051565494388341904,1.753077860655594e-08,0.319009929895401,nnknn_target_value_model,0,0,0,0,0,9,2,0,0,38,32,0.25,1,4,mlp,,nnknn,479,,,,
1392,4,24,-0.019555673003196716,-0.05874389782547951,-0.048095181584358215,0.03918822482228279,,,,False,1.0648716688156128,1.0648716688156128,0.0,0.0,0.0,0.0,0.0,-0.20656819641590118,-6.953874986947994e-08,0.01645609736442566,nnknn_target_value_model,0,0,0,0,0,0,2,0,0,32,22,0.0,0,4,mlp,,nnknn,481,,,,
1436,4,44,0.2057575285434723,0.06643090397119522,0.07708199322223663,0.13932661712169647,,,,False,1.0651090145111084,1.0651090145111084,0.0,0.0,0.0,0.0,0.04545454680919647,0.09469320625066757,-1.3546510579942606e-08,0.4809010326862335,nnknn_target_value_model,0,0,0,0,0,17,2,0,0,51,42,0.5,2,4,mlp,,nnknn,483,,,,
1470,4,34,0.06269117444753647,-0.05385252833366394,-0.04320386424660683,0.11654370278120041,0.11318912357091904,0.4219750761985779,0.3876446783542633,True,1.0648664236068726,1.0648664236068726,0.0,0.0,0.0,0.0,0.029411764815449715,-0.060936521738767624,-5.25923349314894e-09,0.3304550051689148,nnknn_target_value_model,0,0,0,0,0,9,8,0,0,30,26,0.25,1,4,mlp,,nnknn,491,,,,
1494,4,24,0.05939187854528427,0.018421754240989685,0.02906266413629055,0.040970124304294586,,,,False,1.0640910863876343,1.0640910863876343,0.0,0.0,0.0,0.0,0.0,-0.17731839418411255,-7.947286206899662e-08,0.017592262476682663,nnknn_target_value_model,0,0,0,0,0,0,1,0,0,36,23,0.0,0,4,mlp,,nnknn,492,,,,
1528,4,34,0.033954352140426636,-0.04143987596035004,-0.030795546248555183,0.07539422810077667,0.07539792358875275,0.5935560464859009,0.3069276213645935,True,1.064433217048645,1.064433217048645,0.0,0.0,0.0,0.0,0.029411764815449715,-0.005523640662431717,-3.5061555880844253e-09,0.31429263949394226,nnknn_target_value_model,0,0,0,0,0,10,3,0,0,46,31,0.25,1,4,mlp,,nnknn,495,,,,
1584,4,56,0.24325771629810333,-0.030599428340792656,-0.019956810399889946,0.27385714650154114,,,,False,1.064261794090271,1.064261794090271,0.0,0.0,0.0,0.0,0.0535714291036129,0.21697832643985748,1.915863556689601e-08,0.6746697425842285,nnknn_target_value_model,0,0,0,0,0,32,17,25,0,38,39,0.75,2,4,mlp,,nnknn,487,,,,
1618,4,34,0.07364067435264587,-0.009090960025787354,0.0015438601840287447,0.08273163437843323,,,,False,1.0634820461273193,1.0634820461273193,0.0,0.0,0.0,0.0,0.029411764815449715,-0.01498585194349289,1.928385628957585e-08,0.3147422671318054,nnknn_target_value_model,0,0,0,0,0,9,5,0,0,32,29,0.25,1,4,mlp,,nnknn,492,,,,
1652,4,34,0.15864285826683044,0.06358266621828079,0.0742180198431015,0.09506019949913025,0.09174895286560059,0.5217252373695374,0.30871376395225525,True,1.0635355710983276,1.0635355710983276,0.0,0.0,0.0,0.0,0.029411764815449715,0.0105790039524436,2.103693397259576e-08,0.31407731771469116,nnknn_target_value_model,0,0,0,0,0,9,3,0,0,42,31,0.25,1,4,mlp,,nnknn,495,,,,
1708,4,56,0.2740819752216339,0.019477901980280876,0.03011738322675228,0.2546040713787079,,,,False,1.063948154449463,1.063948154449463,0.0,0.0,0.0,0.0,0.0535714291036129,0.24801461398601532,-1.915863556689601e-08,0.6644279360771179,nnknn_target_value_model,0,0,0,0,0,31,18,25,0,46,38,0.75,2,4,mlp,,nnknn,488,,,,
1774,4,66,0.1628401279449463,-0.05425442010164261,-0.04360189661383629,0.2170945405960083,0.21057306230068207,0.4917525053024292,0.44342994689941406,True,1.0652521848678589,1.0652521848678589,0.0,0.0,0.0,0.0,0.06060606241226196,0.28323259949684143,-1.0837208463954084e-08,0.7024943828582764,nnknn_target_value_model,0,0,0,0,0,40,11,0,0,68,55,1.0,3,4,mlp,,nnknn,499,,,,
1818,4,44,0.16505523025989532,0.05515594780445099,0.06581103056669235,0.10989928245544434,,,,False,1.065508246421814,1.065508246421814,0.0,0.0,0.0,0.0,0.04545454680919647,0.12623567879199982,-1.3546510579942606e-08,0.4710786044597626,nnknn_target_value_model,0,0,0,0,0,16,9,25,0,34,35,0.5,2,4,mlp,,nnknn,483,,,,
1852,4,34,0.0878770500421524,-0.00017553474754095078,0.010483505204319954,0.08805258572101593,,,,False,1.0659040212631226,1.0659040212631226,0.0,0.0,0.0,0.0,0.029411764815449715,0.005838528275489807,1.4024622352337701e-08,0.31035473942756653,nnknn_target_value_model,0,0,0,0,0,7,7,0,0,35,27,0.25,1,4,mlp,,nnknn,490,,,,
1908,4,56,0.29179540276527405,-0.0028134407475590706,0.00785701721906662,0.29460883140563965,0.2842678129673004,0.2762736678123474,0.4703277051448822,True,1.06704580783844,1.06704580783844,0.0,0.0,0.0,0.0,0.0535714291036129,0.2455172836780548,7.344143426735172e-08,0.6660394668579102,nnknn_target_value_model,0,0,0,0,0,27,8,0,0,60,48,0.75,2,4,mlp,,nnknn,498,,,,
