global_step,episode,episode_return,episode_length,loss,actor_type,case_entries,cases_pruned,cases_replaced,actor_cases_pruned,actor_cases_replaced,critic_cases_pruned,critic_cases_replaced,critic_label_updates,critic_label_update_samples,exploration_epsilon,behavior_epsilon,policy_ready,action_probs,behavior_action_probs,action_counts,bias_min,bias_mean,bias_max
6,1,0.0,6,,mlp,,0,0,0,0,0,0,0,0,0.0,0.0,True,"[0.3489983081817627, 0.33138227462768555, 0.31961944699287415]","[0.3489983081817627, 0.33138227462768555, 0.31961944699287415]",,,,
12,2,0.0,6,,mlp,,0,0,0,0,0,0,0,0,0.0,0.0,True,"[0.35176709294319153, 0.32709065079689026, 0.3211422860622406]","[0.35176709294319153, 0.32709065079689026, 0.3211422860622406]",,,,
18,3,0.0,6,,mlp,,0,0,0,0,0,0,0,0,0.0,0.0,True,"[0.3489983081817627, 0.33138227462768555, 0.31961944699287415]","[0.3489983081817627, 0.33138227462768555, 0.31961944699287415]",,,,
24,4,0.0,6,-0.010807929560542107,mlp,,0,0,0,0,0,0,0,0,0.0,0.0,True,"[0.34809598326683044, 0.3296286463737488, 0.3222753703594208]","[0.34809598326683044, 0.3296286463737488, 0.3222753703594208]",,,,
30,5,0.0,6,,mlp,,0,0,0,0,0,0,0,0,0.0,0.0,True,"[0.354420006275177, 0.31959253549575806, 0.32598745822906494]","[0.354420006275177, 0.31959253549575806, 0.32598745822906494]",,,,
36,6,0.0,6,,mlp,,0,0,0,0,0,0,0,0,0.0,0.0,True,"[0.35587528347969055, 0.31727737188339233, 0.3268473446369171]","[0.35587528347969055, 0.31727737188339233, 0.3268473446369171]",,,,
42,7,0.0,6,,mlp,,0,0,0,0,0,0,0,0,0.0,0.0,True,"[0.35301142930984497, 0.3211572766304016, 0.32583123445510864]","[0.35301142930984497, 0.3211572766304016, 0.32583123445510864]",,,,
48,8,0.0,6,-0.014584988355636597,mlp,,0,0,0,0,0,0,0,0,0.0,0.0,True,"[0.3563101291656494, 0.31770360469818115, 0.3259862959384918]","[0.3563101291656494, 0.31770360469818115, 0.3259862959384918]",,,,
64,9,1.0,16,,mlp,,0,0,0,0,0,0,0,0,0.0,0.0,True,"[0.3552708923816681, 0.3134184181690216, 0.3313107192516327]","[0.3552708923816681, 0.3134184181690216, 0.3313107192516327]",,,,
70,10,0.0,6,,mlp,,0,0,0,0,0,0,0,0,0.0,0.0,True,"[0.35589033365249634, 0.31096187233924866, 0.3331477642059326]","[0.35589033365249634, 0.31096187233924866, 0.3331477642059326]",,,,
76,11,0.0,6,,mlp,,0,0,0,0,0,0,0,0,0.0,0.0,True,"[0.3590894937515259, 0.30838608741760254, 0.3325243592262268]","[0.3590894937515259, 0.30838608741760254, 0.3325243592262268]",,,,
82,12,0.0,6,0.19587817788124084,mlp,,0,0,0,0,0,0,0,0,0.0,0.0,True,"[0.3598812222480774, 0.30819129943847656, 0.33192750811576843]","[0.3598812222480774, 0.30819129943847656, 0.33192750811576843]",,,,
88,13,0.0,6,,mlp,,0,0,0,0,0,0,0,0,0.0,0.0,True,"[0.36282655596733093, 0.30283868312835693, 0.3343347907066345]","[0.36282655596733093, 0.30283868312835693, 0.3343347907066345]",,,,
