global_step,case_store,source,cases_pruned,cases_replaced,case_entries,action_counts,bias_min,bias_mean,bias_max
1000,actor,scheduled_batch_boundary,21,0,386,"[147, 117, 122]",-0.004762069787830114,-8.8980705186259e-05,0.007574049290269613
1000,critic,scheduled_batch_boundary,25,0,466,,-0.002820932539179921,0.0002896599762607366,0.005083865951746702
1204,critic,capacity_insert,25,0,488,,-0.0028101210482418537,0.0006346157751977444,0.005778010003268719
1294,actor,capacity_insert,25,0,478,"[180, 142, 156]",-0.0036015394143760204,8.855498163029552e-05,0.009198801591992378
1294,critic,capacity_insert,25,0,489,,-0.0021539514418691397,0.0008173929527401924,0.006759134586900473
1382,actor,capacity_insert,25,0,487,"[185, 140, 162]",-0.002946001710370183,0.00027433971990831196,0.00943175982683897
1382,critic,capacity_insert,25,0,482,,-0.0015538685256615281,0.0010200015967711806,0.0066316500306129456
1448,actor,capacity_insert,25,0,497,"[187, 142, 168]",-0.0022037720773369074,0.00037110858829692006,0.00993161741644144
1448,critic,capacity_insert,25,0,489,,-0.0011847050627693534,0.0010679789120331407,0.007131639402359724
1492,actor,capacity_insert,25,0,489,"[184, 139, 166]",-0.001816085772588849,0.0004884841619059443,0.010431528091430664
1492,critic,capacity_insert,25,0,476,,-0.0008720579789951444,0.001116800238378346,0.007628570310771465
1570,actor,capacity_insert,25,0,488,"[177, 143, 168]",-0.0014994440134614706,0.0005693376297131181,0.009434584528207779
1670,actor,capacity_insert,50,0,482,"[175, 140, 167]",-0.0011461906833574176,0.0007284709136001766,0.010249986313283443
1670,critic,capacity_insert,25,0,489,,-0.001032999949529767,0.0013850666582584381,0.007819932885468006
1758,actor,capacity_insert,25,0,496,"[190, 139, 167]",-0.0010514912428334355,0.000735073524992913,0.009924608282744884
1758,critic,capacity_insert,25,0,484,,-0.0007162895635701716,0.0015132911503314972,0.0074478681199252605
1792,actor,capacity_insert,25,0,480,"[186, 131, 163]",-0.0008908297750167549,0.0007816487923264503,0.010424476116895676
1870,actor,capacity_insert,25,0,483,"[193, 132, 158]",-0.0010847952216863632,0.0008513496723026037,0.011259213089942932
1914,actor,capacity_insert,25,0,476,"[188, 131, 157]",-0.0008295205188915133,0.0009293542825616896,0.010759261436760426
1914,critic,capacity_insert,25,0,483,,-0.000656421179883182,0.001903832657262683,0.008174587041139603
2028,actor,capacity_insert,25,0,488,"[192, 139, 157]",-0.0011057441588491201,0.0009877006523311138,0.009469917975366116
2028,critic,capacity_insert,25,0,478,,-0.0006135694566182792,0.0020711435936391354,0.008088368922472
2028,actor,scheduled_batch_boundary,25,0,463,"[182, 130, 151]",-0.0007697418332099915,0.0010942359222099185,0.009469917975366116
2028,critic,scheduled_batch_boundary,24,0,454,,-0.00018252177687827498,0.0022022167686372995,0.008088368922472
2138,actor,capacity_insert,25,0,499,"[194, 138, 167]",-0.0008343470981344581,0.0010200488613918424,0.009087702259421349
2192,actor,capacity_insert,25,0,500,"[194, 138, 168]",-0.0006975814467296004,0.001066287630237639,0.009587648324668407
2260,actor,capacity_insert,25,0,495,"[201, 130, 164]",-0.0006915797130204737,0.0010473018046468496,0.009256509132683277
2260,critic,capacity_insert,25,0,485,,-0.0008021279936656356,0.0022345827892422676,0.009831639938056469
2314,actor,capacity_insert,25,0,494,"[202, 127, 165]",-0.0006417021504603326,0.0010887637035921216,0.009553005918860435
2348,actor,capacity_insert,25,0,477,"[194, 120, 163]",-0.0005583391175605357,0.0011410985607653856,0.010049739852547646
2392,critic,capacity_insert,25,0,480,,-0.0006930159870535135,0.0025561528746038675,0.010526763275265694
2426,actor,capacity_insert,25,0,476,"[184, 125, 167]",-0.0007761269807815552,0.001207082998007536,0.01020702626556158
2538,actor,capacity_insert,25,0,485,"[183, 131, 171]",-0.0010823002085089684,0.0012175798183307052,0.01046903058886528
2538,critic,capacity_insert,25,0,480,,-0.0005293997237458825,0.002813302678987384,0.010207192040979862
2592,actor,capacity_insert,25,0,489,"[171, 138, 180]",-0.0006145748193375766,0.0012806277954950929,0.010968991555273533
2694,actor,capacity_insert,25,0,491,"[178, 135, 178]",-0.0007257334655150771,0.0013029056135565042,0.01051651407033205
2742,critic,capacity_insert,25,0,477,,-0.0004890664131380618,0.003155352780595422,0.010538393631577492
2830,actor,capacity_insert,75,0,478,"[167, 133, 178]",-0.00031927425879985094,0.0014098954852670431,0.010399945080280304
2830,critic,capacity_insert,25,0,486,,-0.000166989877470769,0.0031295237131416798,0.010161426849663258
2928,actor,capacity_insert,25,0,494,"[172, 134, 188]",-0.0006889960495755076,0.0013636276125907898,0.010370368137955666
2928,critic,capacity_insert,25,0,485,,-4.749022264149971e-05,0.003224733052775264,0.010170410387217999
2972,actor,capacity_insert,25,0,485,"[170, 130, 185]",-0.0006018812418915331,0.0014296991284936666,0.010870265774428844
3028,actor,capacity_insert,25,0,488,"[169, 129, 190]",-0.0004998475778847933,0.0014766583917662501,0.010370351374149323
3028,critic,capacity_insert,21,0,489,,0.0,0.003315356094390154,0.01093676220625639
3028,actor,scheduled_batch_boundary,25,0,463,"[157, 125, 181]",-0.0003526152577251196,0.0015801680274307728,0.010370351374149323
3144,critic,capacity_insert,13,0,489,,0.0,0.0033820555545389652,0.01093676220625639
3198,actor,capacity_insert,25,0,482,"[166, 128, 188]",-0.0008011679747141898,0.0015477559063583612,0.011122182942926884
3198,critic,capacity_insert,12,0,497,,0.0,0.003339675022289157,0.011434211395680904
3274,actor,capacity_insert,50,0,481,"[165, 132, 184]",-0.00025874588754959404,0.0016206562286242843,0.011622073128819466
3274,critic,capacity_insert,25,0,499,,-0.00017148042388726026,0.0033480399288237095,0.010934259742498398
3318,critic,capacity_insert,23,0,487,,0.0,0.0034805568866431713,0.010934259742498398
3364,actor,capacity_insert,25,0,496,"[171, 144, 181]",-0.0003720571403391659,0.0015833446523174644,0.012531919404864311
3364,critic,capacity_insert,19,0,483,,0.0,0.003537082811817527,0.011434227228164673
3420,actor,capacity_insert,50,0,476,"[166, 134, 176]",-0.0001637898531043902,0.0016826505307108164,0.012031982652842999
3454,critic,capacity_insert,24,0,479,,0.0,0.003636913141235709,0.011806236580014229
3552,actor,capacity_insert,50,0,477,"[164, 123, 190]",-0.00020885694539174438,0.0017312958370894194,0.010827961377799511
3606,actor,capacity_insert,25,0,482,"[168, 121, 193]",-0.00020996267267037183,0.001744329696521163,0.011166518554091454
3660,actor,capacity_insert,25,0,484,"[167, 129, 188]",-0.00031067413510754704,0.0017704864731058478,0.011666449718177319
3704,actor,capacity_insert,25,0,478,"[161, 126, 191]",-0.00025758048286661506,0.0017966796876862645,0.011166471987962723
3704,critic,capacity_insert,25,0,486,,-0.00018310137966182083,0.0038330662064254284,0.013760735280811787
3760,actor,capacity_insert,25,0,486,"[168, 126, 192]",-0.0002483065763954073,0.0017609184142202139,0.010666482150554657
3760,critic,capacity_insert,12,2,500,,0.0,0.0037374284584075212,0.014260688796639442
3806,actor,capacity_insert,25,0,481,"[160, 132, 189]",-0.0001857155148172751,0.001786697655916214,0.011166459880769253
3806,critic,capacity_insert,15,2,500,,0.0,0.0037229673471301794,0.014260688796639442
3882,actor,capacity_insert,50,0,480,"[157, 138, 185]",-9.425963799003512e-05,0.001772355637513101,0.010666542686522007
3882,critic,capacity_insert,25,0,496,,-5.4393893833548645e-09,0.003734748577699065,0.013760717585682869
3926,critic,capacity_insert,15,0,492,,0.0,0.003840081626549363,0.014260542578995228
3960,actor,capacity_insert,25,0,484,"[167, 134, 183]",-0.0004985487903468311,0.0016699376283213496,0.01166713796555996
4004,actor,capacity_insert,25,0,478,"[171, 129, 178]",-0.0003277201612945646,0.0017233043909072876,0.011167152784764767
4004,critic,capacity_insert,17,0,484,,0.0,0.004027864895761013,0.014260542578995228
4004,actor,scheduled_batch_boundary,24,0,454,"[165, 122, 167]",0.0,0.001822225283831358,0.011167152784764767
4062,critic,capacity_insert,9,0,493,,0.0,0.004067736677825451,0.015095457434654236
4174,critic,capacity_insert,9,12,500,,0.0,0.004123295191675425,0.01589253544807434
4220,actor,capacity_insert,25,0,490,"[179, 132, 179]",-0.0009152886341325939,0.0016471844865009189,0.011127416044473648
4220,critic,capacity_insert,12,4,500,,0.0,0.004133834969252348,0.015392565168440342
4274,actor,capacity_insert,25,0,492,"[186, 129, 177]",-0.000499964808113873,0.001704021473415196,0.011627395637333393
4274,critic,capacity_insert,7,0,496,,0.0,0.004213591571897268,0.014907651580870152
4298,critic,capacity_insert,4,0,497,,0.0,0.004252394661307335,0.014907651580870152
4332,actor,capacity_insert,25,0,476,"[178, 126, 172]",-0.0004777834110427648,0.0017521297559142113,0.01063515804708004
4366,critic,capacity_insert,25,0,483,,0.0,0.004466428887099028,0.015279704704880714
4432,actor,capacity_insert,25,0,497,"[188, 135, 174]",-0.0004951112205162644,0.001684906193986535,0.011212032288312912
4476,actor,capacity_insert,25,0,490,"[183, 135, 172]",-0.0004995100316591561,0.0017097479430958629,0.010712070390582085
4476,critic,capacity_insert,17,0,484,,0.0,0.004604822024703026,0.015535403974354267
4530,actor,capacity_insert,25,0,489,"[185, 133, 171]",-0.0004887079121544957,0.0017206680495291948,0.01021210290491581
4584,actor,capacity_insert,25,0,493,"[176, 141, 176]",-0.0004984773695468903,0.0017418720526620746,0.010712013579905033
4608,critic,capacity_insert,23,0,483,,0.0,0.004864630289375782,0.016195012256503105
4652,actor,capacity_insert,25,0,481,"[177, 137, 167]",-0.00037197343772277236,0.0017830227734521031,0.010909061878919601
4772,actor,capacity_insert,49,0,498,"[179, 151, 168]",-0.00037136548780836165,0.0017579712439328432,0.010531949810683727
4772,critic,capacity_insert,28,4,500,,0.0,0.0048492406494915485,0.01729545183479786
4816,actor,capacity_insert,25,0,489,"[173, 154, 162]",-0.0004998798831366003,0.0018031744984909892,0.011031928472220898
4816,critic,capacity_insert,14,0,496,,0.0,0.004997600335627794,0.017136450856924057
4864,critic,capacity_insert,5,2,500,,0.0,0.005012026056647301,0.017136450856924057
4920,actor,capacity_insert,25,0,493,"[174, 151, 168]",-0.00031938357278704643,0.001830666558817029,0.012523404322564602
4920,critic,capacity_insert,25,0,490,,0.0,0.005161159671843052,0.01693914830684662
