global_step,update,rollout_start_step,learning_rate,rollout_steps,minibatch_size,minibatch_updates,update_epochs_run,stopped_on_target_kl,policy_loss,value_loss,entropy,approx_kl,clip_fraction,grad_norm,advantage_mean,advantage_std,value_target_mean,explained_variance
2048,1,0,0.0003,2048,64,320,10,False,-0.005636620177392615,130.3265308380127,1.092986024916172,0.005721565199200996,0.075341796875,0.9897890774765983,-16.193008422851562,2.187378406524658,-16.089191436767578,0.012637913227081299
4096,2,2048,0.000295904,2048,64,320,10,False,-0.004963382048299536,128.7947067975998,1.08167189322412,0.004092068542377092,0.035595703125,0.9689285646658391,-16.095727920532227,2.193223476409912,-16.50278091430664,0.031805992126464844
6144,3,4096,0.00029180799999999995,2048,64,320,10,False,-0.0027375275232770944,126.2728594303131,1.0622069083154202,0.003827021349570714,0.00986328125,1.0745881497161462,-15.934765815734863,2.2005558013916016,-17.094289779663086,0.102292001247406
8192,4,6144,0.00028771199999999997,2048,64,320,10,False,-0.005974800411786418,122.82092304229737,1.04034507535398,0.005547204837785103,0.06357421875,1.0667337077669798,-15.667750358581543,2.5086965560913086,-17.446752548217773,0.12238574028015137
10240,5,8192,0.000283616,2048,64,320,10,False,-0.005892870548996143,118.50262320041656,1.031267398968339,0.005475739270332269,0.06513671875,1.1589887083042414,-15.32650089263916,2.846709966659546,-17.767250061035156,0.16373759508132935
12288,6,10240,0.00027951999999999995,2048,64,320,10,False,-0.002267290982126724,114.15328743457795,1.0172172280028462,0.0030212739220587537,0.0119140625,1.3252503662835806,-14.961197853088379,3.21269154548645,-17.75522232055664,0.1421833634376526
14336,7,12288,0.00027542399999999997,2048,64,320,10,False,-0.004359672612918075,115.35061454772949,1.0261180941015482,0.0034734864515485243,0.015771484375,1.2877304659923539,-15.094890594482422,2.9603726863861084,-18.584243774414062,0.1953086256980896
16384,8,14336,0.000271328,2048,64,320,10,False,-0.005393583222758025,108.23631222248078,1.0007437532767653,0.006834484901628457,0.081103515625,1.3300000440794975,-14.512243270874023,3.397587299346924,-18.38704490661621,0.27126824855804443
18432,9,16384,0.00026723199999999995,2048,64,320,10,False,-0.005384616358787753,107.33454296588897,0.976614611968398,0.006794235977577045,0.065625,1.7721963618882,-14.41115951538086,3.552476406097412,-18.77410125732422,0.20418208837509155
20480,10,18432,0.00026313599999999997,2048,64,320,10,False,-0.00454701948328875,100.84202075004578,0.9416271395981312,0.005362840802990832,0.03427734375,1.7994663762394338,-13.906654357910156,3.704291582107544,-18.79934310913086,0.3248910903930664
22528,11,20480,0.00025903999999999993,2048,64,320,10,False,-0.004162178430124186,96.03438189029694,0.9045644886791706,0.0030935342831071464,0.0236328125,2.030783679103479,-13.437439918518066,4.093258857727051,-18.69053840637207,0.27109503746032715
24576,12,22528,0.00025494399999999995,2048,64,320,10,False,-0.007075782917672769,97.34888551235198,0.8872750191017985,0.004453932365868241,0.050390625,2.343924359465018,-13.584857940673828,3.9300782680511475,-18.864566802978516,0.3083687424659729
26624,13,24576,0.00025084799999999997,2048,64,320,10,False,-0.006255139256245457,93.46011695861816,0.8712154371663928,0.005329704040195793,0.055224609375,2.27874905904755,-13.257341384887695,4.0394606590271,-19.09571647644043,0.32756996154785156
28672,14,26624,0.000246752,2048,64,320,10,False,-0.005078236457484309,88.67019374370575,0.8451827047392726,0.00488756193080917,0.04541015625,2.1447892778087407,-12.81895637512207,4.244665622711182,-19.045917510986328,0.3690500855445862
30720,15,28672,0.00024265599999999998,2048,64,320,10,False,-0.00595585020200815,91.46534492969514,0.8069434167817235,0.004710914657334797,0.04326171875,3.434425775380805,-13.049434661865234,4.208803653717041,-19.693618774414062,0.3039097189903259
32768,16,30720,0.00023856,2048,64,320,10,False,-0.0047587376800947824,87.15018019676208,0.7944390816614032,0.004071107675554231,0.038232421875,2.8990070450585335,-12.699337005615234,4.238758563995361,-19.8222599029541,0.39092713594436646
34816,17,32768,0.00023446399999999996,2048,64,320,10,False,-0.00439550284500001,81.3878458738327,0.7459106700494885,0.0037783082108944653,0.02919921875,2.9530345337465405,-12.115972518920898,4.546792030334473,-19.47236442565918,0.37089216709136963
36864,18,34816,0.00023036799999999997,2048,64,320,10,False,-0.0017688556050416081,76.94769668579102,0.7119656536728144,0.0013816809485433623,0.006298828125,3.1682088666129857,-11.646300315856934,4.771954536437988,-19.41461944580078,0.3612116575241089
38912,19,36864,0.000226272,2048,64,320,10,False,-0.004181513769435696,81.72460329532623,0.7104461822658777,0.0029896366904722527,0.025146484375,3.336503437720239,-12.171406745910645,4.47583532333374,-20.036819458007812,0.39831602573394775
40960,20,38912,0.000222176,2048,64,320,10,False,-0.002989007478754502,77.88877160549164,0.6612962214276195,0.001749679635395296,0.018896484375,3.529359495267272,-11.772374153137207,4.665144920349121,-20.03628158569336,0.39240074157714844
43008,21,40960,0.00021807999999999997,2048,64,320,10,False,-0.005502625962981256,78.42300117015839,0.6290204893797636,0.003415607419447042,0.0380859375,3.483813095325604,-11.79656982421875,4.718038558959961,-20.093433380126953,0.3770334720611572
45056,22,43008,0.000213984,2048,64,320,10,False,-0.002088353373983409,71.08243362903595,0.611224315688014,0.0012199154560221359,0.00888671875,3.726944940816611,-11.129448890686035,4.757696151733398,-20.243154525756836,0.45116984844207764
47104,23,45056,0.00020988799999999998,2048,64,320,10,False,-0.0037050100669148377,67.89225435256958,0.5879745743237436,0.002412979325163178,0.021435546875,3.4846517317928374,-10.797978401184082,4.835913181304932,-20.220809936523438,0.46173572540283203
49152,24,47104,0.00020579199999999997,2048,64,320,10,False,-0.002835073824098799,65.1122454881668,0.5757620836608112,0.002010611555306241,0.024658203125,3.82580333231017,-10.481193542480469,4.943012237548828,-20.213924407958984,0.461696982383728
51200,25,49152,0.000201696,2048,64,320,10,False,-0.0035508437023963777,64.6713608622551,0.5751157751306891,0.002793434972409159,0.030419921875,3.729058135859668,-10.438159942626953,4.944112300872803,-20.515247344970703,0.4788832664489746
53248,26,51200,0.0001976,2048,64,320,10,False,-0.0017451683699619025,71.11985043287277,0.5354299297556281,0.001966766023542732,0.018212890625,4.592598132602871,-11.188788414001465,4.623836517333984,-21.110572814941406,0.4958302974700928
55296,27,53248,0.00019350399999999997,2048,64,320,10,False,-0.0045495738231693394,71.46855542659759,0.4902794107794762,0.0028929643653100357,0.0357421875,4.632681524939835,-11.174236297607422,4.731090545654297,-21.041616439819336,0.45898348093032837
57344,28,55296,0.00018940799999999996,2048,64,320,10,False,-0.002218447127961554,66.70521658658981,0.5097798408940435,0.001520938304020092,0.016357421875,5.007989751920104,-10.669809341430664,4.866068363189697,-21.14500617980957,0.4845561385154724
59392,29,57344,0.00018531199999999998,2048,64,320,10,False,-0.0026207079266896472,64.21775223016739,0.5265030913054943,0.0019187050027539953,0.022021484375,5.033976988680661,-10.330842971801758,5.069764137268066,-21.154796600341797,0.4654947519302368
61440,30,59392,0.000181216,2048,64,320,10,False,-0.002626286164741032,63.837882578372955,0.5141844806261361,0.0015782287227921188,0.016259765625,4.898472245503217,-10.371312141418457,4.910973072052002,-21.59743881225586,0.5083119869232178
63488,31,61440,0.00017711999999999998,2048,64,320,10,False,-0.0019101404221146367,61.453371179103854,0.5164202977903187,0.001157180464360863,0.0083984375,4.617134895082563,-10.093253135681152,4.994887351989746,-21.78595542907715,0.5210524797439575
65536,32,63488,0.000173024,2048,64,320,10,False,-0.004716561898385407,61.850522899627684,0.5117514446377754,0.002435585393686779,0.0314453125,5.159340806864202,-10.101981163024902,5.0579514503479,-22.323055267333984,0.5219464302062988
67584,33,65536,0.000168928,2048,64,320,10,False,-0.00448998373321956,57.15904660224915,0.483118044398725,0.00257350992760621,0.03603515625,5.3975201128050685,-9.63062858581543,5.032195568084717,-22.353748321533203,0.556764543056488
69632,34,67584,0.00016483199999999996,2048,64,320,10,False,-0.0024516447869245895,55.75412122011185,0.46861743126064537,0.001435739576118067,0.014306640625,5.4618453262373805,-9.449992179870605,5.08397912979126,-22.366559982299805,0.5603765249252319
71680,35,69632,0.00016073599999999997,2048,64,320,10,False,-0.0037090018653543667,52.92236230373383,0.48873792346566913,0.003622245998121798,0.046533203125,5.396293766237795,-9.171226501464844,5.029052734375,-22.77037811279297,0.5985373258590698
73728,36,71680,0.00015664,2048,64,320,10,False,-0.001691548827511724,55.666340065002444,0.4615286339074373,0.0009010319947265089,0.005712890625,6.088163763098419,-9.440896987915039,5.085317134857178,-22.76969337463379,0.5749372243881226
75776,37,73728,0.000152544,2048,64,320,10,False,-0.0026970106257067526,53.22262052297592,0.4553713142871857,0.0010370276286266744,0.008642578125,6.4299018159508705,-9.039594650268555,5.314568996429443,-22.79799461364746,0.5487158298492432
77824,38,75776,0.00014844799999999997,2048,64,320,10,False,-0.001223497304454213,52.52155293226242,0.4699902242049575,0.0010308766242815182,0.006591796875,6.234801232069731,-9.094934463500977,5.0835490226745605,-23.31833839416504,0.6045396327972412
79872,39,77824,0.000144352,2048,64,320,10,False,-0.001745332773134578,49.3792181968689,0.4669599122367799,0.00100774799939245,0.008642578125,6.067826887778938,-8.79000473022461,4.990384578704834,-23.43370819091797,0.6404810547828674
81920,40,79872,0.000140256,2048,64,320,10,False,-0.0035086297313682733,52.41376631259918,0.4332461662590504,0.0020653639745432883,0.024609375,6.934335595183074,-9.041559219360352,5.154198169708252,-23.639005661010742,0.5981793403625488
83968,41,81920,0.00013615999999999997,2048,64,320,10,False,-0.005542483795579756,47.78414877653122,0.4396596961654723,0.0030925630358979105,0.04765625,6.628959447145462,-8.47469425201416,5.197010517120361,-23.976408004760742,0.6238539218902588
86016,42,83968,0.000132064,2048,64,320,10,False,-0.0014546889447956345,50.29826948642731,0.4623283396475017,0.0007927184866275639,0.005859375,6.8147902972996235,-8.772956848144531,5.196557521820068,-24.027658462524414,0.6096985340118408
88064,43,86016,0.000127968,2048,64,320,10,False,-0.003940555833469262,47.150390005111696,0.4592747279442847,0.0016022730967961251,0.0189453125,7.116356790810824,-8.542268753051758,4.9618635177612305,-24.06627655029297,0.6631090641021729
90112,44,88064,0.000123872,2048,64,320,10,False,-0.003950495296157897,41.499858021736145,0.4912305386736989,0.002600374867324717,0.030029296875,6.237110710889101,-7.543818473815918,5.395439147949219,-24.373037338256836,0.6536237001419067
92160,45,90112,0.000119776,2048,64,320,10,False,-0.003363504602748435,45.50899599790573,0.46274581728503106,0.0019008465111255645,0.01943359375,7.868487630411982,-8.11141586303711,5.325412750244141,-24.692419052124023,0.6421167850494385
