global_step,update,rollout_start_step,learning_rate,rollout_steps,minibatch_size,minibatch_updates,update_epochs_run,stopped_on_target_kl,policy_loss,value_loss,entropy,approx_kl,clip_fraction,grad_norm,advantage_mean,advantage_std,value_target_mean,explained_variance
2048,1,0,0.0003,2048,64,320,10,False,-0.0072592576194438155,0.07125226340722293,1.7807903941720724,0.011458247367409058,0.109326171875,0.7997902856208384,-0.3294971287250519,0.32363781332969666,-0.4559871256351471,0.03859370946884155
4096,2,2048,0.0002993856,2048,64,320,10,False,-0.006047856752411462,0.06317229170817881,1.776497521996498,0.011739091674098746,0.1048828125,0.583133248379454,-0.2688537836074829,0.3457111716270447,-0.5893086194992065,0.0971251130104065
6144,3,4096,0.0002987712,2048,64,320,10,False,-0.0016208339133299888,0.05560936358524486,1.7856412176042795,0.004866155848139897,0.0244140625,0.37166316802613436,-0.29127267003059387,0.31846219301223755,-0.8196386098861694,0.1618577241897583
8192,4,6144,0.00029815679999999994,2048,64,320,10,False,-0.003904586090357043,0.05424179018009454,1.7870831184089184,0.0069335740263340995,0.04443359375,0.3134525062981993,-0.24416294693946838,0.3280127942562103,-0.8898651003837585,0.2379823923110962
10240,5,8192,0.0002975424,2048,64,320,10,False,-0.006036897425656207,0.04501291909837164,1.7815972968935967,0.00978047574753873,0.076416015625,0.34279869312886146,-0.24151983857154846,0.3118647634983063,-1.042910099029541,0.5410259366035461
12288,6,10240,0.00029692799999999996,2048,64,320,10,False,-0.003396521825925447,0.04141988204792142,1.7718788757920265,0.006294742424506694,0.047802734375,0.4071187558118254,-0.17552685737609863,0.3137654960155487,-1.1670472621917725,0.5925483703613281
14336,7,12288,0.00029631359999999997,2048,64,320,10,False,-0.002681634941836819,0.03985488238395192,1.7771102502942084,0.008120095846243203,0.03505859375,0.4004600846441463,-0.06804416328668594,0.3221372663974762,-1.2581007480621338,0.5484068393707275
16384,8,14336,0.0002956992,2048,64,320,10,False,-0.0024246289118309504,0.02181097436696291,1.751799664273858,0.006002105836523696,0.04697265625,0.4549122013617307,-0.19193071126937866,0.22729331254959106,-1.4159857034683228,0.7481410503387451
18432,9,16384,0.0002950848,2048,64,320,10,False,-0.004854920259094797,0.023791685365722515,1.7739321544766427,0.008573805564083159,0.058837890625,0.39523916142061355,-0.11732536554336548,0.24977825582027435,-1.5208384990692139,0.7521555423736572
20480,10,18432,0.0002944704,2048,64,320,10,False,-0.0038432806453783997,0.028374906588578597,1.7859228920191526,0.007896848081145436,0.037255859375,0.3726287237368524,-0.08450557291507721,0.2667379677295685,-1.6366181373596191,0.7729811668395996
22528,11,20480,0.00029385599999999995,2048,64,320,10,False,-0.009796334840939381,0.030379976422409527,1.7753171909600496,0.008534584584413096,0.117431640625,0.42371857361868026,-0.08114936947822571,0.28775554895401,-1.6578577756881714,0.8083890676498413
24576,12,22528,0.00029324159999999995,2048,64,320,10,False,-0.0018948361903312616,0.019626785625587218,1.7543709386140107,0.0051398202573182065,0.02939453125,0.46204040488228204,-0.09495413303375244,0.22982579469680786,-1.8029810190200806,0.8261764645576477
26624,13,24576,0.00029262719999999996,2048,64,320,10,False,-0.007375074960873462,0.02207390401745215,1.7269762217998506,0.010025784658500925,0.093310546875,0.5037627414334566,-0.06611382216215134,0.23965203762054443,-1.8022630214691162,0.852143406867981
28672,14,26624,0.00029201279999999997,2048,64,320,10,False,-0.0037798331148223953,0.020730447143432685,1.6715393573045731,0.009775867051212117,0.0595703125,0.5753727300092578,-0.03438550606369972,0.2304735779762268,-1.8002578020095825,0.8540557622909546
30720,15,28672,0.0002913984,2048,64,320,10,False,-0.0009845602136920207,0.01941243923793081,1.652128144726157,0.004563687095651403,0.036279296875,0.6164574990049004,-0.060903400182724,0.23924502730369568,-1.870323657989502,0.8539748191833496
32768,16,30720,0.000290784,2048,64,320,10,False,-0.003949515323620289,0.01469098880625097,1.6852086447179317,0.011152451400994324,0.0900390625,0.6088456406258047,-0.08708275109529495,0.19739075005054474,-1.9174038171768188,0.8907687664031982
34816,17,32768,0.0002901696,2048,64,320,10,False,-0.002637135035183746,0.015649212298740167,1.7050122238695622,0.005213446760899387,0.0435546875,0.5173441983759404,-0.038808830082416534,0.21328286826610565,-1.8900611400604248,0.9281253814697266
36864,18,34816,0.0002895552,2048,64,320,10,False,-0.003742055872862693,0.018975921496166847,1.6717015791684389,0.008569014692329801,0.0646484375,0.5814444876741618,-0.014517546631395817,0.23294757306575775,-2.0014984607696533,0.8767066597938538
38912,19,36864,0.00028894079999999996,2048,64,320,10,False,-0.003998920872982125,0.01297302704770118,1.6140964321792126,0.0072311061550863085,0.05361328125,0.6219083813950419,-0.05541560798883438,0.18777894973754883,-1.9627165794372559,0.9217360019683838
40960,20,38912,0.00028832639999999996,2048,64,320,10,False,-0.006489803413569461,0.027702919868170285,1.5540571846067905,0.010669946687994526,0.089990234375,0.6794187140185386,0.055234961211681366,0.281537264585495,-1.88329017162323,0.8710278272628784
43008,21,40960,0.00028771199999999997,2048,64,320,10,False,-0.002028106745274272,0.020965030539082365,1.6128346499055624,0.00641157446661964,0.039599609375,0.6218032334931195,-0.025415444746613503,0.25289294123649597,-1.938256025314331,0.8771562576293945
