global_step,episode,episode_return,episode_length,update,learning_rate,policy_loss,value_loss,entropy,approx_kl
1062,1,-20.0,1062,0,0.0003,,,,
1945,2,-21.0,883,0,0.0003,,,,
2837,3,-20.0,892,1,0.0002993856,-0.0072592576194438155,0.07125226340722293,1.7807903941720724,0.011458247367409058
3853,4,-20.0,1016,1,0.0002993856,-0.0072592576194438155,0.07125226340722293,1.7807903941720724,0.011458247367409058
4724,5,-20.0,871,2,0.0002987712,-0.006047856752411462,0.06317229170817881,1.776497521996498,0.011739091674098746
5739,6,-20.0,1015,2,0.0002987712,-0.006047856752411462,0.06317229170817881,1.776497521996498,0.011739091674098746
6638,7,-21.0,899,3,0.00029815679999999994,-0.0016208339133299888,0.05560936358524486,1.7856412176042795,0.004866155848139897
7487,8,-21.0,849,3,0.00029815679999999994,-0.0016208339133299888,0.05560936358524486,1.7856412176042795,0.004866155848139897
8418,9,-19.0,931,4,0.0002975424,-0.003904586090357043,0.05424179018009454,1.7870831184089184,0.0069335740263340995
9333,10,-20.0,915,4,0.0002975424,-0.003904586090357043,0.05424179018009454,1.7870831184089184,0.0069335740263340995
10168,11,-20.0,835,4,0.0002975424,-0.003904586090357043,0.05424179018009454,1.7870831184089184,0.0069335740263340995
11158,12,-18.0,990,5,0.00029692799999999996,-0.006036897425656207,0.04501291909837164,1.7815972968935967,0.00978047574753873
12020,13,-20.0,862,5,0.00029692799999999996,-0.006036897425656207,0.04501291909837164,1.7815972968935967,0.00978047574753873
12843,14,-21.0,823,6,0.00029631359999999997,-0.003396521825925447,0.04141988204792142,1.7718788757920265,0.006294742424506694
14015,15,-18.0,1172,6,0.00029631359999999997,-0.003396521825925447,0.04141988204792142,1.7718788757920265,0.006294742424506694
14956,16,-20.0,941,7,0.0002956992,-0.002681634941836819,0.03985488238395192,1.7771102502942084,0.008120095846243203
15795,17,-21.0,839,7,0.0002956992,-0.002681634941836819,0.03985488238395192,1.7771102502942084,0.008120095846243203
16893,18,-21.0,1098,8,0.0002950848,-0.0024246289118309504,0.02181097436696291,1.751799664273858,0.006002105836523696
17742,19,-21.0,849,8,0.0002950848,-0.0024246289118309504,0.02181097436696291,1.751799664273858,0.006002105836523696
18622,20,-20.0,880,9,0.0002944704,-0.004854920259094797,0.023791685365722515,1.7739321544766427,0.008573805564083159
19413,21,-21.0,791,9,0.0002944704,-0.004854920259094797,0.023791685365722515,1.7739321544766427,0.008573805564083159
20404,22,-19.0,991,9,0.0002944704,-0.004854920259094797,0.023791685365722515,1.7739321544766427,0.008573805564083159
21264,23,-20.0,860,10,0.00029385599999999995,-0.0038432806453783997,0.028374906588578597,1.7859228920191526,0.007896848081145436
22058,24,-21.0,794,10,0.00029385599999999995,-0.0038432806453783997,0.028374906588578597,1.7859228920191526,0.007896848081145436
