global_step,episode,episode_return,episode_length,update,learning_rate,policy_loss,value_loss,entropy,approx_kl
25,1,25.0,25,0,0.0003,,,,
54,2,29.0,29,0,0.0003,,,,
88,3,34.0,34,0,0.0003,,,,
120,4,32.0,32,0,0.0003,,,,
131,5,11.0,11,0,0.0003,,,,
161,6,30.0,30,0,0.0003,,,,
195,7,34.0,34,0,0.0003,,,,
233,8,38.0,38,0,0.0003,,,,
244,9,11.0,11,0,0.0003,,,,
276,10,32.0,32,0,0.0003,,,,
324,11,48.0,48,0,0.0003,,,,
343,12,19.0,19,0,0.0003,,,,
374,13,31.0,31,0,0.0003,,,,
395,14,21.0,21,0,0.0003,,,,
413,15,18.0,18,0,0.0003,,,,
453,16,40.0,40,0,0.0003,,,,
463,17,10.0,10,0,0.0003,,,,
483,18,20.0,20,0,0.0003,,,,
536,19,53.0,53,0,0.0003,,,,
547,20,11.0,11,0,0.0003,,,,
558,21,11.0,11,0,0.0003,,,,
596,22,38.0,38,0,0.0003,,,,
622,23,26.0,26,0,0.0003,,,,
639,24,17.0,17,0,0.0003,,,,
649,25,10.0,10,0,0.0003,,,,
672,26,23.0,23,0,0.0003,,,,
734,27,62.0,62,0,0.0003,,,,
763,28,29.0,29,0,0.0003,,,,
782,29,19.0,19,0,0.0003,,,,
796,30,14.0,14,0,0.0003,,,,
806,31,10.0,10,0,0.0003,,,,
846,32,40.0,40,0,0.0003,,,,
888,33,42.0,42,0,0.0003,,,,
918,34,30.0,30,0,0.0003,,,,
938,35,20.0,20,0,0.0003,,,,
950,36,12.0,12,0,0.0003,,,,
971,37,21.0,21,0,0.0003,,,,
991,38,20.0,20,0,0.0003,,,,
1011,39,20.0,20,0,0.0003,,,,
1036,40,25.0,25,0,0.0003,,,,
1058,41,22.0,22,0,0.0003,,,,
1083,42,25.0,25,0,0.0003,,,,
1113,43,30.0,30,0,0.0003,,,,
1166,44,53.0,53,0,0.0003,,,,
1185,45,19.0,19,0,0.0003,,,,
1203,46,18.0,18,0,0.0003,,,,
1245,47,42.0,42,0,0.0003,,,,
1263,48,18.0,18,0,0.0003,,,,
1277,49,14.0,14,0,0.0003,,,,
1295,50,18.0,18,0,0.0003,,,,
1327,51,32.0,32,0,0.0003,,,,
1350,52,23.0,23,0,0.0003,,,,
1371,53,21.0,21,0,0.0003,,,,
1389,54,18.0,18,0,0.0003,,,,
1409,55,20.0,20,0,0.0003,,,,
1450,56,41.0,41,0,0.0003,,,,
1476,57,26.0,26,0,0.0003,,,,
1520,58,44.0,44,0,0.0003,,,,
1532,59,12.0,12,0,0.0003,,,,
1542,60,10.0,10,0,0.0003,,,,
1562,61,20.0,20,0,0.0003,,,,
1580,62,18.0,18,0,0.0003,,,,
1598,63,18.0,18,0,0.0003,,,,
1612,64,14.0,14,0,0.0003,,,,
1626,65,14.0,14,0,0.0003,,,,
1642,66,16.0,16,0,0.0003,,,,
1657,67,15.0,15,0,0.0003,,,,
1676,68,19.0,19,0,0.0003,,,,
1689,69,13.0,13,0,0.0003,,,,
1699,70,10.0,10,0,0.0003,,,,
1711,71,12.0,12,0,0.0003,,,,
1740,72,29.0,29,0,0.0003,,,,
1754,73,14.0,14,0,0.0003,,,,
1782,74,28.0,28,0,0.0003,,,,
1799,75,17.0,17,0,0.0003,,,,
1821,76,22.0,22,0,0.0003,,,,
1850,77,29.0,29,0,0.0003,,,,
1871,78,21.0,21,0,0.0003,,,,
1935,79,64.0,64,0,0.0003,,,,
1951,80,16.0,16,0,0.0003,,,,
1961,81,10.0,10,0,0.0003,,,,
1973,82,12.0,12,0,0.0003,,,,
1994,83,21.0,21,0,0.0003,,,,
2028,84,34.0,34,0,0.0003,,,,
2047,85,19.0,19,0,0.0003,,,,
2117,86,70.0,70,1,0.000295904,-0.02164845617953688,46.52249433994293,0.6852907795459032,0.008181101891386789
2191,87,74.0,74,1,0.000295904,-0.02164845617953688,46.52249433994293,0.6852907795459032,0.008181101891386789
2210,88,19.0,19,1,0.000295904,-0.02164845617953688,46.52249433994293,0.6852907795459032,0.008181101891386789
2245,89,35.0,35,1,0.000295904,-0.02164845617953688,46.52249433994293,0.6852907795459032,0.008181101891386789
2300,90,55.0,55,1,0.000295904,-0.02164845617953688,46.52249433994293,0.6852907795459032,0.008181101891386789
2332,91,32.0,32,1,0.000295904,-0.02164845617953688,46.52249433994293,0.6852907795459032,0.008181101891386789
2379,92,47.0,47,1,0.000295904,-0.02164845617953688,46.52249433994293,0.6852907795459032,0.008181101891386789
2393,93,14.0,14,1,0.000295904,-0.02164845617953688,46.52249433994293,0.6852907795459032,0.008181101891386789
2410,94,17.0,17,1,0.000295904,-0.02164845617953688,46.52249433994293,0.6852907795459032,0.008181101891386789
2424,95,14.0,14,1,0.000295904,-0.02164845617953688,46.52249433994293,0.6852907795459032,0.008181101891386789
2446,96,22.0,22,1,0.000295904,-0.02164845617953688,46.52249433994293,0.6852907795459032,0.008181101891386789
2513,97,67.0,67,1,0.000295904,-0.02164845617953688,46.52249433994293,0.6852907795459032,0.008181101891386789
2555,98,42.0,42,1,0.000295904,-0.02164845617953688,46.52249433994293,0.6852907795459032,0.008181101891386789
2598,99,43.0,43,1,0.000295904,-0.02164845617953688,46.52249433994293,0.6852907795459032,0.008181101891386789
2673,100,75.0,75,1,0.000295904,-0.02164845617953688,46.52249433994293,0.6852907795459032,0.008181101891386789
2731,101,58.0,58,1,0.000295904,-0.02164845617953688,46.52249433994293,0.6852907795459032,0.008181101891386789
2749,102,18.0,18,1,0.000295904,-0.02164845617953688,46.52249433994293,0.6852907795459032,0.008181101891386789
2794,103,45.0,45,1,0.000295904,-0.02164845617953688,46.52249433994293,0.6852907795459032,0.008181101891386789
