global_step,update,rollout_start_step,learning_rate,rollout_steps,minibatch_size,minibatch_updates,update_epochs_run,stopped_on_target_kl,policy_loss,value_loss,entropy,approx_kl,clip_fraction,grad_norm,advantage_mean,advantage_std,value_target_mean,explained_variance
2048,1,0,0.0003,2048,64,320,10,False,-0.008208632465539267,1030.347661781311,2.857913629710674,0.004379271407378838,0.0474609375,4.352267534844577,-32.70642852783203,31.682754516601562,-32.59332275390625,0.003694772720336914
4096,2,2048,0.000295904,2048,64,320,10,False,-0.004291155793180223,1641.6277570724487,2.8811442725360394,0.0036539681866997855,0.03955078125,6.652755219023675,-43.18772888183594,37.87928771972656,-43.180274963378906,0.0030698180198669434
6144,3,4096,0.00029180799999999995,2048,64,320,10,False,-0.006693703809287399,881.9340706825257,2.8874300830066204,0.004207679216051474,0.05,4.596113729011267,-27.529462814331055,31.885038375854492,-27.910259246826172,0.009036779403686523
8192,4,6144,0.00028771199999999997,2048,64,320,10,False,-0.0061220515948662065,847.1649607658386,2.903958327323198,0.004961753074894659,0.05947265625,5.291518158279359,-28.973636627197266,29.429080963134766,-29.587055206298828,0.008659720420837402
10240,5,8192,0.000283616,2048,64,320,10,False,-0.00667955798417097,556.4335490226746,2.913397404551506,0.002930689655477181,0.02646484375,4.804328211955726,-17.265771865844727,28.661483764648438,-17.994157791137695,0.009837865829467773
12288,6,10240,0.00027951999999999995,2048,64,320,10,False,-0.00906524610327324,319.4025070667267,2.9182680249214172,0.005224262797855772,0.0658203125,3.9396374380216,-14.865241050720215,20.581378936767578,-15.811604499816895,0.01127314567565918
14336,7,12288,0.00027542399999999997,2048,64,320,10,False,-0.0040677764583961105,337.3677203655243,2.9202967137098312,0.00334403952001594,0.034228515625,5.09599331151694,-11.968082427978516,23.158584594726562,-13.14925479888916,0.011176884174346924
16384,8,14336,0.000271328,2048,64,320,10,False,-0.0022966314318182413,328.31715552806855,2.9123001880943775,0.0017209746321896092,0.01220703125,6.151982914842665,-10.369596481323242,23.52994728088379,-11.753815650939941,0.02302640676498413
18432,9,16384,0.00026723199999999995,2048,64,320,10,False,-0.008188870345475153,267.5240929603577,2.907905673980713,0.0031699124345323073,0.03037109375,3.908559036068618,-7.578535556793213,21.946456909179688,-9.053329467773438,0.03767240047454834
20480,10,18432,0.00026313599999999997,2048,64,320,10,False,-0.007664617625414394,281.0297481060028,2.917870906740427,0.004217654356034472,0.04609375,5.696659928187728,-7.9888596534729,22.41255760192871,-9.579940795898438,0.056806862354278564
22528,11,20480,0.00025903999999999993,2048,64,320,10,False,-0.006474041270848829,177.54047286510468,2.9201888106763363,0.003246547852177173,0.038623046875,5.45045255869627,-3.1400558948516846,18.651147842407227,-6.2053704261779785,0.0531734824180603
24576,12,22528,0.00025494399999999995,2048,64,320,10,False,-0.012017950091103558,203.9312339425087,2.9197706304490567,0.005291929180384613,0.06298828125,5.943240366503597,-4.359653472900391,19.789106369018555,-7.232049942016602,0.07202833890914917
26624,13,24576,0.00025084799999999997,2048,64,320,10,False,-0.0040047611895715814,99.95450832843781,2.9243874467909334,0.004417310564895161,0.049853515625,4.237401300109923,0.4313088655471802,14.215216636657715,-3.057950973510742,0.128991961479187
28672,14,26624,0.000246752,2048,64,320,10,False,-0.0069278534050681625,161.566661965847,2.9261865839362144,0.005321783863473683,0.062548828125,4.172941267304123,-1.5574578046798706,17.992006301879883,-4.893213272094727,0.10459613800048828
30720,15,28672,0.00024265599999999998,2048,64,320,10,False,-0.003366078245016979,143.0323670744896,2.9191983491182327,0.003132591376197524,0.031884765625,4.432021939754486,-2.8526346683502197,16.755739212036133,-6.521322250366211,0.07458126544952393
32768,16,30720,0.00023856,2048,64,320,10,False,-0.005864384431333747,59.49014285802841,2.9158025778830052,0.005150087879155762,0.062890625,3.1001590590924026,0.9316740036010742,10.971360206604004,-4.400108337402344,0.24235773086547852
34816,17,32768,0.00023446399999999996,2048,64,320,10,False,-0.010560435395018431,53.1185819208622,2.9161446571350096,0.0073707074334379286,0.09560546875,3.020281090401113,1.6500747203826904,10.275734901428223,-3.691432476043701,0.28564465045928955
36864,18,34816,0.00023036799999999997,2048,64,320,10,False,-0.005560666410019621,33.442660075426105,2.9056163273751734,0.005335624032886699,0.062255859375,2.600295889377594,1.933076024055481,8.078754425048828,-4.382217884063721,0.4286777973175049
38912,19,36864,0.000226272,2048,64,320,10,False,-0.007715894059947459,52.379620116949084,2.8942848980426787,0.0038919093320146205,0.040966796875,3.935497958958149,1.3821662664413452,10.213573455810547,-2.4219086170196533,0.2682715654373169
40960,20,38912,0.000222176,2048,64,320,10,False,-0.0053107558604096996,26.97857093513012,2.8872468516230585,0.0055407350417226555,0.067578125,2.255599407106638,2.0434415340423584,7.176435947418213,-3.9411191940307617,0.4847015142440796
43008,21,40960,0.00021807999999999997,2048,64,320,10,False,-0.006017728921142407,25.43877319395542,2.8876026414334772,0.0067306157638086,0.085107421875,2.473638349212706,1.4194886684417725,7.079790115356445,-4.212275981903076,0.42393583059310913
45056,22,43008,0.000213984,2048,64,320,10,False,-0.0054878951865248386,18.834271544218062,2.898968678712845,0.004714243303169496,0.0544921875,1.932193979434669,2.36377215385437,5.769556522369385,-3.6401259899139404,0.579674243927002
47104,23,45056,0.00020988799999999998,2048,64,320,10,False,-0.005504430910514202,37.65647902786732,2.894707444310188,0.006100131469429471,0.081787109375,2.7842485941946507,1.3744014501571655,8.65561580657959,-4.3493828773498535,0.41394853591918945
49152,24,47104,0.00020579199999999997,2048,64,320,10,False,-0.006775655421370175,16.966027328372,2.8911046013236046,0.005261815196718089,0.065625,2.27848801035434,2.2119367122650146,5.492084980010986,-3.3780295848846436,0.6270209550857544
51200,25,49152,0.000201696,2048,64,320,10,False,-0.009447273964178748,16.425835414230825,2.884124632924795,0.006520201044622809,0.086279296875,2.035682708770037,2.3808274269104004,5.30835485458374,-3.618509292602539,0.6398965120315552
53248,26,51200,0.0001976,2048,64,320,10,False,-0.0051280793122714385,32.217305053770545,2.8884453691542147,0.0048452331247972324,0.05283203125,2.554350193962455,0.4564685821533203,8.071404457092285,-4.702301025390625,0.3092224597930908
55296,27,53248,0.00019350399999999997,2048,64,320,10,False,-0.005147069154190831,11.306851655244827,2.892671412974596,0.0045512421667808665,0.05556640625,2.071310857124627,1.7002525329589844,4.522136688232422,-3.456437587738037,0.6743344068527222
57344,28,55296,0.00018940799999999996,2048,64,320,10,False,-0.0044185679871588945,9.18935864791274,2.875495457649231,0.003612159809563309,0.0322265625,2.134484180994332,0.7808431386947632,4.2864909172058105,-2.324615955352783,0.5036449432373047
59392,29,57344,0.00018531199999999998,2048,64,320,10,False,-0.006883622237364761,18.621538177132607,2.8529510363936423,0.003901894486625679,0.04384765625,2.4972555385902524,1.4154279232025146,6.002800941467285,-1.7504180669784546,0.5072970390319824
