global_step,episode,episode_return,episode_length,update,learning_rate,policy_loss,value_loss,entropy,approx_kl
16,1,1.0,16,0,0.0003,,,,
22,2,0.0,6,0,0.0003,,,,
28,3,0.0,6,0,0.0003,,,,
34,4,0.0,6,0,0.0003,,,,
50,5,1.0,16,0,0.0003,,,,
56,6,0.0,6,0,0.0003,,,,
72,7,1.0,16,0,0.0003,,,,
78,8,0.0,6,0,0.0003,,,,
94,9,1.0,16,0,0.0003,,,,
100,10,0.0,6,0,0.0003,,,,
106,11,0.0,6,0,0.0003,,,,
112,12,0.0,6,0,0.0003,,,,
140,13,2.0,28,0,0.0003,,,,
146,14,0.0,6,0,0.0003,,,,
162,15,1.0,16,0,0.0003,,,,
168,16,0.0,6,0,0.0003,,,,
184,17,1.0,16,0,0.0003,,,,
190,18,0.0,6,0,0.0003,,,,
206,19,1.0,16,0,0.0003,,,,
212,20,0.0,6,0,0.0003,,,,
218,21,0.0,6,0,0.0003,,,,
224,22,0.0,6,0,0.0003,,,,
240,23,1.0,16,0,0.0003,,,,
246,24,0.0,6,0,0.0003,,,,
252,25,0.0,6,0,0.0003,,,,
258,26,0.0,6,0,0.0003,,,,
264,27,0.0,6,0,0.0003,,,,
270,28,0.0,6,0,0.0003,,,,
276,29,0.0,6,0,0.0003,,,,
282,30,0.0,6,0,0.0003,,,,
310,31,2.0,28,0,0.0003,,,,
326,32,1.0,16,0,0.0003,,,,
332,33,0.0,6,0,0.0003,,,,
338,34,0.0,6,0,0.0003,,,,
344,35,0.0,6,0,0.0003,,,,
350,36,0.0,6,0,0.0003,,,,
356,37,0.0,6,0,0.0003,,,,
362,38,0.0,6,0,0.0003,,,,
368,39,0.0,6,0,0.0003,,,,
374,40,0.0,6,0,0.0003,,,,
390,41,1.0,16,0,0.0003,,,,
396,42,0.0,6,0,0.0003,,,,
412,43,1.0,16,0,0.0003,,,,
428,44,1.0,16,0,0.0003,,,,
444,45,1.0,16,0,0.0003,,,,
450,46,0.0,6,0,0.0003,,,,
456,47,0.0,6,0,0.0003,,,,
462,48,0.0,6,0,0.0003,,,,
468,49,0.0,6,0,0.0003,,,,
474,50,0.0,6,0,0.0003,,,,
480,51,0.0,6,0,0.0003,,,,
496,52,1.0,16,0,0.0003,,,,
502,53,0.0,6,0,0.0003,,,,
518,54,1.0,16,0,0.0003,,,,
524,55,0.0,6,0,0.0003,,,,
530,56,0.0,6,0,0.0003,,,,
546,57,1.0,16,0,0.0003,,,,
574,58,2.0,28,0,0.0003,,,,
600,59,2.0,26,0,0.0003,,,,
606,60,0.0,6,0,0.0003,,,,
612,61,0.0,6,0,0.0003,,,,
628,62,1.0,16,0,0.0003,,,,
634,63,0.0,6,0,0.0003,,,,
650,64,1.0,16,0,0.0003,,,,
688,65,3.0,38,0,0.0003,,,,
694,66,0.0,6,0,0.0003,,,,
700,67,0.0,6,0,0.0003,,,,
706,68,0.0,6,0,0.0003,,,,
722,69,1.0,16,0,0.0003,,,,
728,70,0.0,6,0,0.0003,,,,
744,71,1.0,16,0,0.0003,,,,
760,72,1.0,16,0,0.0003,,,,
776,73,1.0,16,0,0.0003,,,,
782,74,0.0,6,0,0.0003,,,,
788,75,0.0,6,0,0.0003,,,,
794,76,0.0,6,0,0.0003,,,,
800,77,0.0,6,0,0.0003,,,,
816,78,1.0,16,0,0.0003,,,,
832,79,1.0,16,0,0.0003,,,,
838,80,0.0,6,0,0.0003,,,,
854,81,1.0,16,0,0.0003,,,,
860,82,0.0,6,0,0.0003,,,,
866,83,0.0,6,0,0.0003,,,,
872,84,0.0,6,0,0.0003,,,,
888,85,1.0,16,0,0.0003,,,,
916,86,2.0,28,0,0.0003,,,,
942,87,2.0,26,0,0.0003,,,,
958,88,1.0,16,0,0.0003,,,,
964,89,0.0,6,0,0.0003,,,,
970,90,0.0,6,0,0.0003,,,,
976,91,0.0,6,0,0.0003,,,,
992,92,1.0,16,0,0.0003,,,,
998,93,0.0,6,0,0.0003,,,,
1014,94,1.0,16,0,0.0003,,,,
1020,95,0.0,6,0,0.0003,,,,
1026,96,0.0,6,0,0.0003,,,,
1032,97,0.0,6,0,0.0003,,,,
1048,98,1.0,16,0,0.0003,,,,
1064,99,1.0,16,0,0.0003,,,,
1070,100,0.0,6,0,0.0003,,,,
1076,101,0.0,6,0,0.0003,,,,
1082,102,0.0,6,0,0.0003,,,,
1088,103,0.0,6,0,0.0003,,,,
1104,104,1.0,16,0,0.0003,,,,
1110,105,0.0,6,0,0.0003,,,,
1116,106,0.0,6,0,0.0003,,,,
1122,107,0.0,6,0,0.0003,,,,
1128,108,0.0,6,0,0.0003,,,,
1134,109,0.0,6,0,0.0003,,,,
1140,110,0.0,6,0,0.0003,,,,
1146,111,0.0,6,0,0.0003,,,,
1152,112,0.0,6,0,0.0003,,,,
1158,113,0.0,6,0,0.0003,,,,
1174,114,1.0,16,0,0.0003,,,,
1190,115,1.0,16,0,0.0003,,,,
1196,116,0.0,6,0,0.0003,,,,
1202,117,0.0,6,0,0.0003,,,,
1208,118,0.0,6,0,0.0003,,,,
1214,119,0.0,6,0,0.0003,,,,
1220,120,0.0,6,0,0.0003,,,,
1226,121,0.0,6,0,0.0003,,,,
1242,122,1.0,16,0,0.0003,,,,
1248,123,0.0,6,0,0.0003,,,,
1254,124,0.0,6,0,0.0003,,,,
1260,125,0.0,6,0,0.0003,,,,
1266,126,0.0,6,0,0.0003,,,,
1272,127,0.0,6,0,0.0003,,,,
1278,128,0.0,6,0,0.0003,,,,
1284,129,0.0,6,0,0.0003,,,,
1290,130,0.0,6,0,0.0003,,,,
1296,131,0.0,6,0,0.0003,,,,
1302,132,0.0,6,0,0.0003,,,,
1308,133,0.0,6,0,0.0003,,,,
1314,134,0.0,6,0,0.0003,,,,
1320,135,0.0,6,0,0.0003,,,,
1326,136,0.0,6,0,0.0003,,,,
1332,137,0.0,6,0,0.0003,,,,
1338,138,0.0,6,0,0.0003,,,,
1354,139,1.0,16,0,0.0003,,,,
1360,140,0.0,6,0,0.0003,,,,
1376,141,1.0,16,0,0.0003,,,,
1382,142,0.0,6,0,0.0003,,,,
1398,143,1.0,16,0,0.0003,,,,
1404,144,0.0,6,0,0.0003,,,,
1410,145,0.0,6,0,0.0003,,,,
1426,146,1.0,16,0,0.0003,,,,
