global_step,update,rollout_start_step,learning_rate,rollout_steps,minibatch_size,minibatch_updates,update_epochs_run,stopped_on_target_kl,policy_loss,value_loss,entropy,approx_kl,clip_fraction,grad_norm,advantage_mean,advantage_std,value_target_mean,explained_variance
2048,1,0,0.0003,2048,64,320,10,False,-0.002437515731435269,4528.436178588867,1.4012357484549285,0.0030491842975607143,0.023583984375,10.320682870503514,-89.22142791748047,33.61310958862305,-89.17218780517578,-0.004215240478515625
4096,2,2048,0.000295904,2048,64,320,10,False,-0.0014170289025059902,4458.017929077148,1.394051195681095,0.002186054171761498,0.01875,7.941506294580177,-89.8559799194336,29.601516723632812,-90.14630889892578,-0.006089448928833008
6144,3,4096,0.00029180799999999995,2048,64,320,10,False,-0.00212406026548706,4458.5157272338865,1.3977437932044268,0.002570413675857708,0.024560546875,6.137218502094038,-89.05550384521484,31.94818878173828,-89.74258422851562,-0.0008697509765625
8192,4,6144,0.00028771199999999997,2048,64,320,10,False,-0.0027469131266116163,5029.6586837768555,1.3981148265302181,0.002640960167627782,0.02548828125,5.193251373176463,-94.96705627441406,32.829185485839844,-96.1524429321289,-0.0003222227096557617
10240,5,8192,0.000283616,2048,64,320,10,False,-0.0021109099150635304,5052.2117698669435,1.3874858900904656,0.0023149061569711195,0.017529296875,5.205588269326836,-95.75972747802734,31.179468154907227,-97.6147232055664,0.005581915378570557
12288,6,10240,0.00027951999999999995,2048,64,320,10,False,-0.001916658030677354,4283.96569519043,1.373511877655983,0.0026469474221812563,0.025146484375,5.304767110804096,-86.7905502319336,32.703216552734375,-89.30396270751953,0.016057252883911133
14336,7,12288,0.00027542399999999997,2048,64,320,10,False,-0.002612166122708004,4309.562451934815,1.369399829953909,0.002553402303601615,0.024365234375,5.285953665687702,-86.46460723876953,34.3084602355957,-89.7598876953125,0.015707015991210938
16384,8,14336,0.000271328,2048,64,320,10,False,-0.0023174110712716354,4293.770447540283,1.361972524225712,0.0025579412729712205,0.021337890625,4.779231838230044,-88.5980453491211,27.801387786865234,-92.93006896972656,0.01214587688446045
18432,9,16384,0.00026723199999999995,2048,64,320,10,False,-0.004596386705816258,3641.398432922363,1.3433961875736713,0.003706966736353934,0.03779296875,5.778970304434187,-79.3121109008789,31.995227813720703,-84.21898651123047,0.021192729473114014
20480,10,18432,0.00026313599999999997,2048,64,320,10,False,-0.0012103425411623902,4246.676559448242,1.336011715978384,0.0023414798954036085,0.01982421875,5.4913108328124505,-85.93566131591797,33.79889678955078,-91.70791625976562,0.038601040840148926
22528,11,20480,0.00025903999999999993,2048,64,320,10,False,-0.0009449727622268256,4213.928917694092,1.343131761625409,0.0022369774611433967,0.0201171875,5.954255368420855,-86.82806396484375,30.382017135620117,-93.50072479248047,0.037360310554504395
24576,12,22528,0.00025494399999999995,2048,64,320,10,False,-0.003871700241143117,3833.6845153808595,1.3408110056072473,0.003020585482590832,0.0291015625,5.230413519521244,-83.23554992675781,27.787492752075195,-90.94544982910156,0.046530723571777344
26624,13,24576,0.00025084799999999997,2048,64,320,10,False,-0.0030023227220226543,3940.4303062438967,1.3352399230003358,0.003908449798473157,0.042138671875,6.9941205098060895,-83.47830963134766,30.744651794433594,-92.04756164550781,0.05010581016540527
28672,14,26624,0.000246752,2048,64,320,10,False,-0.0010705481996410525,4714.425557708741,1.3353469312191009,0.0014270943793235347,0.00791015625,6.648052784893662,-91.86566162109375,32.029510498046875,-101.2577896118164,0.05295473337173462
