global_step,episode,episode_return,episode_length,epsilon,loss,mean_q_value
977,1,-21.0,977,0.981456,,
1759,2,-21.0,782,0.966598,,
2620,3,-20.0,861,0.9502390000000001,,
3544,4,-21.0,924,0.932683,,
4430,5,-21.0,886,0.915849,,
5411,6,-20.0,981,0.8972100000000001,,
6249,7,-20.0,838,0.8812880000000001,,
7010,8,-21.0,761,0.8668290000000001,,
7924,9,-20.0,914,0.8494630000000001,,
8802,10,-21.0,878,0.832781,,
9715,11,-20.0,913,0.815434,,
10537,12,-21.0,822,0.7998160000000001,,
11448,13,-21.0,911,0.7825070000000001,,
12419,14,-21.0,971,0.764058,,
13297,15,-21.0,878,0.747376,,
14413,16,-19.0,1116,0.726172,,
15233,17,-21.0,820,0.7105920000000001,,
16258,18,-21.0,1025,0.691117,,
17107,19,-21.0,849,0.6749860000000001,,
17892,20,-21.0,785,0.6600710000000001,,
18897,21,-21.0,1005,0.640976,,
19715,22,-21.0,818,0.625434,,
20477,23,-21.0,762,0.610956,0.011437976732850075,-0.004987712018191814
21293,24,-21.0,816,0.5954520000000001,0.018928740173578262,-0.008068609051406384
22053,25,-21.0,760,0.5810120000000001,0.026268934831023216,-0.023410139605402946
22957,26,-21.0,904,0.563836,0.015099158510565758,-0.027679696679115295
23946,27,-20.0,989,0.545045,0.008850395679473877,-0.03983284533023834
24987,28,-20.0,1041,0.525266,0.008721763268113136,-0.062062785029411316
25750,29,-21.0,763,0.510769,0.002759376773610711,-0.036050986498594284
26574,30,-21.0,824,0.495113,0.000723169359844178,-0.11836223304271698
27609,31,-19.0,1035,0.4754480000000001,0.0008632860844954848,-0.08111947029829025
28458,32,-21.0,849,0.4593170000000001,0.0015488239005208015,-0.12564951181411743
29339,33,-21.0,881,0.442578,0.0018853271612897515,-0.09657714515924454
30379,34,-19.0,1040,0.422818,0.003382661147043109,-0.1697147935628891
31284,35,-21.0,905,0.40562300000000007,0.0023714087437838316,-0.15108400583267212
32105,36,-21.0,821,0.39002400000000004,0.0016704817535355687,-0.08407987654209137
33113,37,-20.0,1008,0.3708720000000001,0.0013938415795564651,-0.17658786475658417
34017,38,-21.0,904,0.3536960000000001,0.003272856818512082,-0.22418299317359924
34858,39,-20.0,841,0.33771700000000004,0.0012708562426269054,-0.21261252462863922
35804,40,-20.0,946,0.3197430000000001,0.0010505093960091472,-0.232741117477417
36962,41,-19.0,1158,0.29774100000000003,0.004903054796159267,-0.22729799151420593
38081,42,-20.0,1119,0.27648000000000006,0.006504829507321119,-0.19559353590011597
38843,43,-21.0,762,0.26200200000000007,0.0013000175822526217,-0.20586341619491577
39606,44,-21.0,763,0.24750500000000009,0.0007141137612052262,-0.27108728885650635
40506,45,-20.0,900,0.23040500000000008,0.0016244209837168455,-0.33079198002815247
41330,46,-21.0,824,0.21474900000000008,0.0008333667647093534,-0.2965281903743744
42245,47,-20.0,915,0.1973640000000001,0.001687434152700007,-0.24519895017147064
43499,48,-18.0,1254,0.17353800000000008,0.0024643712677061558,-0.29380902647972107
44396,49,-21.0,897,0.15649500000000005,0.0035335547290742397,-0.23211228847503662
45238,50,-20.0,842,0.1404970000000001,0.0031978401821106672,-0.3374275863170624
46112,51,-20.0,874,0.12389100000000008,0.0036497183609753847,-0.29872289299964905
47119,52,-19.0,1007,0.10475800000000013,0.003202838357537985,-0.31176042556762695
47909,53,-21.0,790,0.08974800000000016,0.006230594590306282,-0.4067661464214325
48691,54,-21.0,782,0.07489000000000012,0.003246427047997713,-0.4023098349571228
49693,55,-19.0,1002,0.055852000000000124,0.0029899212531745434,-0.3903243839740753
50743,56,-20.0,1050,0.05,0.001291259890422225,-0.3857802748680115
52003,57,-19.0,1260,0.05,0.006542176008224487,-0.4559941291809082
52836,58,-20.0,833,0.05,0.002593841403722763,-0.3718218207359314
53678,59,-21.0,842,0.05,0.0020309549290686846,-0.4673689901828766
54675,60,-19.0,997,0.05,0.002571619115769863,-0.42801687121391296
55552,61,-20.0,877,0.05,0.0027803252451121807,-0.45686566829681396
56496,62,-21.0,944,0.05,0.00474885106086731,-0.45295020937919617
57986,63,-16.0,1490,0.05,0.001599264214746654,-0.48364022374153137
59365,64,-18.0,1379,0.05,0.002637667814269662,-0.4754328727722168
60460,65,-20.0,1095,0.05,0.00241173361428082,-0.4937842786312103
61633,66,-19.0,1173,0.05,0.0028684078715741634,-0.5194786787033081
63004,67,-18.0,1371,0.05,0.0010206422302871943,-0.47114622592926025
64168,68,-19.0,1164,0.05,0.005075564607977867,-0.4644164443016052
65440,69,-19.0,1272,0.05,0.0026725272182375193,-0.5118709206581116
66501,70,-19.0,1061,0.05,0.003795723430812359,-0.4994979500770569
67783,71,-19.0,1282,0.05,0.002853239420801401,-0.5530581474304199
69077,72,-21.0,1294,0.05,0.002112133428454399,-0.5489300489425659
70048,73,-21.0,971,0.05,0.0050028045661747456,-0.52254319190979
71309,74,-17.0,1261,0.05,0.003273257054388523,-0.5303623080253601
72727,75,-18.0,1418,0.05,0.0012792723719030619,-0.47448623180389404
74055,76,-20.0,1328,0.05,0.002804664196446538,-0.5466147661209106
75402,77,-18.0,1347,0.05,0.002501271665096283,-0.5190950632095337
76584,78,-21.0,1182,0.05,0.0015320931561291218,-0.5202457308769226
78089,79,-17.0,1505,0.05,0.0022039383184164762,-0.47121235728263855
79380,80,-19.0,1291,0.05,0.006203290540724993,-0.4833180010318756
81056,81,-17.0,1676,0.05,0.001385630457662046,-0.5286533236503601
82307,82,-21.0,1251,0.05,0.00422882754355669,-0.5171011686325073
83705,83,-19.0,1398,0.05,0.002779186237603426,-0.5353038311004639
84830,84,-19.0,1125,0.05,0.004495933651924133,-0.5126839876174927
86885,85,-18.0,2055,0.05,0.003948284778743982,-0.5462883710861206
88377,86,-19.0,1492,0.05,0.0022080896887928247,-0.5153882503509521
90172,87,-14.0,1795,0.05,0.0034786618780344725,-0.5450887084007263
92024,88,-18.0,1852,0.05,0.003317930269986391,-0.5361562371253967
93720,89,-16.0,1696,0.05,0.002125383587554097,-0.4895838499069214
95059,90,-21.0,1339,0.05,0.0022759148851037025,-0.45937448740005493
96421,91,-19.0,1362,0.05,0.001644442556425929,-0.5147578120231628
