global_step,update,rollout_start_step,learning_rate,rollout_steps,minibatch_size,minibatch_updates,update_epochs_run,stopped_on_target_kl,policy_loss,value_loss,entropy,approx_kl,clip_fraction,grad_norm,advantage_mean,advantage_std,value_target_mean,explained_variance
2048,1,0,0.0003,2048,64,320,10,False,-0.001124566660655546,0.06811940682237036,1.787623281404376,0.004227590200025588,0.032275390625,0.46708408452104777,-0.32947415113449097,0.33632692694664,-0.5009902715682983,0.08192068338394165
4096,2,2048,0.0002987712,2048,64,320,10,False,-0.004166054390952923,0.057026839355239646,1.7896931875497102,0.006419966462999582,0.034228515625,0.3063435767777264,-0.30076122283935547,0.31690409779548645,-0.6583213210105896,0.14752304553985596
6144,3,4096,0.0002975424,2048,64,320,10,False,-0.002228161544917384,0.052745117014274,1.7903790585696697,0.0031949788564816116,0.02314453125,0.2656434426782653,-0.253022164106369,0.329933226108551,-0.8044068217277527,0.37474149465560913
8192,4,6144,0.00029631359999999997,2048,64,320,10,False,-0.005660553992493078,0.04404891465092078,1.7859182078391314,0.00640388633182738,0.069140625,0.3325286009348929,-0.2629704475402832,0.2923428416252136,-0.9056252837181091,0.4493582248687744
10240,5,8192,0.0002950848,2048,64,320,10,False,-0.0013306642038514837,0.0482716343132779,1.7874537423253058,0.005213890082086436,0.0095703125,0.3331972418120131,-0.19469812512397766,0.3253800570964813,-0.8594297170639038,0.4238548278808594
12288,6,10240,0.00029385599999999995,2048,64,320,10,False,-0.002366650153271621,0.033224737364798786,1.7860746070742608,0.0050713480275589974,0.030859375,0.32830272931605575,-0.23256127536296844,0.2592640817165375,-1.0800422430038452,0.6074990630149841
14336,7,12288,0.00029262719999999996,2048,64,320,10,False,-0.006184722945909016,0.03690220667049289,1.7892770409584045,0.009794130219961516,0.05849609375,0.3329365360084921,-0.1108216792345047,0.312696635723114,-1.1349360942840576,0.6381792426109314
16384,8,14336,0.0002913984,2048,64,320,10,False,-0.002645963610120816,0.027800307766301557,1.780864330381155,0.004542066346039065,0.03037109375,0.38515176009386776,-0.13144545257091522,0.26948627829551697,-1.3481805324554443,0.7068106532096863
18432,9,16384,0.0002901696,2048,64,320,10,False,-0.003144646358123282,0.016857464815257118,1.7625755544751882,0.00628558055323083,0.042529296875,0.44148699529469015,-0.1551705300807953,0.20282480120658875,-1.5046613216400146,0.8441106081008911
20480,10,18432,0.00028894079999999996,2048,64,320,10,False,-0.005253846595587674,0.03421098528779112,1.7617081295698882,0.007948590777232312,0.066259765625,0.471961459890008,-0.06019341200590134,0.30913764238357544,-1.4958897829055786,0.7185766696929932
22528,11,20480,0.00028771199999999997,2048,64,320,10,False,-0.004647712987207342,0.02301662054960616,1.7647481042891742,0.0064750079007353635,0.050634765625,0.48480359972454606,-0.10546623170375824,0.24704526364803314,-1.6018946170806885,0.8027008175849915
24576,12,22528,0.0002864832,2048,64,320,10,False,-0.0070683899757568724,0.017465373835875653,1.7519946087151765,0.009316404946730472,0.088818359375,0.4923449395224452,-0.11640587449073792,0.21623115241527557,-1.7166903018951416,0.8576514720916748
26624,13,24576,0.0002852544,2048,64,320,10,False,-0.0034061790516716427,0.02147293938032817,1.7556885253638028,0.007216198451351375,0.041259765625,0.49890259583480656,-0.05919218808412552,0.2514311373233795,-1.7778748273849487,0.8147171139717102
28672,14,26624,0.00028402559999999997,2048,64,320,10,False,-0.004838228200969752,0.026969191816169767,1.76713311932981,0.006662227603374049,0.03798828125,0.4422094170469791,0.009087399579584599,0.28974735736846924,-1.7859221696853638,0.8274564146995544
30720,15,28672,0.0002827968,2048,64,320,10,False,-0.004595439858530881,0.020951280088047496,1.7514170851558446,0.007011918630450964,0.049169921875,0.5231568643357605,-0.07039165496826172,0.24558988213539124,-1.712974190711975,0.8401734828948975
32768,16,30720,0.00028156799999999994,2048,64,320,10,False,-0.005612963429302909,0.02901139307068661,1.7182154078036547,0.006669359633815475,0.053662109375,0.6300460981205106,0.002916669938713312,0.2783204913139343,-1.7432913780212402,0.8338561654090881
34816,17,32768,0.00028033919999999996,2048,64,320,10,False,-0.008335030674061272,0.012891302164644004,1.6537506803870201,0.010742215975187718,0.10576171875,0.719546478940174,-0.07888537645339966,0.20161335170269012,-1.8685226440429688,0.9320295453071594
36864,18,34816,0.0002791104,2048,64,320,10,False,-0.00830027566262288,0.02069024618831463,1.6347842015326024,0.012434271743404678,0.107275390625,0.8243731956928968,-0.1461721807718277,0.2331022024154663,-1.6252460479736328,0.8856264352798462
38912,19,36864,0.0002778816,2048,64,320,10,False,-0.003808250841393601,0.013380326764308847,1.6076191745698452,0.005846876322175376,0.05654296875,0.8125830766279251,-0.07872625440359116,0.20481376349925995,-1.8815281391143799,0.9295405745506287
40960,20,38912,0.00027665279999999995,2048,64,320,10,False,-0.0007063846773235127,0.021707418163714465,1.577709612995386,0.004900911296135746,0.021142578125,0.8341347930952907,-0.01833152025938034,0.25808143615722656,-1.8123031854629517,0.9161562323570251
43008,21,40960,0.00027542399999999997,2048,64,320,10,False,-0.007771157566457987,0.02844791175739374,1.5987206883728504,0.008683833264512941,0.09404296875,0.8896726183593273,0.022878680378198624,0.2862526476383209,-1.732927680015564,0.8606366515159607
45056,22,43008,0.0002741952,2048,64,320,10,False,-0.006016566620382946,0.019966871268115936,1.6263187158852817,0.008909675307222642,0.068701171875,0.8308289079926908,-0.02259059250354767,0.25772157311439514,-1.7877287864685059,0.9139726161956787
47104,23,45056,0.0002729664,2048,64,320,10,False,-0.0028779699132428505,0.02061397877696436,1.6364267747849226,0.00833633944275789,0.0228515625,0.7943066759034991,0.002845266368240118,0.26140233874320984,-1.808209776878357,0.9265230894088745
49152,24,47104,0.00027173759999999996,2048,64,320,10,False,-0.007421972828160506,0.020796137431170793,1.6531088195741177,0.010026930234744214,0.08037109375,0.7795762743800878,-0.04804998263716698,0.2641197144985199,-1.802472472190857,0.9239681363105774
51200,25,49152,0.0002705088,2048,64,320,10,False,-0.0023731647059321405,0.01292194661218673,1.6739891599863768,0.004078102196217515,0.029248046875,0.6869312707800418,-0.011968623846769333,0.2111826241016388,-1.8660359382629395,0.9624170064926147
53248,26,51200,0.00026927999999999994,2048,64,320,10,False,-0.005687297978874994,0.01886755778104998,1.6820613909512758,0.00891235570597928,0.067333984375,0.6509106999263168,-0.04014439135789871,0.2407463937997818,-1.8885128498077393,0.9198318719863892
55296,27,53248,0.00026805119999999996,2048,64,320,10,False,-0.006535561749478802,0.017547589894093107,1.688303691893816,0.009819230792345479,0.076953125,0.6846073954831808,-0.0188166331499815,0.23847141861915588,-1.9310139417648315,0.9164720177650452
57344,28,55296,0.0002668224,2048,64,320,10,False,-0.004808020970085636,0.012315144954482094,1.6916374489665031,0.007895112436381168,0.051513671875,0.5846243178006262,-0.055119987577199936,0.20843353867530823,-1.9135137796401978,0.9470303058624268
59392,29,57344,0.0002655936,2048,64,320,10,False,-0.002881028330011759,0.014339754909451585,1.6826785642653703,0.004926252129371278,0.02626953125,0.6317840643227101,-0.013592524453997612,0.2193017303943634,-2.0892815589904785,0.9184566736221313
61440,30,59392,0.00026436479999999995,2048,64,320,10,False,-0.0013473471903125756,0.013203957972291392,1.6607494290918112,0.004035623243544251,0.0146484375,0.6502643963322043,-0.006527314428240061,0.20989660918712616,-2.1158456802368164,0.9195169806480408
63488,31,61440,0.00026313599999999997,2048,64,320,10,False,-0.0014105648100667168,0.019455627765273674,1.6878947161138058,0.004917235090397298,0.016796875,0.6369218318257481,0.027815265581011772,0.244760662317276,-2.103642225265503,0.8977240920066833
65536,32,63488,0.0002619072,2048,64,320,10,False,-0.003667799916001968,0.013172443291114177,1.7140468902885915,0.00595046060916502,0.0259765625,0.5661507043987513,0.0003454035322647542,0.21371184289455414,-2.0072994232177734,0.9241188168525696
67584,33,65536,0.0002606784,2048,64,320,10,False,-0.0009324260921857785,0.013414675449894276,1.7073514144867659,0.002320790002704598,0.00654296875,0.5361764377914369,-0.016118038445711136,0.2124973088502884,-2.0275793075561523,0.9508892297744751
69632,34,67584,0.0002594496,2048,64,320,10,False,-0.00412772767158458,0.009761689744482282,1.7386985756456852,0.006048611420555972,0.016015625,0.46988628562539814,0.011052106507122517,0.19275322556495667,-2.1891777515411377,0.9451236128807068
71680,35,69632,0.0002582208,2048,64,320,10,False,-0.002812566404463723,0.00837121455842862,1.715710310637951,0.0048530787113122646,0.033935546875,0.5264975958038122,-0.02367812767624855,0.16393466293811798,-2.1329503059387207,0.9590310454368591
73728,36,71680,0.000256992,2048,64,320,10,False,-0.005126368063793052,0.028331439531757496,1.7406413841992616,0.00802447270252742,0.044775390625,0.49351483704522253,0.10954706370830536,0.2931870222091675,-2.1201775074005127,0.864041805267334
75776,37,73728,0.00025576319999999996,2048,64,320,10,False,-0.001751055665226886,0.008295484638074413,1.7134500838816167,0.005462629697285592,0.01875,0.4785459094215184,-0.008943073451519012,0.16945794224739075,-2.155658483505249,0.9675408601760864
77824,38,75776,0.0002545344,2048,64,320,10,False,-0.004238657753739971,0.010186841069662477,1.7116936706006527,0.004560247759218328,0.048486328125,0.5384552429895848,0.0032139967661350965,0.19060088694095612,-2.256624698638916,0.9566634297370911
79872,39,77824,0.0002533056,2048,64,320,10,False,-0.0010831211679033005,0.005544297121741692,1.7359238646924495,0.004810816573444754,0.01611328125,0.440012465743348,-0.013945846818387508,0.14917296171188354,-2.1123342514038086,0.9824568033218384
81920,40,79872,0.0002520768,2048,64,320,10,False,-0.0032777488275314683,0.00506814225736889,1.709458052739501,0.006375430640764535,0.04248046875,0.5144520103931427,-0.013681827113032341,0.1445876657962799,-2.3270139694213867,0.9771568775177002
83968,41,81920,0.00025084799999999997,2048,64,320,10,False,-0.004349202680168673,0.005894986005296232,1.6630729462951421,0.0065406581154093145,0.049853515625,0.6018882162868977,-0.035167403519153595,0.16888238489627838,-2.0158822536468506,0.9762949347496033
86016,42,83968,0.0002496192,2048,64,320,10,False,-0.001351637797051808,0.022508669720264152,1.62681592553854,0.006034924532286823,0.0126953125,0.6736110898200423,0.08413767069578171,0.2657884359359741,-2.1057639122009277,0.8831721544265747
88064,43,86016,0.0002483904,2048,64,320,10,False,-0.004792992962757125,0.01822616089848452,1.5456351015716792,0.009134768103831448,0.042724609375,0.7878134462982416,0.0057192412205040455,0.24570684134960175,-2.0391480922698975,0.9155508875846863
90112,44,88064,0.00024716159999999996,2048,64,320,10,False,-0.00274921126983827,0.006159189353274997,1.5152161750942468,0.006678531158831902,0.04052734375,0.7792360599152743,-0.03767918050289154,0.15417756140232086,-2.2862625122070312,0.9726848006248474
92160,45,90112,0.0002459328,2048,64,320,10,False,-0.0019807052114629185,0.0075866907849558626,1.5372199602425098,0.0059605169983115045,0.021826171875,0.7659277526661754,-0.0022816581185907125,0.16894854605197906,-2.1768853664398193,0.9662942290306091
94208,46,92160,0.000244704,2048,64,320,10,False,-0.005599914924823679,0.014854033711890225,1.5275642085820436,0.009425762775936163,0.072509765625,0.8738677388522774,0.058524422347545624,0.22570307552814484,-2.153844118118286,0.9395918846130371
96256,47,94208,0.00024347519999999998,2048,64,320,10,False,-0.006831864899140783,0.020526121769216844,1.5040822479873897,0.010305494573549368,0.08017578125,0.9031842837110162,0.050273243337869644,0.25886231660842896,-2.121279001235962,0.905062735080719
