global_step,episode,episode_return,episode_length,loss,actor_type,case_entries,cases_pruned,cases_replaced,actor_cases_pruned,actor_cases_replaced,critic_cases_pruned,critic_cases_replaced,critic_label_updates,critic_label_update_samples,exploration_epsilon,behavior_epsilon,policy_ready,action_probs,behavior_action_probs,action_counts,bias_min,bias_mean,bias_max
18,1,18.0,18,,nnknn,0,0,0,0,0,0,0,0,0,0.9997846666666667,1.0,False,"[0.5, 0.5]","[0.5, 0.5]","[0, 0]",,,
32,2,14.0,14,,nnknn,0,0,0,0,0,0,0,0,0,0.9996073333333333,1.0,False,"[0.5, 0.5]","[0.5, 0.5]","[0, 0]",,,
44,3,12.0,12,,nnknn,0,0,0,0,0,0,0,0,0,0.9994553333333334,1.0,False,"[0.5, 0.5]","[0.5, 0.5]","[0, 0]",,,
62,4,18.0,18,49.50646209716797,nnknn,62,0,0,0,0,0,0,0,0,0.9992273333333334,1.0,False,"[0.5, 0.5]","[0.5, 0.5]","[26, 36]",0.0,0.0,0.0
79,5,17.0,17,,nnknn,62,0,0,0,0,0,0,0,0,0.999012,0.999012,True,"[0.5534111261367798, 0.446588933467865]","[0.5000527501106262, 0.4999472200870514]","[26, 36]",0.0,0.0,0.0
89,6,10.0,10,,nnknn,62,0,0,0,0,0,0,0,0,0.9988853333333333,0.9988853333333333,True,"[0.1759272962808609, 0.8240727186203003]","[0.49963876605033875, 0.5003612041473389]","[26, 36]",0.0,0.0,0.0
105,7,16.0,16,,nnknn,62,0,0,0,0,0,0,0,0,0.9986826666666667,0.9986826666666667,True,"[0.6646391153335571, 0.33536088466644287]","[0.5002169013023376, 0.49978312849998474]","[26, 36]",0.0,0.0,0.0
157,8,52.0,52,59.51091003417969,nnknn,141,0,0,0,0,0,0,0,0,0.998024,0.998024,True,"[0.8726822733879089, 0.12731774151325226]","[0.5007364153862, 0.49926358461380005]","[70, 71]",-0.0004999394295737147,-5.986936594126746e-05,0.000499968824442476
171,9,14.0,14,,nnknn,141,0,0,0,0,0,0,0,0,0.9978466666666667,0.9978466666666667,True,"[0.21150322258472443, 0.7884967923164368]","[0.4993787705898285, 0.5006212592124939]","[70, 71]",-0.0004999394295737147,-5.986936594126746e-05,0.000499968824442476
182,10,11.0,11,,nnknn,141,0,0,0,0,0,0,0,0,0.9977073333333333,0.9977073333333333,True,"[0.6308518648147583, 0.3691481649875641]","[0.5002999901771545, 0.49970000982284546]","[70, 71]",-0.0004999394295737147,-5.986936594126746e-05,0.000499968824442476
204,11,22.0,22,,nnknn,141,0,0,0,0,0,0,0,0,0.9974286666666666,0.9974286666666666,True,"[0.49229004979133606, 0.5077099204063416]","[0.4999801814556122, 0.5000198483467102]","[70, 71]",-0.0004999394295737147,-5.986936594126746e-05,0.000499968824442476
223,12,19.0,19,12.81967830657959,nnknn,166,0,0,0,0,0,0,0,0,0.997188,0.997188,True,"[0.6242501735687256, 0.3757498562335968]","[0.5003494024276733, 0.49965059757232666]","[85, 81]",-0.0010002236813306808,-0.0001321801682934165,0.000993366353213787
247,13,24.0,24,,nnknn,166,0,0,0,0,0,0,0,0,0.996884,0.996884,True,"[0.49283188581466675, 0.507168173789978]","[0.4999776780605316, 0.5000223517417908]","[85, 81]",-0.0010002236813306808,-0.0001321801682934165,0.000993366353213787
264,14,17.0,17,,nnknn,166,0,0,0,0,0,0,0,0,0.9966686666666666,0.9966686666666666,True,"[0.3028877079486847, 0.6971123218536377]","[0.4993433654308319, 0.5006566643714905]","[85, 81]",-0.0010002236813306808,-0.0001321801682934165,0.000993366353213787
283,15,19.0,19,,nnknn,166,0,0,0,0,0,0,0,0,0.996428,0.996428,True,"[0.8188636898994446, 0.1811363250017166]","[0.5011389851570129, 0.49886101484298706]","[85, 81]",-0.0010002236813306808,-0.0001321801682934165,0.000993366353213787
315,16,32.0,32,21.600675582885742,nnknn,224,0,0,0,0,0,0,0,0,0.9960226666666666,0.9960226666666666,True,"[0.7025496363639832, 0.29745039343833923]","[0.5008056163787842, 0.4991943836212158]","[113, 111]",-0.0014968628529459238,-0.00015812471974641085,0.0014051934704184532
345,17,30.0,30,,nnknn,224,0,0,0,0,0,0,0,0,0.9956426666666667,0.9956426666666667,True,"[0.6890318989753723, 0.31096816062927246]","[0.5008236765861511, 0.4991763234138489]","[113, 111]",-0.0014968628529459238,-0.00015812471974641085,0.0014051934704184532
365,18,20.0,20,,nnknn,224,0,0,0,0,0,0,0,0,0.9953893333333333,0.9953893333333333,True,"[0.3993295133113861, 0.6006704568862915]","[0.49953582882881165, 0.500464141368866]","[113, 111]",-0.0014968628529459238,-0.00015812471974641085,0.0014051934704184532
378,19,13.0,13,,nnknn,224,0,0,0,0,0,0,0,0,0.9952246666666666,0.9952246666666666,True,"[0.3011002242565155, 0.6988998055458069]","[0.49905017018318176, 0.5009498000144958]","[113, 111]",-0.0014968628529459238,-0.00015812471974641085,0.0014051934704184532
390,20,12.0,12,16.276288986206055,nnknn,260,0,0,0,0,0,0,0,0,0.9950726666666667,0.9950726666666667,True,"[0.3234446048736572, 0.6765554547309875]","[0.4991300404071808, 0.5008699297904968]","[134, 126]",-0.0019903788343071938,-0.0001915869361255318,0.0018546709325164557
400,21,10.0,10,,nnknn,260,0,0,0,0,0,0,0,0,0.994946,0.994946,True,"[0.4268781244754791, 0.5731219053268433]","[0.4996304512023926, 0.5003695487976074]","[134, 126]",-0.0019903788343071938,-0.0001915869361255318,0.0018546709325164557
420,22,20.0,20,,nnknn,260,0,0,0,0,0,0,0,0,0.9946926666666667,0.9946926666666667,True,"[0.5194081664085388, 0.4805918335914612]","[0.5001029968261719, 0.4998970031738281]","[134, 126]",-0.0019903788343071938,-0.0001915869361255318,0.0018546709325164557
460,23,40.0,40,,nnknn,260,0,0,0,0,0,0,0,0,0.994186,0.994186,True,"[0.7998248338699341, 0.2001751959323883]","[0.5017431974411011, 0.4982568025588989]","[134, 126]",-0.0019903788343071938,-0.0001915869361255318,0.0018546709325164557
479,24,19.0,19,31.92075538635254,nnknn,306,0,0,0,0,0,0,0,0,0.9939453333333333,0.9939453333333333,True,"[0.4993937611579895, 0.5006062388420105]","[0.4999963343143463, 0.5000036954879761]","[157, 149]",-0.0024163504131138325,-0.000217370645259507,0.002304676454514265
493,25,14.0,14,,nnknn,306,0,0,0,0,0,0,0,0,0.993768,0.993768,True,"[0.5936518907546997, 0.4063481390476227]","[0.5005836486816406, 0.4994163513183594]","[157, 149]",-0.0024163504131138325,-0.000217370645259507,0.002304676454514265
516,26,23.0,23,,nnknn,306,0,0,0,0,0,0,0,0,0.9934766666666667,0.9934766666666667,True,"[0.4029350280761719, 0.5970649719238281]","[0.499366819858551, 0.500633180141449]","[157, 149]",-0.0024163504131138325,-0.000217370645259507,0.002304676454514265
540,27,24.0,24,,nnknn,306,0,0,0,0,0,0,0,0,0.9931726666666667,0.9931726666666667,True,"[0.5791804194450378, 0.42081958055496216]","[0.5005406141281128, 0.4994594156742096]","[157, 149]",-0.0024163504131138325,-0.000217370645259507,0.002304676454514265
560,28,20.0,20,10.522231101989746,nnknn,338,75,0,0,0,75,0,0,0,0.9929193333333334,0.9929193333333334,True,"[0.4207794964313507, 0.5792205333709717]","[0.4994390606880188, 0.5005609393119812]","[173, 165]",-0.002798354020342231,-0.0002371917071286589,0.0026925071142613888
578,29,18.0,18,,nnknn,338,75,0,0,0,75,0,0,0,0.9926913333333334,0.9926913333333334,True,"[0.3016514778137207, 0.6983485221862793]","[0.49855032563209534, 0.5014496445655823]","[173, 165]",-0.002798354020342231,-0.0002371917071286589,0.0026925071142613888
618,30,40.0,40,,nnknn,338,75,0,0,0,75,0,0,0,0.9921846666666667,0.9921846666666667,True,"[0.5002787709236145, 0.4997212588787079]","[0.5000022053718567, 0.4999978244304657]","[173, 165]",-0.002798354020342231,-0.0002371917071286589,0.0026925071142613888
629,31,11.0,11,,nnknn,338,75,0,0,0,75,0,0,0,0.9920453333333333,0.9920453333333333,True,"[0.4946439564228058, 0.5053560137748718]","[0.4999573826789856, 0.5000426173210144]","[173, 165]",-0.002798354020342231,-0.0002371917071286589,0.0026925071142613888
644,32,15.0,15,22.986228942871094,nnknn,379,147,0,0,0,147,0,0,0,0.9918553333333333,0.9918553333333333,True,"[0.4955834150314331, 0.5044166445732117]","[0.49996402859687805, 0.5000360012054443]","[193, 186]",-0.0032013843301683664,-0.00024200881307478994,0.002953036455437541
656,33,12.0,12,,nnknn,379,147,0,0,0,147,0,0,0,0.9917033333333334,0.9917033333333334,True,"[0.5963375568389893, 0.40366244316101074]","[0.500799298286438, 0.4992007315158844]","[193, 186]",-0.0032013843301683664,-0.00024200881307478994,0.002953036455437541
672,34,16.0,16,,nnknn,379,147,0,0,0,147,0,0,0,0.9915006666666667,0.9915006666666667,True,"[0.695924699306488, 0.30407533049583435]","[0.5016652345657349, 0.49833476543426514]","[193, 186]",-0.0032013843301683664,-0.00024200881307478994,0.002953036455437541
693,35,21.0,21,,nnknn,379,147,0,0,0,147,0,0,0,0.9912346666666667,0.9912346666666667,True,"[0.7939406633377075, 0.20605936646461487]","[0.502576470375061, 0.4974234998226166]","[193, 186]",-0.0032013843301683664,-0.00024200881307478994,0.002953036455437541
709,36,16.0,16,6.891209602355957,nnknn,395,215,0,0,0,215,0,0,0,0.991032,0.991032,True,"[0.297965407371521, 0.7020346522331238]","[0.49818816781044006, 0.5018118619918823]","[202, 193]",-0.0035784405190497637,-0.00026159247499890625,0.0031793653033673763
733,37,24.0,24,,nnknn,395,215,0,0,0,215,0,0,0,0.990728,0.990728,True,"[0.39774662256240845, 0.6022533774375916]","[0.49905189871788025, 0.5009480714797974]","[202, 193]",-0.0035784405190497637,-0.00026159247499890625,0.0031793653033673763
745,38,12.0,12,,nnknn,395,215,0,0,0,215,0,0,0,0.990576,0.990576,True,"[0.7018949389457703, 0.29810506105422974]","[0.5019026398658752, 0.49809736013412476]","[202, 193]",-0.0035784405190497637,-0.00026159247499890625,0.0031793653033673763
778,39,33.0,33,,nnknn,395,215,0,0,0,215,0,0,0,0.990158,0.990158,True,"[0.19536098837852478, 0.8046390414237976]","[0.4970017373561859, 0.5029982328414917]","[202, 193]",-0.0035784405190497637,-0.00026159247499890625,0.0031793653033673763
790,40,12.0,12,23.11793327331543,nnknn,431,312,0,0,0,312,0,0,0,0.990006,0.990006,True,"[0.7967584133148193, 0.20324158668518066]","[0.5029658079147339, 0.4970341920852661]","[219, 212]",-0.0039058297406882048,-0.00026001682272180915,0.0032659147400408983
801,41,11.0,11,,nnknn,431,312,0,0,0,312,0,0,0,0.9898666666666667,0.9898666666666667,True,"[0.5022133588790894, 0.49778664112091064]","[0.5000224113464355, 0.49997755885124207]","[219, 212]",-0.0039058297406882048,-0.00026001682272180915,0.0032659147400408983
823,42,22.0,22,,nnknn,431,312,0,0,0,312,0,0,0,0.989588,0.989588,True,"[0.49880361557006836, 0.5011963844299316]","[0.49998754262924194, 0.5000124573707581]","[219, 212]",-0.0039058297406882048,-0.00026001682272180915,0.0032659147400408983
841,43,18.0,18,,nnknn,431,312,0,0,0,312,0,0,0,0.98936,0.98936,True,"[0.4198724627494812, 0.5801275372505188]","[0.4991474449634552, 0.5008525848388672]","[219, 212]",-0.0039058297406882048,-0.00026001682272180915,0.0032659147400408983
869,44,28.0,28,15.778483390808105,nnknn,467,385,0,0,0,385,0,0,0,0.9890053333333333,0.9890053333333333,True,"[0.4948040544986725, 0.5051959753036499]","[0.4999428689479828, 0.5000571012496948]","[237, 230]",-0.004167161416262388,-0.0002639562007971108,0.0034660580568015575
883,45,14.0,14,,nnknn,467,385,0,0,0,385,0,0,0,0.988828,0.988828,True,"[0.6982085108757019, 0.3017914593219757]","[0.5022143721580505, 0.49778562784194946]","[237, 230]",-0.004167161416262388,-0.0002639562007971108,0.0034660580568015575
932,46,49.0,49,,nnknn,467,385,0,0,0,385,0,0,0,0.9882073333333333,0.9882073333333333,True,"[0.4976795017719269, 0.5023204684257507]","[0.4999726414680481, 0.5000273585319519]","[237, 230]",-0.004167161416262388,-0.0002639562007971108,0.0034660580568015575
953,47,21.0,21,,nnknn,467,385,0,0,0,385,0,0,0,0.9879413333333333,0.9879413333333333,True,"[0.30051153898239136, 0.6994884610176086]","[0.4975944459438324, 0.50240558385849]","[237, 230]",-0.004167161416262388,-0.0002639562007971108,0.0034660580568015575
983,48,30.0,30,42.58309555053711,nnknn,485,542,0,50,0,492,0,0,0,0.9875613333333333,0.9875613333333333,True,"[0.49238908290863037, 0.5076109170913696]","[0.4999053180217743, 0.5000946521759033]","[251, 234]",-0.0027042017318308353,6.77904681651853e-05,0.003811970353126526
1010,49,27.0,27,,nnknn,485,542,0,50,0,492,0,0,0,0.9872193333333333,0.9872193333333333,True,"[0.6979876160621643, 0.3020123839378357]","[0.5025303959846497, 0.49746957421302795]","[251, 234]",-0.0027042017318308353,6.77904681651853e-05,0.003811970353126526
1020,50,10.0,10,,nnknn,485,542,0,50,0,492,0,0,0,0.9870926666666666,0.9870926666666666,True,"[0.8286074995994568, 0.1713925004005432]","[0.5042414665222168, 0.4957585632801056]","[251, 234]",-0.0027042017318308353,6.77904681651853e-05,0.003811970353126526
1037,51,17.0,17,,nnknn,485,542,0,50,0,492,0,0,0,0.9868773333333334,0.9868773333333334,True,"[0.11125586926937103, 0.8887441158294678]","[0.49489864706993103, 0.5051013827323914]","[251, 234]",-0.0027042017318308353,6.77904681651853e-05,0.003811970353126526
1053,52,16.0,16,14.505837440490723,nnknn,460,667,0,100,0,567,0,0,0,0.9866746666666667,0.9866746666666667,True,"[0.2963239252567291, 0.7036760449409485]","[0.49728596210479736, 0.5027140378952026]","[237, 223]",-0.0017459145747125149,0.00028773059602826834,0.004149092361330986
1070,53,17.0,17,,nnknn,460,667,0,100,0,567,0,0,0,0.9864593333333334,0.9864593333333334,True,"[0.7104631662368774, 0.28953680396080017]","[0.502849817276001, 0.497150182723999]","[237, 223]",-0.0017459145747125149,0.00028773059602826834,0.004149092361330986
1088,54,18.0,18,,nnknn,460,667,0,100,0,567,0,0,0,0.9862313333333333,0.9862313333333333,True,"[0.20315340161323547, 0.7968466281890869]","[0.4959128201007843, 0.5040872097015381]","[237, 223]",-0.0017459145747125149,0.00028773059602826834,0.004149092361330986
1122,55,34.0,34,,nnknn,460,667,0,100,0,567,0,0,0,0.9858006666666667,0.9858006666666667,True,"[0.6201146841049194, 0.37988531589508057]","[0.501705527305603, 0.4982944428920746]","[237, 223]",-0.0017459145747125149,0.00028773059602826834,0.004149092361330986
1139,56,17.0,17,14.400411605834961,nnknn,479,758,6,125,0,633,6,0,0,0.9855853333333333,0.9855853333333333,True,"[0.700572669506073, 0.2994273602962494]","[0.5028911828994751, 0.4971088171005249]","[255, 224]",-0.0013221867848187685,0.00034334746305830777,0.004641690291464329
1154,57,15.0,15,,nnknn,479,758,6,125,0,633,6,0,0,0.9853953333333333,0.9853953333333333,True,"[0.09956929087638855, 0.9004307389259338]","[0.4941518306732178, 0.5058481693267822]","[255, 224]",-0.0013221867848187685,0.00034334746305830777,0.004641690291464329
1186,58,32.0,32,,nnknn,479,758,6,125,0,633,6,0,0,0.98499,0.98499,True,"[0.20579957962036133, 0.7942004799842834]","[0.49558404088020325, 0.5044159293174744]","[255, 224]",-0.0013221867848187685,0.00034334746305830777,0.004641690291464329
