global_step,episodes,samples,loss,actor_loss,policy_loss,critic_optimization_mse,critic_train_mse,critic_train_explained_variance,critic_train_value_mean,critic_train_diagnostics_computed,entropy,behavior_entropy,mean_behavior_epsilon,min_behavior_epsilon,max_behavior_epsilon,bias_loss,mean_reward,mean_advantage,mean_normalized_advantage,value_target_mean,bootstrap_value_source,partial_rollout_segments,partial_rollout_samples,actor_cases_added,actor_cases_pruned,actor_cases_replaced,actor_positive_advantage_samples,critic_cases_added,critic_cases_pruned,critic_cases_replaced,critic_label_updates,critic_label_update_samples,mean_episode_return,reward_varying_episodes,reward_checked_episodes,actor_type,case_entries,critic_type,critic_case_entries,action_counts,bias_min,bias_mean,bias_max
169,4,169,156.03953552246094,-0.00693152379244566,-5.219814980250703e-08,156.0464630126953,,,,False,0.6931471824645996,0.6931471824645996,1.0,1.0,1.0,0.0,1.0,11.604049682617188,-8.464564871246694e-08,11.604049682617188,nnknn_target_value_model,0,0,169,0,69,169,169,0,69,0,0,42.25,0,4,nnknn,100,nnknn,100,"[49, 51]",0.0,0.0,0.0
234,4,65,12.387704849243164,-0.006557830609381199,-1.1755870445995242e-06,12.394262313842773,,,,False,0.6556655168533325,0.6931470632553101,0.9974538683891296,0.9970486760139465,0.9978593587875366,0.0,1.0,-0.8358999490737915,3.6679781434401093e-09,9.159673690795898,nnknn_target_value_model,0,0,30,30,0,30,65,24,41,0,0,16.25,0,4,nnknn,100,nnknn,100,"[45, 55]",-0.0004986872663721442,9.48039087234065e-05,0.0004999495577067137
319,4,85,27.334665298461914,-0.006477959454059601,-0.0001482598891016096,27.341142654418945,27.32615089416504,0.46499091386795044,9.398289680480957,True,0.6329699754714966,0.6931464076042175,0.996504008769989,0.9959719777107239,0.9970359802246094,8.696676445651974e-08,1.0,2.0637450218200684,-1.6128316460140013e-08,11.46102523803711,nnknn_target_value_model,0,0,54,33,21,54,85,32,53,0,0,21.25,0,4,nnknn,100,nnknn,100,"[52, 48]",0.0,0.00016487114771734923,0.0009997144807130098
426,4,107,42.43415451049805,-0.00639121700078249,-6.369563925545663e-05,42.44054412841797,,,,False,0.6327521800994873,0.6931459903717041,0.9952880144119263,0.994616687297821,0.9959593415260315,1.3207545634941198e-07,1.0,0.223662868142128,-3.342316423626812e-09,14.87132453918457,nnknn_target_value_model,0,0,56,38,18,56,107,25,82,0,0,26.75,0,4,nnknn,100,nnknn,100,"[49, 51]",0.0,0.0002195836277678609,0.001498691737651825
516,4,90,20.089256286621094,-0.0056778364814817905,-0.0008368141134269536,20.094934463500977,20.038022994995117,0.638419508934021,13.804407119750977,True,0.4841022491455078,0.6931412816047668,0.9940403699874878,0.9934766888618469,0.9946039915084839,1.345301825494971e-07,1.0,-0.7151027321815491,-6.622738468742284e-10,13.086104393005371,nnknn_target_value_model,0,0,34,35,0,34,90,19,71,0,0,22.5,0,4,nnknn,99,nnknn,100,"[43, 56]",-3.6729034036397934e-08,0.00025470746913924813,0.0009998107561841607
603,4,87,33.35417556762695,-0.006542152725160122,-0.0009801468113437295,33.3607177734375,,,,False,0.5562006235122681,0.6931411623954773,0.9929193258285522,0.9923746585845947,0.9934639930725098,1.7133851315520587e-07,1.0,0.776197612285614,-3.0829989672298552e-09,13.455735206604004,nnknn_target_value_model,0,0,34,35,0,34,87,20,67,0,0,21.75,0,4,nnknn,98,nnknn,100,"[40, 58]",0.0,0.0003096605360042304,0.0014997628750279546
736,4,133,82.70881652832031,-0.0063069527968764305,-0.0008016519714146852,82.71512603759766,,,,False,0.5505301356315613,0.6931381821632385,0.9915260076522827,0.9906899929046631,0.9923620223999023,2.7260713864052377e-07,1.0,3.7760517597198486,2.509669272399151e-08,18.00379180908203,nnknn_target_value_model,0,0,80,35,43,80,133,27,106,0,0,33.25,0,4,nnknn,100,nnknn,100,"[43, 57]",0.0,0.0003239262441638857,0.001999082276597619
870,4,134,77.61446380615234,-0.00678630918264389,-0.0008375737816095352,77.62124633789062,77.511962890625,0.2924574613571167,16.53957176208496,True,0.5948735475540161,0.6931384205818176,0.9898350238800049,0.9889926910400391,0.9906773567199707,2.8695137643808266e-07,1.0,2.7701680660247803,-5.337729369614408e-09,19.30000114440918,nnknn_target_value_model,0,0,76,35,41,76,134,22,112,0,0,33.5,0,4,nnknn,100,nnknn,100,"[49, 51]",0.0,0.0003738054947461933,0.00149977533146739
1010,4,140,56.392494201660156,-0.0063268402591347694,-0.0003465052286628634,56.39882278442383,,,,False,0.5980335474014282,0.6931354999542236,0.9880996942520142,0.9872193336486816,0.9889799952507019,3.236109478166327e-07,1.0,1.5459452867507935,4.6832222544423985e-09,17.773326873779297,nnknn_target_value_model,0,0,90,27,63,90,140,11,129,0,0,35.0,0,4,nnknn,100,nnknn,100,"[54, 46]",0.0,0.000410351378377527,0.0015018749982118607
1086,4,76,24.775699615478516,-0.006588725373148918,-0.0023501859977841377,24.78228759765625,24.7694034576416,0.6074811816215515,14.440722465515137,True,0.42385396361351013,0.6931071281433105,0.9867317080497742,0.9862566590309143,0.9872066378593445,3.6776654610548576e-07,1.0,-3.0492494106292725,1.8038248228435805e-08,11.416482925415039,nnknn_target_value_model,0,0,14,15,0,14,76,23,53,0,0,19.0,0,4,nnknn,99,nnknn,100,"[57, 42]",-0.0004987022839486599,0.00039910138002596796,0.002001490443944931
1155,4,69,17.590059280395508,-0.008154203183948994,-0.003120507812127471,17.59821319580078,,,,False,0.5033695101737976,0.6931152939796448,0.985813319683075,0.9853826761245728,0.9862440228462219,5.130332851877029e-07,1.0,-1.7672832012176514,2.4187391645114076e-08,10.553069114685059,nnknn_target_value_model,0,0,27,30,0,27,69,13,56,0,0,17.25,0,4,nnknn,96,nnknn,100,"[52, 44]",-3.5727862268686295e-07,0.0005303241196088493,0.002499822061508894
1234,4,79,22.345333099365234,-0.006020950153470039,-0.0014173667877912521,22.351354598999023,,,,False,0.4603583514690399,0.6931023001670837,0.9848760366439819,0.9843819737434387,0.9853699803352356,7.597902822453761e-07,1.0,0.818842351436615,-1.5089783866883977e-09,11.164299964904785,nnknn_target_value_model,0,0,39,24,11,39,79,14,65,0,0,19.75,0,4,nnknn,100,nnknn,100,"[49, 51]",0.0,0.00048120561405085027,0.002882532775402069
1300,4,66,12.529212951660156,-0.01029632706195116,-0.00441949674859643,12.539508819580078,12.607028007507324,0.6759476661682129,10.554727554321289,True,0.5876830220222473,0.6931222081184387,0.9839577078819275,0.9835460186004639,0.9843693375587463,5.902876409891178e-07,1.0,-0.661474347114563,-1.4449611285272113e-08,9.916476249694824,nnknn_target_value_model,0,0,29,19,10,29,66,17,49,0,0,16.5,0,4,nnknn,100,nnknn,100,"[52, 48]",0.0,0.0006176344468258321,0.002699689706787467
1399,4,99,45.13449478149414,-0.006200991105288267,-0.0017190201906487346,45.14069747924805,,,,False,0.4481970965862274,0.6930868625640869,0.9829126000404358,0.9822919964790344,0.9835333228111267,8.050978976825718e-07,1.0,2.5508646965026855,-3.3715757297159143e-08,13.01147174835205,nnknn_target_value_model,0,0,55,21,34,55,99,24,75,0,0,24.75,0,4,nnknn,100,nnknn,100,"[50, 50]",0.0,0.0005712418933399022,0.003199558239430189
1453,4,54,13.65293025970459,-0.008625269867479801,-0.0029543021228164434,13.661555290222168,13.525321006774902,0.5773523449897766,9.984888076782227,True,0.5670967698097229,0.6931097507476807,0.981943666934967,0.981607973575592,0.982279360294342,7.121818725863704e-07,1.0,-1.8203305006027222,4.856674706843478e-08,8.18923568725586,nnknn_target_value_model,0,0,18,15,3,18,54,13,41,0,0,13.5,0,4,nnknn,100,nnknn,100,"[53, 47]",0.0,0.0006131138070486486,0.002699688309803605
1533,4,80,24.31977081298828,-0.00942923128604889,-0.004393155220896006,24.329200744628906,,,,False,0.5036076307296753,0.693091094493866,0.981095016002655,0.9805946946144104,0.9815953373908997,8.632163144284277e-07,1.0,1.3966747522354126,4.470348535789981e-09,11.471261978149414,nnknn_target_value_model,0,0,40,18,22,40,80,19,61,0,0,20.0,0,4,nnknn,100,nnknn,100,"[53, 47]",0.0,0.0006654636817984283,0.0031992103904485703
1610,4,77,20.37039566040039,-0.007868567481637001,-0.003442833898589015,20.378263473510742,,,,False,0.44257333874702454,0.6930660605430603,0.9801007509231567,0.9796193242073059,0.9805819988250732,1.017312001749815e-06,1.0,-0.19459158182144165,-8.514949634275126e-09,10.458672523498535,nnknn_target_value_model,0,0,30,18,12,30,77,8,69,0,0,19.25,0,4,nnknn,100,nnknn,100,"[57, 43]",0.0,0.0006997997406870127,0.0028527912218123674
1676,4,66,7.334024429321289,-0.00976762268692255,-0.004660156089812517,7.343791961669922,7.339786529541016,0.7200616598129272,9.520437240600586,True,0.5107466578483582,0.6930760741233826,0.9791951179504395,0.9787833094596863,0.9796066880226135,1.2149603207944892e-06,1.0,-0.5445184707641602,8.127906347965563e-09,8.995428085327148,nnknn_target_value_model,0,0,31,23,8,31,66,12,54,0,0,16.5,0,4,nnknn,100,nnknn,100,"[59, 41]",0.0,0.000816002837382257,0.003352285362780094
1793,4,117,52.645164489746094,-0.007345493417233229,-0.0023032757453620434,52.65251159667969,,,,False,0.5042217969894409,0.6930745244026184,0.9780360460281372,0.9773013591766357,0.9787706732749939,1.5340367554017575e-06,1.0,3.927931070327759,-4.58497284583359e-09,14.710726737976074,nnknn_target_value_model,0,0,84,15,69,84,117,11,106,0,0,29.25,0,4,nnknn,100,nnknn,100,"[61, 39]",0.0,0.0008588553755544126,0.003362212562933564
1886,4,93,32.327545166015625,-0.009168747812509537,-0.004577686544507742,32.33671569824219,32.1888427734375,0.5055755376815796,10.649942398071289,True,0.4591061472892761,0.6930396556854248,0.9767060875892639,0.9761233329772949,0.9772886633872986,1.5994942259567324e-06,1.0,2.2053918838500977,7.690921677294682e-09,12.849395751953125,nnknn_target_value_model,0,0,57,20,37,57,93,15,78,0,0,23.25,0,4,nnknn,100,nnknn,100,"[62, 38]",0.0,0.0009399366099387407,0.0038603954017162323
1944,4,58,22.486976623535156,-0.006761367432773113,-0.0010355196427553892,22.493738174438477,,,,False,0.5725848078727722,0.6930816173553467,0.9757497310638428,0.9753886461257935,0.9761106371879578,1.8834336970030563e-06,1.0,-1.4503971338272095,2.6462407376470765e-08,8.691859245300293,nnknn_target_value_model,0,0,16,8,8,16,58,2,56,0,0,14.5,0,4,nnknn,100,nnknn,100,"[59, 41]",0.0,0.0010053061414510012,0.004357201978564262
2030,4,86,16.49016571044922,-0.009458526968955994,-0.004642931744456291,16.499624252319336,,,,False,0.48155954480171204,0.6930292844772339,0.9748376607894897,0.9742993116378784,0.9753760099411011,2.0490870156208985e-06,1.0,0.17347246408462524,4.158463795533862e-09,11.324251174926758,nnknn_target_value_model,0,0,41,13,28,41,86,10,76,0,0,21.5,0,4,nnknn,100,nnknn,100,"[59, 41]",0.0,0.0010269790655001998,0.0048568593338131905
2091,4,61,9.235711097717285,-0.009766213595867157,-0.004939743783324957,9.245477676391602,9.239705085754395,0.6379756331443787,9.755976676940918,True,0.48264703154563904,0.6930217146873474,0.9739066362380981,0.973526656627655,0.974286675453186,2.303669361936045e-06,1.0,-1.266516089439392,5.081051668298642e-08,8.490715026855469,nnknn_target_value_model,0,0,21,22,0,21,61,7,54,0,0,15.25,0,4,nnknn,99,nnknn,100,"[54, 45]",0.0,0.0010408596135675907,0.004996845033019781
2184,4,93,24.570602416992188,-0.009843575768172741,-0.004803977441042662,24.580446243286133,,,,False,0.5039598345756531,0.6930283308029175,0.9729313254356384,0.972348690032959,0.9735140204429626,2.5392228053533472e-06,1.0,1.427626371383667,-1.0254562532452383e-08,12.28587532043457,nnknn_target_value_model,0,0,53,16,36,53,93,12,81,0,0,23.25,0,4,nnknn,100,nnknn,100,"[56, 44]",0.0,0.001068416517227888,0.005496804602444172
2318,4,134,63.894432067871094,-0.009463275782763958,-0.004807180259376764,63.90389633178711,63.86691665649414,0.3390377163887024,11.79800033569336,True,0.4656095802783966,0.692990243434906,0.9714936017990112,0.9706513285636902,0.9723359942436218,2.7564881293073995e-06,1.0,4.519540786743164,1.4233944689578948e-08,16.307815551757812,nnknn_target_value_model,0,0,95,20,75,95,134,17,117,0,0,33.5,0,4,nnknn,100,nnknn,100,"[54, 46]",0.0,0.0010791183449327946,0.005996507126837969
