global_step,case_store,source,cases_pruned,cases_replaced,case_entries,action_counts,bias_min,bias_mean,bias_max
1013,critic,capacity_insert,50,0,963,,-0.0022211528848856688,0.0001516805205028504,0.0039034977089613676
1013,actor,scheduled_batch_boundary,29,0,541,"[268, 273]",-0.0036461539566516876,-6.516586290672421e-05,0.0044607012532651424
1013,critic,scheduled_batch_boundary,49,0,914,,-0.0017055075149983168,0.0002627986832521856,0.0039034977089613676
1170,critic,capacity_insert,100,0,971,,-0.0011288837995380163,0.0004160539247095585,0.004870542325079441
1246,critic,capacity_insert,50,0,997,,-0.000842783076222986,0.00045306491665542126,0.004870542325079441
1434,critic,capacity_insert,198,0,987,,-0.0003686460549943149,0.0005876196664758027,0.004870542325079441
1502,critic,capacity_insert,100,0,955,,-0.00012793130008503795,0.0006689680740237236,0.004870542325079441
1586,critic,capacity_insert,50,0,989,,-0.0002592849778011441,0.0006688065477646887,0.004870542325079441
1682,critic,capacity_insert,99,0,986,,-9.762742411112413e-05,0.0007052276632748544,0.005231106653809547
1742,critic,capacity_insert,50,0,996,,-6.365292938426137e-05,0.0007375523564405739,0.005731106735765934
1805,critic,capacity_insert,99,0,960,,-1.1641532182693481e-10,0.0007979980437085032,0.005731106735765934
1872,critic,capacity_insert,50,0,977,,-0.0003338444512337446,0.0008120169513858855,0.005370526108890772
1930,critic,capacity_insert,50,0,985,,-0.00017572357319295406,0.0008417076896876097,0.005829465575516224
2055,actor,capacity_insert,100,0,980,"[479, 501]",-0.0029440426733344793,0.00043991292477585375,0.007861063815653324
2055,critic,capacity_insert,100,10,1000,,0.0,0.0008343770168721676,0.005829465575516224
2055,actor,scheduled_batch_boundary,49,0,931,"[450, 481]",-0.0022061869967728853,0.0005956520326435566,0.007861063815653324
2135,critic,capacity_insert,55,25,1000,,0.0,0.0008802132797427475,0.006329407449811697
2260,actor,capacity_insert,100,0,961,"[466, 495]",-0.0012199175544083118,0.0007965290569700301,0.007717976346611977
2260,critic,capacity_insert,86,39,1000,,0.0,0.0009156041778624058,0.006329407449811697
2335,critic,capacity_insert,61,14,1000,,0.0,0.0009488635696470737,0.006329407449811697
2395,actor,capacity_insert,50,0,964,"[472, 492]",-0.001192601746879518,0.0008823864627629519,0.007624790538102388
2395,critic,capacity_insert,57,3,1000,,0.0,0.0009658721974119544,0.006829404272139072
2447,critic,capacity_insert,39,13,1000,,0.0,0.0009874195093289018,0.006731104571372271
2556,actor,capacity_insert,100,0,954,"[467, 487]",-0.0007004712824709713,0.0010162368416786194,0.007996439933776855
2556,critic,capacity_insert,78,31,1000,,0.0,0.001009980565868318,0.006731104571372271
2634,critic,capacity_insert,68,10,1000,,0.0,0.0010504818055778742,0.0068294089287519455
2713,actor,capacity_insert,50,0,971,"[475, 496]",-0.0008345447131432593,0.0010660107946023345,0.0088692307472229
2713,critic,capacity_insert,57,22,1000,,0.0,0.0010767510393634439,0.006731104571372271
