global_step,case_store,source,cases_pruned,cases_replaced,case_entries,action_counts,bias_min,bias_mean,bias_max
1114,actor,scheduled_batch_boundary,34,0,645,"[328, 317]",-0.002569940173998475,-5.112359576742165e-05,0.0037535023875534534
1114,critic,scheduled_batch_boundary,56,0,1058,,-0.0015868567861616611,0.00010973306780215353,0.0031581602524966
2011,actor,scheduled_batch_boundary,51,0,955,"[505, 450]",-0.0029843004886060953,0.00021958678553346545,0.00574125861749053
2011,critic,scheduled_batch_boundary,98,0,1857,,-0.0023405621759593487,0.0003236686170566827,0.006302342284470797
2155,critic,capacity_insert,100,0,1901,,-0.0017938957316800952,0.0004501449584495276,0.006795669440180063
2313,critic,capacity_insert,100,0,1959,,-0.0015355072682723403,0.0005440509412437677,0.0073647755198180676
2397,critic,capacity_insert,100,0,1943,,-0.001140177482739091,0.0006276512867771089,0.0073647755198180676
2484,critic,capacity_insert,98,0,1932,,-0.0009999999310821295,0.0006998974713496864,0.0073647755198180676
2591,critic,capacity_insert,100,0,1939,,-0.0007893870351836085,0.0007495167083106935,0.0073647755198180676
2708,critic,capacity_insert,100,0,1956,,-0.000549459015019238,0.0007821352337487042,0.0073647755198180676
2825,critic,capacity_insert,100,0,1973,,-0.0004999998491257429,0.0008137324475683272,0.007864771410822868
2912,critic,capacity_insert,98,0,1962,,-0.0004999997327104211,0.0008535751258023083,0.007864771410822868
2970,critic,capacity_insert,100,0,1920,,-0.0004999906523153186,0.0009034663671627641,0.007864771410822868
3064,critic,capacity_insert,100,0,1914,,-0.00047231902135536075,0.0009381952695548534,0.0073931338265538216
3064,actor,scheduled_batch_boundary,71,0,1342,"[691, 651]",-0.003377703484147787,0.0005702486960217357,0.008515293709933758
3064,critic,scheduled_batch_boundary,96,0,1818,,-0.00012793121277354658,0.0010023125214502215,0.0073931338265538216
3299,critic,capacity_insert,100,0,1953,,-0.000428720231866464,0.00096224615117535,0.007364771328866482
3353,critic,capacity_insert,100,0,1907,,-0.0003720682580024004,0.0010175665374845266,0.007364771328866482
3499,critic,capacity_insert,100,0,1953,,-0.0003720666281878948,0.0010236585512757301,0.007364771328866482
3619,critic,capacity_insert,100,0,1973,,-0.00034834042889997363,0.0010426626540720463,0.007364771328866482
3677,critic,capacity_insert,100,0,1931,,-0.0001279314747080207,0.0010957204503938556,0.007364771328866482
3774,critic,capacity_insert,100,0,1928,,-0.0001279314747080207,0.0011140002170577645,0.007364771328866482
3932,critic,capacity_insert,100,0,1986,,-0.0003720682580024004,0.0011249923845753074,0.007736837957054377
4047,critic,capacity_insert,200,0,1901,,0.0,0.0012113002594560385,0.008236837573349476
4047,actor,scheduled_batch_boundary,92,0,1745,"[899, 846]",-0.0031884547788649797,0.0008395907352678478,0.011806841008365154
4260,critic,capacity_insert,139,0,1975,,0.0,0.0011984333395957947,0.009071866981685162
4336,critic,capacity_insert,73,0,1978,,0.0,0.0012120120227336884,0.009571867063641548
4411,critic,capacity_insert,69,0,1984,,0.0,0.0012305584968999028,0.009571867063641548
4503,critic,capacity_insert,78,0,1998,,0.0,0.0012495797127485275,0.009571867063641548
4593,actor,capacity_insert,100,0,1926,"[997, 929]",-0.00283748097717762,0.0009896090487018228,0.012443087995052338
4593,critic,capacity_insert,100,0,1988,,-2.9103830456733704e-10,0.0012835809029638767,0.01007186621427536
4698,critic,capacity_insert,85,8,2000,,0.0,0.0012884183088317513,0.009571868926286697
4760,critic,capacity_insert,48,14,2000,,0.0,0.001306148711591959,0.00907187256962061
4837,actor,capacity_insert,100,0,1925,"[994, 931]",-0.0021426796447485685,0.001187257468700409,0.012273595668375492
4837,critic,capacity_insert,66,11,2000,,0.0,0.001314805238507688,0.00907187256962061
4942,critic,capacity_insert,102,3,2000,,0.0,0.0013376058777794242,0.009571868926286697
5056,actor,capacity_insert,100,0,1950,"[1005, 945]",-0.001629066769964993,0.0012988309608772397,0.011764821596443653
5056,critic,capacity_insert,103,11,2000,,0.0,0.0013512854930013418,0.009071869775652885
5056,actor,scheduled_batch_boundary,98,0,1852,"[955, 897]",-0.00115524313878268,0.001440658699721098,0.011764821596443653
5131,critic,capacity_insert,66,9,2000,,0.0,0.0013643266865983605,0.008870459161698818
5190,critic,capacity_insert,55,4,2000,,0.0,0.0013865666696801782,0.009071871638298035
5249,critic,capacity_insert,58,1,2000,,0.0,0.001403871108777821,0.008870459161698818
5302,critic,capacity_insert,36,17,2000,,0.0,0.0014202255988493562,0.009046798571944237
5384,critic,capacity_insert,64,18,2000,,0.0,0.0014379904605448246,0.009071877226233482
5504,actor,capacity_insert,100,0,1928,"[987, 941]",-0.001322903553955257,0.001522024511359632,0.013479341752827168
5504,critic,capacity_insert,107,13,2000,,0.0,0.0014480407116934657,0.009071877226233482
5662,actor,capacity_insert,100,0,1933,"[997, 936]",-0.0009319066302850842,0.001589478342793882,0.013418004848062992
5662,critic,capacity_insert,110,47,2000,,0.0,0.0014664335176348686,0.009071877226233482
5818,actor,capacity_insert,100,0,1935,"[1005, 930]",-0.000742218573577702,0.0016324595781043172,0.012941577471792698
5818,critic,capacity_insert,97,58,2000,,0.0,0.0014790833229199052,0.009546796791255474
5892,critic,capacity_insert,61,13,2000,,0.0,0.001493358868174255,0.009546796791255474
6028,actor,capacity_insert,100,0,1953,"[1026, 927]",-0.0005852003814652562,0.0016845979262143373,0.01377636194229126
6028,critic,capacity_insert,89,47,2000,,0.0,0.0015088266227394342,0.01004679687321186
6028,actor,scheduled_batch_boundary,98,0,1855,"[985, 870]",-0.00037190900184214115,0.0017979537369683385,0.01377636194229126
6161,critic,capacity_insert,98,35,2000,,0.0,0.0015215971507132053,0.01004679687321186
6320,actor,capacity_insert,100,0,1952,"[1024, 928]",-0.0003719815576914698,0.0017754087457433343,0.014506293460726738
6320,critic,capacity_insert,98,61,2000,,0.0,0.0015280416700989008,0.009546796791255474
6436,actor,capacity_insert,100,0,1916,"[994, 922]",-0.00036953709786757827,0.0018303811084479094,0.015005753375589848
6436,critic,capacity_insert,77,39,2000,,0.0,0.0015362744452431798,0.009103996679186821
6537,critic,capacity_insert,65,36,2000,,0.0,0.0015528450021520257,0.009046797640621662
6630,actor,capacity_insert,100,0,1907,"[982, 925]",-0.0003610792919062078,0.0018752277828752995,0.015839574858546257
6630,critic,capacity_insert,51,42,2000,,0.0,0.0015735742636024952,0.009103997610509396
6766,actor,capacity_insert,100,0,1903,"[974, 929]",-0.00013390029198490083,0.0019130944274365902,0.015768347308039665
6766,critic,capacity_insert,79,57,2000,,0.0,0.001583872246555984,0.009103997610509396
6885,critic,capacity_insert,83,36,2000,,0.0,0.0015865700552240014,0.009103997610509396
6957,critic,capacity_insert,54,17,2000,,0.0,0.0016128488350659609,0.009603994898498058
7031,actor,capacity_insert,100,0,1907,"[979, 928]",-0.0006101641338318586,0.0020028750877827406,0.016356375068426132
7031,critic,capacity_insert,49,24,2000,,0.0,0.0016301627038046718,0.010103989392518997
7031,actor,scheduled_batch_boundary,96,0,1811,"[932, 879]",0.0,0.002122814767062664,0.016356375068426132
7190,critic,capacity_insert,102,57,2000,,0.0,0.001644725794903934,0.010103989392518997
7315,critic,capacity_insert,84,41,2000,,0.0,0.0016590054146945477,0.010103989392518997
7407,actor,capacity_insert,100,0,1938,"[983, 955]",-0.0006013829843141139,0.002077784389257431,0.016893822699785233
7407,critic,capacity_insert,58,34,2000,,0.0,0.0016679109539836645,0.010103989392518997
7498,critic,capacity_insert,86,5,2000,,0.0,0.0016780036967247725,0.010103989392518997
7605,actor,capacity_insert,100,0,1944,"[979, 965]",-0.00027341139502823353,0.002137457486242056,0.017191467806696892
7605,critic,capacity_insert,89,18,2000,,0.0,0.0017005617264658213,0.010103989392518997
7744,actor,capacity_insert,77,0,1958,"[989, 969]",0.0,0.0021426924504339695,0.017116324976086617
7744,critic,capacity_insert,70,69,2000,,0.0,0.0017204200848937035,0.010603982955217361
7881,actor,capacity_insert,38,3,2000,"[1007, 993]",0.0,0.002113561611622572,0.017041916027665138
7881,critic,capacity_insert,65,72,2000,,0.0,0.0017285551875829697,0.010603982955217361
8007,actor,capacity_insert,54,15,2000,"[1001, 999]",0.0,0.002122584031894803,0.017541320994496346
8007,critic,capacity_insert,98,28,2000,,0.0,0.0017513049533590674,0.010603982955217361
8103,actor,capacity_insert,40,0,2000,"[999, 1001]",0.0,0.0021308178547769785,0.018041275441646576
8103,critic,capacity_insert,68,28,2000,,0.0,0.0017648666398599744,0.010603982955217361
8171,actor,capacity_insert,29,0,1995,"[993, 1002]",0.0,0.0021322830580174923,0.01854119822382927
8171,critic,capacity_insert,40,28,2000,,0.0,0.0017820775974541903,0.011103981174528599
8236,actor,capacity_insert,32,0,1979,"[987, 992]",0.0,0.002158582676202059,0.018041467294096947
8236,critic,capacity_insert,46,19,2000,,0.0,0.001801263657398522,0.010603983886539936
8420,actor,capacity_insert,69,36,2000,"[987, 1013]",0.0,0.002151456428691745,0.018541214987635612
8420,critic,capacity_insert,105,79,2000,,0.0,0.0018130758544430137,0.010603983886539936
8558,actor,capacity_insert,72,7,2000,"[987, 1013]",0.0,0.0021744705736637115,0.0184630099684
8558,critic,capacity_insert,76,62,2000,,0.0,0.001823923783376813,0.01110397931188345
8642,actor,capacity_insert,37,0,1998,"[982, 1016]",0.0,0.0021812976337969303,0.018385082483291626
8642,critic,capacity_insert,54,30,2000,,0.0,0.0018339186208322644,0.01110397931188345
8794,actor,capacity_insert,29,73,2000,"[976, 1024]",0.0,0.002178831724449992,0.018307367339730263
8794,critic,capacity_insert,68,84,2000,,0.0,0.0018375877989456058,0.01110397931188345
8866,actor,capacity_insert,22,0,1994,"[979, 1015]",0.0,0.0021780000533908606,0.018229994922876358
8866,critic,capacity_insert,60,12,2000,,0.0,0.0018613373395055532,0.01110397931188345
8961,actor,capacity_insert,20,17,2000,"[985, 1015]",0.0,0.0021842285059392452,0.01815270259976387
8961,critic,capacity_insert,40,55,2000,,0.0,0.001872939057648182,0.01110397931188345
