dataset,policy,adapter_mode,seed,device,initial_cases,retained_cases,target_capacity,pre_maint_acc,post_retrieval_acc,post_adapted_acc,acc_delta,total_flips,correct_flips,harmful_flips,net_flip_benefit,adapter_train_loss
synthetic,provenance_bias_coverage,none,42,cpu,420,210,210,0.8333333134651184,0.8222222328186035,0.8222222328186035,0.0,0,0,0,0,0.0
synthetic,provenance_bias_coverage,none,43,cpu,420,210,210,0.8333333134651184,0.8055555820465088,0.8055555820465088,0.0,0,0,0,0,0.0
synthetic,provenance_bias_coverage,none,44,cpu,420,210,210,0.9111111164093018,0.8500000238418579,0.8500000238418579,0.0,0,0,0,0,0.0
synthetic,provenance_bias_coverage,nominal_residual_scores,42,cpu,420,210,210,0.8333333134651184,0.8222222328186035,0.8055555820465088,-0.016666650772094727,11,4,7,-3,0.8042719960212708
synthetic,provenance_bias_coverage,nominal_residual_scores,43,cpu,420,210,210,0.8333333134651184,0.8055555820465088,0.8277778029441833,0.02222222089767456,16,10,6,4,0.7260414361953735
synthetic,provenance_bias_coverage,nominal_residual_scores,44,cpu,420,210,210,0.9111111164093018,0.8500000238418579,0.8611111044883728,0.011111080646514893,15,8,6,2,0.7999808490276337
synthetic,provenance_bias_coverage,logit_residual,42,cpu,420,210,210,0.8333333134651184,0.8222222328186035,0.8166666626930237,-0.005555570125579834,3,1,2,-1,0.916704535484314
synthetic,provenance_bias_coverage,logit_residual,43,cpu,420,210,210,0.8333333134651184,0.8055555820465088,0.8333333134651184,0.02777773141860962,7,6,1,5,0.8482845425605774
synthetic,provenance_bias_coverage,logit_residual,44,cpu,420,210,210,0.9111111164093018,0.8500000238418579,0.8666666746139526,0.016666650772094727,9,6,3,3,0.9067021608352661
synthetic,bias_only,none,42,cpu,420,210,210,0.8333333134651184,0.8111110925674438,0.8111110925674438,0.0,0,0,0,0,0.0
synthetic,bias_only,none,43,cpu,420,210,210,0.8333333134651184,0.7888888716697693,0.7888888716697693,0.0,0,0,0,0,0.0
synthetic,bias_only,none,44,cpu,420,210,210,0.9111111164093018,0.8611111044883728,0.8611111044883728,0.0,0,0,0,0,0.0
synthetic,bias_only,nominal_residual_scores,42,cpu,420,210,210,0.8333333134651184,0.8111110925674438,0.800000011920929,-0.011111080646514893,10,3,5,-2,0.8206770122051239
synthetic,bias_only,nominal_residual_scores,43,cpu,420,210,210,0.8333333134651184,0.7888888716697693,0.7777777910232544,-0.011111080646514893,12,5,7,-2,0.7130805253982544
synthetic,bias_only,nominal_residual_scores,44,cpu,420,210,210,0.9111111164093018,0.8611111044883728,0.8277778029441833,-0.03333330154418945,17,4,10,-6,0.8076829314231873
synthetic,bias_only,logit_residual,42,cpu,420,210,210,0.8333333134651184,0.8111110925674438,0.8055555820465088,-0.005555510520935059,6,2,3,-1,0.9309971630573273
synthetic,bias_only,logit_residual,43,cpu,420,210,210,0.8333333134651184,0.7888888716697693,0.800000011920929,0.011111140251159668,6,4,2,2,0.8442669808864594
synthetic,bias_only,logit_residual,44,cpu,420,210,210,0.9111111164093018,0.8611111044883728,0.855555534362793,-0.005555570125579834,8,3,4,-1,0.9191006422042847
synthetic,provenance_only,none,42,cpu,420,210,210,0.8333333134651184,0.8277778029441833,0.8277778029441833,0.0,0,0,0,0,0.0
synthetic,provenance_only,none,43,cpu,420,210,210,0.8333333134651184,0.7888888716697693,0.7888888716697693,0.0,0,0,0,0,0.0
synthetic,provenance_only,none,44,cpu,420,210,210,0.9111111164093018,0.8277778029441833,0.8277778029441833,0.0,0,0,0,0,0.0
synthetic,provenance_only,nominal_residual_scores,42,cpu,420,210,210,0.8333333134651184,0.8277778029441833,0.8277778029441833,0.0,9,4,4,0,0.5587348341941833
synthetic,provenance_only,nominal_residual_scores,43,cpu,420,210,210,0.8333333134651184,0.7888888716697693,0.7777777910232544,-0.011111080646514893,6,1,3,-2,0.5375778079032898
synthetic,provenance_only,nominal_residual_scores,44,cpu,420,210,210,0.9111111164093018,0.8277778029441833,0.8222222328186035,-0.005555570125579834,4,1,2,-1,0.55526003241539
synthetic,provenance_only,logit_residual,42,cpu,420,210,210,0.8333333134651184,0.8277778029441833,0.8277778029441833,0.0,2,1,1,0,0.687822550535202
synthetic,provenance_only,logit_residual,43,cpu,420,210,210,0.8333333134651184,0.7888888716697693,0.7944444417953491,0.005555570125579834,2,1,0,1,0.6522184014320374
synthetic,provenance_only,logit_residual,44,cpu,420,210,210,0.9111111164093018,0.8277778029441833,0.8222222328186035,-0.005555570125579834,2,0,1,-1,0.6810645461082458
synthetic,trustworthiness_only,none,42,cpu,420,210,210,0.8333333134651184,0.8111110925674438,0.8111110925674438,0.0,0,0,0,0,0.0
synthetic,trustworthiness_only,none,43,cpu,420,210,210,0.8333333134651184,0.7722222208976746,0.7722222208976746,0.0,0,0,0,0,0.0
synthetic,trustworthiness_only,none,44,cpu,420,210,210,0.9111111164093018,0.8500000238418579,0.8500000238418579,0.0,0,0,0,0,0.0
synthetic,trustworthiness_only,nominal_residual_scores,42,cpu,420,210,210,0.8333333134651184,0.8111110925674438,0.7944444417953491,-0.016666650772094727,9,3,6,-3,0.7956634163856506
synthetic,trustworthiness_only,nominal_residual_scores,43,cpu,420,210,210,0.8333333134651184,0.7722222208976746,0.7944444417953491,0.02222222089767456,15,9,5,4,0.7204650640487671
synthetic,trustworthiness_only,nominal_residual_scores,44,cpu,420,210,210,0.9111111164093018,0.8500000238418579,0.8444444537162781,-0.005555570125579834,14,6,7,-1,0.7850793600082397
synthetic,trustworthiness_only,logit_residual,42,cpu,420,210,210,0.8333333134651184,0.8111110925674438,0.800000011920929,-0.011111080646514893,6,2,4,-2,0.9102154672145844
synthetic,trustworthiness_only,logit_residual,43,cpu,420,210,210,0.8333333134651184,0.7722222208976746,0.7944444417953491,0.02222222089767456,8,6,2,4,0.8417231738567352
synthetic,trustworthiness_only,logit_residual,44,cpu,420,210,210,0.9111111164093018,0.8500000238418579,0.8666666746139526,0.016666650772094727,7,5,2,3,0.8947879374027252
synthetic,stratified,none,42,cpu,420,210,210,0.8333333134651184,0.7833333611488342,0.7833333611488342,0.0,0,0,0,0,0.0
synthetic,stratified,none,43,cpu,420,210,210,0.8333333134651184,0.8611111044883728,0.8611111044883728,0.0,0,0,0,0,0.0
synthetic,stratified,none,44,cpu,420,210,210,0.9111111164093018,0.8444444537162781,0.8444444537162781,0.0,0,0,0,0,0.0
synthetic,stratified,nominal_residual_scores,42,cpu,420,210,210,0.8333333134651184,0.7833333611488342,0.7833333611488342,0.0,22,8,8,0,0.796604722738266
synthetic,stratified,nominal_residual_scores,43,cpu,420,210,210,0.8333333134651184,0.8611111044883728,0.8500000238418579,-0.011111080646514893,13,5,7,-2,0.7557626366615295
